,Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Type of crisis,First country (to hide),Website name (to hide),Crisis description,Related crisis,Starting date,Duration (days)
15,BDI001,,,Burundi,Complex in Burundi,BDI,Africa,Complex crisis,Burundi,Complex crisis,https://www.acaps.org/country/Burundi/crisis/Complex-crisis,,Before 2019,More than 2 years
16,CMR001,,,Cameroon,Multiple crises in Cameroon,CMR,Africa,Multiple crisis country,Cameroon,Country level,https://www.acaps.org/country/Cameroon/crisis/Country-level,,Before 2019,More than 2 years
17,CMR002,,,Cameroon,Boko Haram in Cameroon,CMR,Africa,Conflict,Cameroon,Boko Haram,https://www.acaps.org/country/Cameroon/crisis/Boko-Haram,NGA004,Before 2019,More than 2 years
18,CMR003,,,Cameroon,Anglophone Crisis in Cameroon,CMR,Africa,Conflict,Cameroon,Anglophone crisis,https://www.acaps.org/country/Cameroon/crisis/Anglophone-crisis,,Before 2019,More than 2 years
19,CMR004,,,Cameroon,CAR refugees in Cameroon,CMR,Africa,International displacement,Cameroon,CAR refugees,https://www.acaps.org/country/Cameroon/crisis/CAR-refugees,CAF001,Before 2019,More than 2 years
20,CAF001,,,CAR,Complex crisis in CAR,CAF,Africa,Complex crisis,CAR,Complex crisis,https://www.acaps.org/country/CAR/crisis/Complex-crisis,,Before 2019,More than 2 years
21,TCD001,,,Chad,Multiple crises in Chad,TCD,Africa,Multiple crisis country,Chad,Complex crisis,https://www.acaps.org/country/Chad/crisis/Complex-crisis,,Before 2019,More than 2 years
22,TCD004,,,Chad,CAR refugees in Chad,TCD,Africa,International displacement,Chad,CAR refugees,https://www.acaps.org/country/Chad/crisis/CAR-refugees,CAF001,Before 2019,More than 2 years
23,TCD005,,,Chad,Darfur refugees in Chad,TCD,Africa,International displacement,Chad,Darfur refugees,https://www.acaps.org/country/Chad/crisis/Darfur-refugees,SDN001,Before 2019,More than 2 years
24,TCD006,,,Chad,Tibesti Conflict in Chad,TCD,Africa,Conflict,Chad,Tibesti conflict,https://www.acaps.org/country/Chad/crisis/Tibesti-conflict,,Before 2019,More than 2 years
25,TCD008,,,Chad,Floods in Chad,TCD,Africa,Flood,Chad,Floods,https://www.acaps.org/country/Chad/crisis/Floods,,2020-09-29 00:00:00,124
26,COL001,,,Colombia,Complex crisis in Colombia,COL,Americas,Complex crisis,Colombia,Complex crisis,https://www.acaps.org/country/Colombia/crisis/Complex-crisis,,Before 2019,More than 2 years
27,COL002,,,Colombia,Venezuela displacement in Colombia,COL,Americas,International displacement,Colombia,Venezuelan refugees,https://www.acaps.org/country/Colombia/crisis/Venezuelan-refugees,VEN001,Before 2019,More than 2 years
28,COL003,,,Colombia,Hurricane Eta and Iota in Colombia,COL,Americas,Tropical cyclone,Colombia,Hurricane Eta/Iota,https://www.acaps.org/country/Colombia/crisis/Hurricane-Eta/Iota,"GTM003, HND002, NNIC002, MEX004",2020-11-30 00:00:00,62
29,COG001,,,Congo,Complex crisis in Congo,COG,Africa,Complex crisis,Congo,Complex Crisis,https://www.acaps.org/country/Congo/crisis/Complex-Crisis,,2020-10-21 00:00:00,102
30,COG004,,Congo,Congo,Floods in Congo,COG,Africa,Flood,Congo,Floods,https://www.acaps.org/country/Congo/crisis/Floods,,2020-10-29 00:00:00,94
31,CRI002,,,Costa Rica,Nicaraguan refugees in Costa Rica,CRI,Americas,International displacement,Costa Rica,Nicaraguan refugees,https://www.acaps.org/country/Costa Rica/crisis/Nicaraguan-refugees,NIC001,Before 2019,More than 2 years
32,DJI001,,,Djibouti,Multiple crises in Djibouti,DJI,Africa,Multiple crisis country,Djibouti,Country level,https://www.acaps.org/country/Djibouti/crisis/Country-level,,2019-12-16 00:00:00,412
33,DJI002,,,Djibouti,Mixed migration in Djibouti,DJI,Africa,International displacement,Djibouti,Mixed Migration,https://www.acaps.org/country/Djibouti/crisis/Mixed-Migration,,Before 2019,More than 2 years
34,DJI003,,,Djibouti,Drought in Djibouti,DJI,Africa,Drought,Djibouti,Drought,https://www.acaps.org/country/Djibouti/crisis/Drought,,Before 2019,More than 2 years
35,PRK001,,,DPRK,Complex crisis in DPRK,PRK,Asia,Complex crisis,DPRK,Complex crisis,https://www.acaps.org/country/DPRK/crisis/Complex-crisis,,Before 2019,More than 2 years
36,COD001,,,DRC,Complex crisis in DRC,COD,Africa,Complex crisis,DRC,Complex crisis,https://www.acaps.org/country/DRC/crisis/Complex-crisis,,Before 2019,More than 2 years
37,COD003,FL-2020-000052-COD,FL-2020-000052-COD,DRC,Floods in south-eastern DRC,COD,Africa,Flood,DRC,Floods,https://www.acaps.org/country/DRC/crisis/Floods,,2020-06-23 00:00:00,222
38,ECU002,,,Ecuador,Venezuela displacement in Ecuador,ECU,Americas,International displacement,Ecuador,Venezuelan refugees,https://www.acaps.org/country/Ecuador/crisis/Venezuelan-refugees,VEN001,Before 2019,More than 2 years
39,EGY002,,,Egypt,Syrian Refugee Crisis in Egypt,EGY,Africa,International displacement,Egypt,Syrian refugees,https://www.acaps.org/country/Egypt/crisis/Syrian-refugees,SYR001,Before 2019,More than 2 years
40,SLV001,,,El Salvador,Complex crisis in El Salvador,SLV,Americas,Complex crisis,El Salvador,Complex crisis,https://www.acaps.org/country/El Salvador/crisis/Complex-crisis,,Before 2019,More than 2 years
41,ERI001,,,Eritrea,Complex crisis in Eritrea,ERI,Africa,Complex crisis,Eritrea,Complex crisis,https://www.acaps.org/country/Eritrea/crisis/Complex-crisis,,Before 2019,More than 2 years
42,ETH001,,,Ethiopia,Complex crisis in Ethiopia,ETH,Africa,Complex crisis,Ethiopia,Complex crisis,https://www.acaps.org/country/Ethiopia/crisis/Complex-crisis,,Before 2019,More than 2 years
43,ETH002,FL-2020-000126-ETH,FL-2020-000126-ETH,Ethiopia,Flood Crisis in Ethiopia,ETH,Africa,Flood,Ethiopia,Floods,https://www.acaps.org/country/Ethiopia/crisis/Floods,,2020-06-08 00:00:00,237
44,ETH003,,,Ethiopia,International Displacement,ETH,Africa,International displacement,Ethiopia,International Displacement,https://www.acaps.org/country/Ethiopia/crisis/International-Displacement,,2020-01-07 00:00:00,390
45,ETH004,,,Ethiopia,Crisis in Tigray,ETH,Africa,Conflict,Ethiopia,Tigray Crisis,https://www.acaps.org/country/Ethiopia/crisis/Tigray-Crisis,,2020-11-30 00:00:00,62
46,FJI002,,,Fiji,Tropical cyclone Yasa in Fiji,FJI,Pacific,Tropical cyclone,Fiji,Tropical cyclone Yasa,https://www.acaps.org/country/Fiji/crisis/Tropical-cyclone-Yasa,,2021-01-08 00:00:00,
47,GRC002,,,Greece,Mixed migration flows in Greece,GRC,Europe,International displacement,Greece,Mixed Migration,https://www.acaps.org/country/Greece/crisis/Mixed-Migration,,Before 2019,More than 2 years
48,GTM001,,,Guatemala,Complex crisis in Guatemala,GTM,Americas,Complex crisis,Guatemala,Complex crisis,https://www.acaps.org/country/Guatemala/crisis/Complex-crisis,,Before 2019,More than 2 years
49,GTM003,,,Guatemala,Hurricane Eta and Iota in Guatemala,GTM,Americas,Tropical cyclone,Guatemala,Hurricane Eta/Iota,https://www.acaps.org/country/Guatemala/crisis/Hurricane-Eta/Iota,"COL003, HND002, NIC002, MEX004",2020-11-30 00:00:00,62
50,HTI001,,,Haiti,Complex crisis in Haiti,HTI,Americas,Complex crisis,Haiti,Complex crisis,https://www.acaps.org/country/Haiti/crisis/Complex-crisis,,Before 2019,More than 2 years
51,HND001,,,Honduras,Complex crisis in Honduras,HND,Americas,Complex crisis,Honduras,Complex crisis,https://www.acaps.org/country/Honduras/crisis/Complex-crisis,,Before 2019,More than 2 years
52,HND002,,,Honduras,Hurricane Eta and Iota in Honduras,HND,Americas,Tropical cyclone,Honduras,Hurricane Eta/Iota,https://www.acaps.org/country/Honduras/crisis/Hurricane-Eta/Iota,"COL003, GTM003, NIC002, MEX004",2020-11-30 00:00:00,62
53,IND002,,,India,Conflict in Jammu and Kashmir,IND,Asia,Conflict,India,Kashmir conflict,https://www.acaps.org/country/India/crisis/Kashmir-conflict,REG003,Before 2019,More than 2 years
54,REG003,,,"India, Pakistan",Regional Kashmir conflict,"IND, PAK",Asia,Regional crisis,India,Regional Kashmir conflict,https://www.acaps.org/country/India/crisis/Regional-Kashmir-conflict,,Before 2019,More than 2 years
55,IDN002,,,Indonesia,Papua Conflict,IDN,Asia,Conflict,Indonesia,Papua Conflict,https://www.acaps.org/country/Indonesia/crisis/Papua-Conflict,,2019-07-01 00:00:00,580
56,IDN006,,,Indonesia,Sulawesi Earthquake,IDN,Asia,Earthquake,Indonesia,Sulawesi Earthquake,https://www.acaps.org/country/Indonesia/crisis/Sulawesi-Earthquake,,2021-01-15 00:00:00,16
57,IDN007,,,Indonesia,Country Level,IDN,Asia,Multiple crisis country,Indonesia,Country Level,https://www.acaps.org/country/Indonesia/crisis/Country-Level,,2021-01-16 00:00:00,15
58,IRN004,,,Iran,Afghan Refugees in Iran,IRN,Middle east,International displacement,Iran,Afghan Refugees,https://www.acaps.org/country/Iran/crisis/Afghan-Refugees,AFG001,2020-03-30 00:00:00,307
59,IRQ001,,,Iraq,Multiple crises in Iraq,IRQ,Middle east,Multiple crisis country,Iraq,Country level,https://www.acaps.org/country/Iraq/crisis/Country-level,,Before 2019,More than 2 years
60,IRQ002,,,Iraq,Conflict  in Iraq,IRQ,Middle east,Conflict,Iraq,Conflict,https://www.acaps.org/country/Iraq/crisis/Conflict,,Before 2019,More than 2 years
61,IRQ003,,,Iraq,Syrian and Palestinian refugees in iraq,IRQ,Middle east,International displacement,Iraq,Syrian Refugees,https://www.acaps.org/country/Iraq/crisis/Syrian-Refugees,SYR001,Before 2019,More than 2 years
62,JOR002,,,Jordan,Syrian refugees in Jordan,JOR,Middle east,International displacement,Jordan,Syrian refugees,https://www.acaps.org/country/Jordan/crisis/Syrian-refugees,SYR001,Before 2019,More than 2 years
63,KEN001,,,Kenya,Multiple crisis in Kenya ,KEN,Africa,Multiple crisis country,Kenya,Country level,https://www.acaps.org/country/Kenya/crisis/Country-level,,2019-06-01 00:00:00,610
64,KEN002,,,Kenya,Refugee situation in Kenya,KEN,Africa,International displacement,Kenya,Refugee situation,https://www.acaps.org/country/Kenya/crisis/Refugee-situation,,Before 2019,More than 2 years
65,KEN003,DR-2019-000024-KEN,DR-2019-000024-KEN,Kenya,Drought in Kenya,KEN,Africa,Drought,Kenya,Drought,https://www.acaps.org/country/Kenya/crisis/Drought,,2019-07-01 00:00:00,580
66,KEN005,,,Kenya,Flooding and Landslides in Kenya,KEN,Africa,Flood,Kenya,Flooding and Landslides,https://www.acaps.org/country/Kenya/crisis/Flooding-and-Landslides,,2020-04-28 00:00:00,278
67,LBN002,,,Lebanon,Syrian refugees in Lebanon,LBN,Middle east,International displacement,Lebanon,Syrian refugees,https://www.acaps.org/country/Lebanon/crisis/Syrian-refugees,SYR001,Before 2019,More than 2 years
68,LBN004,,,Lebanon,Socioeconomic crisis in Lebanon,LBN,Middle east,Political and economic crisis,Lebanon,Socioeconomic crisis,https://www.acaps.org/country/Lebanon/crisis/Socioeconomic-crisis,,2020-04-29 00:00:00,277
69,LBN005,AC-2000-000764-LBN,AC-2000-000764-LBN,Lebanon,Explosion in Beirut ,LBN,Middle east,Industrial Accident,Lebanon,Beirut Explosion,https://www.acaps.org/country/Lebanon/crisis/Beirut-Explosion,,2020-08-21 00:00:00,163
70,LSO002,,,Lesotho,Drought in Lesotho,LSO,Africa,Drought,Lesotho,Drought,https://www.acaps.org/country/Lesotho/crisis/Drought,REG012,Before 2019,More than 2 years
71,REG012,,,"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Swaziland,Tanzania,Zambia,Zimbabwe",Southern Africa Regional Food Security Crisis,"LSO, MDG, MWI, MOZ, NAM, SWZ, TZA, ZMB, ZWE",Africa,Regional crisis,Lesotho,Southern Africa Regional Food Security Crisis,https://www.acaps.org/country/Lesotho/crisis/Southern-Africa-Regional-Food-Security-Crisis,,2020-07-02 00:00:00,213
72,LBY001,,,Libya,Complex crisis in Libya,LBY,Africa,Multiple crisis country,Libya,Complex crisis,https://www.acaps.org/country/Libya/crisis/Complex-crisis,,Before 2019,More than 2 years
73,LBY002,,,Libya,Mixed migration flows in Libya,LBY,Africa,International displacement,Libya,Mixed Migration,https://www.acaps.org/country/Libya/crisis/Mixed-Migration,,Before 2019,More than 2 years
74,MDG002,,,Madagascar,Drought in Madagascar,MDG,Africa,Drought,Madagascar,Drought,https://www.acaps.org/country/Madagascar/crisis/Drought,REG012,Before 2019,More than 2 years
75,MWI002,,,Malawi,Complex crisis in Malawi,MWI,Africa,Complex crisis,Malawi,Complex,https://www.acaps.org/country/Malawi/crisis/Complex,REG012,Before 2019,More than 2 years
76,MLI001,,,Mali,Complex crisis in Mali,MLI,Africa,Complex crisis,Mali,Complex crisis,https://www.acaps.org/country/Mali/crisis/Complex-crisis,,Before 2019,More than 2 years
77,MRT002,,,Mauritania,Refugees from Mali in Mauritania,MRT,Africa,International displacement,Mauritania,Malian refugees,https://www.acaps.org/country/Mauritania/crisis/Malian-refugees,MLI001,Before 2019,More than 2 years
78,MRT003,,,Mauritania,Food Security in Mauritania,MRT,Africa,Drought,Mauritania,Food security,https://www.acaps.org/country/Mauritania/crisis/Food-security,,Before 2019,More than 2 years
79,MEX001,,,Mexico,Multiple crisis in Mexico,MEX,Americas,Multiple crisis country,Mexico,Country Level,https://www.acaps.org/country/Mexico/crisis/Country-Level,,2019-12-02 00:00:00,426
80,MEX002,,,Mexico,Criminal Violence in Mexico,MEX,Americas,Other type of violence,Mexico,Criminal Violence,https://www.acaps.org/country/Mexico/crisis/Criminal-Violence,,2019-12-02 00:00:00,426
81,MEX003,,,Mexico,Mixed Migration in Mexico,MEX,Americas,International displacement,Mexico,Mixed Migration,https://www.acaps.org/country/Mexico/crisis/Mixed-Migration,,2019-12-02 00:00:00,426
82,MEX004,,,Mexico,Hurricane Eta and Iota in Southern Mexico,MEX,Americas,Tropical cyclone,Mexico,Hurricane Eta/Iota,https://www.acaps.org/country/Mexico/crisis/Hurricane-Eta/Iota,"COL003, GTM003, HND002, NIC002",2020-11-30 00:00:00,62
83,MAR002,,,Morocco,Mixed migration flows in Morocco,MAR,Africa,International displacement,Morocco,Mixed Migration,https://www.acaps.org/country/Morocco/crisis/Mixed-Migration,,Before 2019,More than 2 years
84,MOZ001,,,Mozambique,Complex crisis in Mozambique,MOZ,Africa,Complex crisis,Mozambique,Complex crisis in Mozambique,https://www.acaps.org/country/Mozambique/crisis/Complex-crisis-in-Mozambique,,2020-07-02 00:00:00,213
85,MOZ004,,,Mozambique,Cabo Delgado Islamist Insurgency,MOZ,Africa,Other type of violence,Mozambique,Violent Insurgency in Cabo Delgado,https://www.acaps.org/country/Mozambique/crisis/Violent-Insurgency-in-Cabo-Delgado,,2020-07-02 00:00:00,213
86,MOZ006,,,Mozambique,Food Security Crisis in Mozambique,MOZ,Africa,Food Security,Mozambique,Food Security Crisis in Mozambique,https://www.acaps.org/country/Mozambique/crisis/Food-Security-Crisis-in-Mozambique,REG012,2020-07-02 00:00:00,213
87,MMR001,,,Myanmar,Multiple crises in Myanmar,MMR,Asia,Multiple crisis country,Myanmar,Country level,https://www.acaps.org/country/Myanmar/crisis/Country-level,,Before 2019,More than 2 years
88,MMR002,,,Myanmar,Rakhine Conflict,MMR,Asia,Conflict,Myanmar,Rakhine conflict,https://www.acaps.org/country/Myanmar/crisis/Rakhine-conflict,,Before 2019,More than 2 years
89,MMR003,,,Myanmar,Kachin and Shan Conflict,MMR,Asia,Conflict,Myanmar,Kachin and Shan conflict,https://www.acaps.org/country/Myanmar/crisis/Kachin-and-Shan-conflict,,Before 2019,More than 2 years
90,NAM002,,,Namibia,Food Security Crisis in Namibia,NAM,Africa,Food Security,Namibia,Food Security Crisis in Namibia,https://www.acaps.org/country/Namibia/crisis/Food-Security-Crisis-in-Namibia,REG012,2020-07-02 00:00:00,213
91,NIC001,,,Nicaragua,Socioeconomic crisis in Nicaragua,NIC,Americas,Political and economic crisis,Nicaragua,Socioeconomic crisis,https://www.acaps.org/country/Nicaragua/crisis/Socioeconomic-crisis,,Before 2019,More than 2 years
92,NIC002,,,Nicaragua,Hurricane Eta and Iota in Nicaragua,NIC,Americas,Tropical cyclone,Nicaragua,Hurricane Eta/Iota,https://www.acaps.org/country/Nicaragua/crisis/Hurricane-Eta/Iota,"COL003, GTM003, HND002, MEX004",2020-11-30 00:00:00,62
93,NER001,,,Niger,Multiple crises in Niger,NER,Africa,Multiple crisis country,Niger,Country level,https://www.acaps.org/country/Niger/crisis/Country-level,,Before 2019,More than 2 years
94,NER002,,,Niger,Boko Haram in Niger,NER,Africa,Conflict,Niger,Boko Haram,https://www.acaps.org/country/Niger/crisis/Boko-Haram,NGA004,Before 2019,More than 2 years
95,NER003,,,Niger,Mali/Burkina Faso conflict,NER,Africa,Conflict,Niger,Cross-border violence,https://www.acaps.org/country/Niger/crisis/Cross-border-violence,,Before 2019,More than 2 years
96,NER004,,,Niger,Nigerian Refugees,NER,Africa,International displacement,Niger,Nigerian Refugees,https://www.acaps.org/country/Niger/crisis/Nigerian-Refugees,NGA001,16/12/2019,More than 2 years
97,NER005,,,Niger,Floods in Niger,NER,Africa,Flood,Niger,Floods,https://www.acaps.org/country/Niger/crisis/Floods,,2020-09-29 00:00:00,124
98,NGA001,,,Nigeria,Complex crisis in Nigeria,NGA,Africa,Complex crisis,Nigeria,Complex crisis,https://www.acaps.org/country/Nigeria/crisis/Complex-crisis,,Before 2019,More than 2 years
99,NGA003,,,Nigeria,Middle belt conflict,NGA,Africa,Conflict,Nigeria,Middle Belt,https://www.acaps.org/country/Nigeria/crisis/Middle-Belt,,Before 2019,More than 2 years
100,NGA004,,,Nigeria,Boko Haram crisis in Nigeria,NGA,Africa,Conflict,Nigeria,Boko Haram,https://www.acaps.org/country/Nigeria/crisis/Boko-Haram,,Before 2019,More than 2 years
101,NGA007,,,Nigeria,Northwest Banditry,NGA,Africa,Other type of violence,Nigeria,Northwest Banditry,https://www.acaps.org/country/Nigeria/crisis/Northwest-Banditry,,16/12/2019,More than 2 years
102,NGA008,,,Nigeria,Cameroonian Refugees in Nigeria,NGA,Africa,International displacement,Nigeria,Cameroonian Refugees in Nigeria,https://www.acaps.org/country/Nigeria/crisis/Cameroonian-Refugees-in-Nigeria,CMR003,2020-01-10 00:00:00,387
103,REG001,,,"Nigeria, Niger, Chad, Cameroon",Regional Boko Haram Crisis,"NGA, NER, TCD, CMR",Africa,Regional crisis,Nigeria,Regional Boko Haram,https://www.acaps.org/country/Nigeria/crisis/Regional-Boko-Haram,NGA004,Before 2019,More than 2 years
104,PAK001,,,Pakistan,Complex crisis in Pakistan,PAK,Asia,Complex crisis,Pakistan,Complex crisis,https://www.acaps.org/country/Pakistan/crisis/Complex-crisis,,Before 2019,More than 2 years
105,PAK004,,,Pakistan,Kashmir conflict in Pakistan,PAK,Asia,Conflict,Pakistan,Kashmir conflict,https://www.acaps.org/country/Pakistan/crisis/Kashmir-conflict,REG003,Before 2019,More than 2 years
106,PSE002,,,Palestine,Conflict in Palestine,PSE,Middle east,Conflict,Palestine,Complex,https://www.acaps.org/country/Palestine/crisis/Complex,,Before 2019,More than 2 years
107,PER002,,,Peru,Venezuela displacement in Peru,PER,Americas,International displacement,Peru,Venezuelan refugees,https://www.acaps.org/country/Peru/crisis/Venezuelan-refugees,VEN001,Before 2019,More than 2 years
108,PHL001,,,Philippines,Multiple crises in the Philippines,PHL,Asia,Multiple crisis country,Philippines,Country level,https://www.acaps.org/country/Philippines/crisis/Country-level,,16/12/2019,More than 2 years
109,PHL003,,,Philippines,Mindanao conflict,PHL,Asia,Conflict,Philippines,Mindanao Conflict,https://www.acaps.org/country/Philippines/crisis/Mindanao-Conflict,,Before 2019,More than 2 years
110,PHL004,EQ-2019-000129-PHL,EQ-2019-000129-PHL,Philippines,Mindanao Earthquake,PHL,Asia,Earthquake,Philippines,Mindanao Earthquake,https://www.acaps.org/country/Philippines/crisis/Mindanao-Earthquake,,2019-12-16 00:00:00,412
111,PHL009,,,Philippines,Typhoon Goni (Rolly) and Typhoon Vamco (Ulysses),PHL,Asia,Tropical cyclone,Philippines,Typhoon Goni and Typhoon Vamco,https://www.acaps.org/country/Philippines/crisis/Typhoon-Goni-and-Typhoon-Vamco,,2020-11-11 00:00:00,81
112,RWA002,,,Rwanda,Burundi and DRC refugees in Rwanda,RWA,Africa,International displacement,Rwanda,Refugees,https://www.acaps.org/country/Rwanda/crisis/Refugees,,Before 2019,More than 2 years
113,SEN002,,,Senegal,Drought in Senegal,SEN,Africa,Drought,Senegal,Drought,https://www.acaps.org/country/Senegal/crisis/Drought,,Before 2019,More than 2 years
114,SOM001,,,Somalia,Complex crisis in Somalia,SOM,Africa,Complex crisis,Somalia,Complex crisis,https://www.acaps.org/country/Somalia/crisis/Complex-crisis,,Before 2019,More than 2 years
115,SOM002,,,Somalia,Mixed Migration Flows in Somalia,SOM,Africa,International displacement,Somalia,Mixed Migration,https://www.acaps.org/country/Somalia/crisis/Mixed-Migration,,Before 2019,More than 2 years
116,SOM004,,,Somalia,Floods in Somalia,SOM,Africa,Flood,Somalia,Floods,https://www.acaps.org/country/Somalia/crisis/Floods,,2020-04-30 00:00:00,276
117,SSD001,,,South Sudan,Complex crisis in South Sudan,SSD,Africa,Complex crisis,South Sudan,Complex crisis,https://www.acaps.org/country/South Sudan/crisis/Complex-crisis,,Before 2019,More than 2 years
118,SDN001,,,Sudan,Complex crisis in Sudan,SDN,Africa,Complex crisis,Sudan,Complex crisis,https://www.acaps.org/country/Sudan/crisis/Complex-crisis,,Before 2019,More than 2 years
119,SDN005,,,Sudan,Refugees in Sudan,SDN,Africa,International displacement,Sudan,Refugees,https://www.acaps.org/country/Sudan/crisis/Refugees,,2020-01-27 00:00:00,370
120,SDN006,FL-2020-000176-SDN,FL-2020-000176-SDN,Sudan,Floods in Sudan ,SDN,Africa,Flood,Sudan,Floods,https://www.acaps.org/country/Sudan/crisis/Floods,,2020-08-21 00:00:00,163
121,SDN007,,,Sudan,Refugees from Ethiopia,SDN,Africa,International displacement,Sudan,Refugee influx from Tigray,https://www.acaps.org/country/Sudan/crisis/Refugee-influx-from-Tigray,ETH004,2020-12-10 00:00:00,52
122,SYR001,,,Syria,Syrian conflict,SYR,Middle east,Complex crisis,Syria,Conflict,https://www.acaps.org/country/Syria/crisis/Conflict,,Before 2019,More than 2 years
123,REG004,,,"Syria, Turkey, Iraq, Egypt, Jordan, Lebanon",Syrian Regional Crisis,"SYR, TUR, IRQ, EGY, JOR, LBN",Middle east,Regional crisis,Syria,Syrian Regional Crisis,https://www.acaps.org/country/Syria/crisis/Syrian-Regional-Crisis,SYR001,Before 2019,More than 2 years
124,TZA002,,,Tanzania,International Displacement in Tanzania,TZA,Africa,International displacement,Tanzania,Refugees,https://www.acaps.org/country/Tanzania/crisis/Refugees,,Before 2019,More than 2 years
125,THA001,,,Thailand,Multiple situations in Thailand,THA,Asia,Multiple crisis country,Thailand,Country level,https://www.acaps.org/country/Thailand/crisis/Country-level,,Before 2019,More than 2 years
126,THA002,,,Thailand,Conflict in southern Thailand ,THA,Asia,Conflict,Thailand,Conflict,https://www.acaps.org/country/Thailand/crisis/Conflict,,Before 2019,More than 2 years
127,THA003,,,Thailand,Myanmar refugees in Thailand,THA,Asia,International displacement,Thailand,Refugees,https://www.acaps.org/country/Thailand/crisis/Refugees,MMR001,Before 2019,More than 2 years
128,TTO002,,,Trinidad and Tobago,Venezuelan refugees in Trinidad and Tobago,TTO,Americas,International displacement,Trinidad and Tobago,Venezuelan refugees,https://www.acaps.org/country/Trinidad and Tobago/crisis/Venezuelan-refugees,VEN001,Before 2019,More than 2 years
129,TUN002,,,Tunisia,Mixed migration flows in Tunisia,TUN,Africa,International displacement,Tunisia,Mixed Migration,https://www.acaps.org/country/Tunisia/crisis/Mixed-Migration,,Before 2019,More than 2 years
130,TUR001,,,Turkey,Complex situation in Turkey,TUR,Middle east,Multiple crisis country,Turkey,Country level,https://www.acaps.org/country/Turkey/crisis/Country-level,,Before 2019,More than 2 years
