,Country,Crisis,Crisis ID,ISO3 code,Region,Type of crisis,Website name,Country level,Individual or aggregated,Indicator,Reliability,Type of entry
24,Ecuador,Venezuela displacement in Ecuador,ECU002,ECU,Americas,International displacement,Venezuelan refugees ,Yes,Individual,Interference into implementation of humanitarian activities,,
25,Egypt,Syrian Refugee Crisis in Egypt,EGY002,EGY,Africa,International displacement,Refugee crisis,Yes,Individual,"Violence against personnel, facilities and assets",,
26,Eritrea,Complex crisis in Eritrea,ERI001,ERI,Africa,Complex crisis,Complex crisis,Yes,Individual,Denial of existence of humanitarian needs or entitlements to assistance,,
27,Spain,Mixed migration flows in spain,ESP002,ESP,Europe,International displacement,Mixed Migration,Yes,Individual,Restriction and obstruction of access to services and assistance,,
28,Ethiopia,Complex crisis in Ethiopia,ETH001,ETH,Africa,Complex crisis,Complex crisis,Yes,Individual,Ongoing insecurity/hostilities affecting humanitarian assistance,,
29,Ethiopia,Flood Crisis in Ethiopia,ETH002,ETH,Africa,Flood,Floods,No,Individual,Presence of mines and improvised explosive devices,,
30,Ethiopia,International Displacement,ETH003,ETH,Africa,International displacement,International Displacement,No,Individual,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",,
31,Ethiopia,Crisis in Tigray,ETH004,ETH,Africa,Conflict,Crisis in Tigray,No,Individual,,,
32,Greece,Mixed migration flows in Greece,GRC002,GRC,Europe,International displacement,Mixed Migration,Yes,Individual,,,
33,Guatemala,Complex crisis in Guatemala,GTM001,GTM,Americas,Complex crisis,Complex crisis,Yes,Individual,,,
34,Guatemala,Hurricane Eta and Iota in Guatemala,GTM003,GTM,Americas,Tropical cyclone,Hurricane Eta and Iota,No,Individual,,,
35,Honduras,Complex crisis in Honduras,HND001,HND,Americas,Complex crisis,Complex crisis,Yes,Individual,,,
36,Honduras,Hurricane Eta and Iota in Honduras,HND002,HND,Americas,Tropical cyclone,Hurricane Eta and Iota,No,Individual,,,
37,Haiti,Complex crisis in Haiti,HTI001,HTI,Americas,Complex crisis,Complex crisis,Yes,Individual,,,
38,Indonesia,Papua Conflict,IDN002,IDN,Asia,Conflict,Papua Conflict,Yes,Individual,,,
39,India,Conflict in Jammu and Kashmir,IND002,IND,Asia,Conflict,Kashmir conflict ,Yes,Individual,,,
40,Iran,Afghan Refugees in Iran,IRN004,IRN,Middle east,International displacement,Afghan Refugees,Yes,Individual,,,
41,Iraq,Multiple crises in Iraq,IRQ001,IRQ,Middle east,Multiple crises country,Country level,Yes,Aggregated,,,
42,Iraq,Conflict  in Iraq,IRQ002,IRQ,Middle east,Conflict,Conflict,No,Individual,,,
43,Iraq,Syrian and Palestinian refugees in iraq,IRQ003,IRQ,Middle east,International displacement,Syrian Refugees,No,Individual,,,
44,Italy,Mixed migration flows in Italy,ITA002,ITA,Europe,International displacement,Mixed Migration,Yes,Individual,,,
45,Jordan,Syrian refugees in Jordan,JOR002,JOR,Middle east,International displacement,Syrian refugees,Yes,Individual,,,
46,Kenya,Refugee situation in Kenya,KEN002,KEN,Africa,International displacement,Refugee situation,Yes,Individual,,,
47,Lebanon,Syrian refugees in Lebanon,LBN002,LBN,Middle east,International displacement,Syrian refugees,No,Individual,,,
48,Lebanon,Socioeconomic crisis in Lebanon,LBN004,LBN,Middle east,Political and economic crisis,Socioeconomic crisis,Yes,Individual,,,
49,Libya,Complex crisis in Libya,LBY001,LBY,Africa,Multiple crises country,Complex crisis,Yes,Aggregated,,,
50,Libya,Mixed migration flows in Libya,LBY002,LBY,Africa,International displacement,Mixed Migration,No,Individual,,,
51,Lesotho,Drought in Lesotho,LSO002,LSO,Africa,Drought,Drought,Yes,Individual,,,
52,Morocco,Mixed migration flows in Morocco,MAR002,MAR,Africa,International displacement,Mixed Migration,Yes,Individual,,,
53,Madagascar,Drought in Madagascar,MDG002,MDG,Africa,Drought,Drought,Yes,Individual,,,
54,Mexico,Multiple crisis in Mexico,MEX001,MEX,Americas,Multiple crises country,Country Level,Yes,Aggregated,,,
55,Mexico,Criminal Violence in Mexico,MEX002,MEX,Americas,Other type of violence,Criminal Violence,No,Individual,,,
56,Mexico,Mixed Migration in Mexico,MEX003,MEX,Americas,International displacement,Mixed Migration,No,Individual,,,
57,Mali,Complex crisis in Mali,MLI001,MLI,Africa,Complex crisis,Complex crisis,Yes,Individual,,,
58,Myanmar,Multiple crises in Myanmar,MMR001,MMR,Asia,Multiple crises country,Country level,Yes,Aggregated,,,
59,Myanmar,Rakhine Conflict,MMR002,MMR,Asia,Conflict,Rakhine conflict,No,Individual,,,
60,Myanmar,Kachin and Shan Conflict,MMR003,MMR,Asia,Conflict,Kachin and Shan conflict,No,Individual,,,
61,Myanmar,Post-coup Violence in Myanmar,MMR004,MMR,Asia,Conflict,Post-coup Violence,No,Individual,,,
62,Mozambique,Complex crisis in Mozambique,MOZ001,MOZ,Africa,Complex crisis,Complex crisis,Yes,Individual,,,
63,Mozambique,Cabo Delgado Islamist Insurgency,MOZ004,MOZ,Africa,Other type of violence,Violent Insurgency in Cabo Delgado,No,Individual,,,
64,Mozambique,Food Security Crisis in Mozambique,MOZ006,MOZ,Africa,Food Security,Food Security Crisis,No,Individual,,,
65,Mozambique,Tropical Cyclone Eloise in Mozambique,MOZ007,MOZ,Africa,Tropical cyclone,Tropical Cyclone Eloise,No,Individual,,,
66,Mauritania,Refugees from Mali in Mauritania,MRT002,MRT,Africa,International displacement,Malian refugees,No,Individual,,,
67,Mauritania,Food Security in Mauritania,MRT003,MRT,Africa,Drought,Food security,Yes,Individual,,,
68,Malawi,Complex crisis in Malawi,MWI002,MWI,Africa,Complex crisis,Complex,Yes,Individual,,,
69,Malaysia,International Refugees in Malaysia,MYS001,MYS,Asia,International displacement,International Refugees,Yes,Individual,,,
70,Namibia,Food Security Crisis in Namibia,NAM002,NAM,Africa,Food Security,Food Security Crisis,Yes,Individual,,,
71,Niger,Multiple crises in Niger,NER001,NER,Africa,Multiple crises country,Country level,Yes,Aggregated,,,
72,Niger,Boko Haram in Niger,NER002,NER,Africa,Conflict,Boko Haram,No,Individual,,,
73,Niger,Mali/Burkina Faso conflict,NER003,NER,Africa,Conflict,Cross-border violence ,No,Individual,,,
74,Niger,Nigerian Refugees,NER004,NER,Africa,International displacement,Nigerian Refugees,No,Individual,,,
75,Nigeria,Complex crisis in Nigeria,NGA001,NGA,Africa,Complex crisis,Complex crisis,Yes,Individual,,,
76,Nigeria,Middle belt conflict,NGA003,NGA,Africa,Conflict,Middle Belt,No,Individual,,,
77,Nigeria,Boko Haram crisis in Nigeria,NGA004,NGA,Africa,Conflict,Boko Haram ,No,Individual,,,
78,Nigeria,Northwest Banditry,NGA007,NGA,Africa,Other type of violence,Northwest Banditry,No,Individual,,,
79,Nigeria,Cameroonian Refugees in Nigeria,NGA008,NGA,Africa,International displacement,Cameroonian Refugees,No,Individual,,,
80,Nicaragua,Socioeconomic crisis in Nicaragua,NIC001,NIC,Americas,Political and economic crisis,Socioeconomic crisis,Yes,Individual,,,
81,Nicaragua,Hurricane Eta and Iota in Nicaragua,NIC002,NIC,Americas,Tropical cyclone,Hurricane Eta and Iota,No,Individual,,,
82,Pakistan,Complex crisis in Pakistan,PAK001,PAK,Asia,Complex crisis,Complex crisis,Yes,Individual,,,
83,Pakistan,Kashmir conflict in Pakistan,PAK004,PAK,Asia,Conflict,Kashmir conflict,No,Individual,,,
84,Peru,Venezuela displacement in Peru,PER002,PER,Americas,International displacement,Venezuelan refugees,Yes,Individual,,,
85,Philippines,Mindanao conflict,PHL003,PHL,Asia,Conflict,Mindanao Conflict,Yes,Individual,,,
86,DPRK,Complex crisis in DPRK,PRK001,PRK,Asia,Complex crisis,Complex crisis,Yes,Individual,,,
87,Palestine,Conflict in Palestine,PSE002,PSE,Middle east,Conflict,Conflict,Yes,Individual,,,
88,"Nigeria,Niger,Chad,Cameroon",Regional Boko Haram Crisis,REG001,"NGA,NER,TCD,CMR","Africa,Africa,Africa,Africa",Regional crisis,Regional Boko Haram,,Individual,,,
89,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago",Venezuela Regional Crisis,REG002,"VEN,BRA,COL,ECU,PER,TTO","Americas,Americas,Americas,Americas,Americas,Americas",Regional crisis,Venezuela Regional Crisis,,Individual,,,
90,"India,Pakistan",Regional Kashmir conflict,REG003,"IND,PAK","Asia,Asia",Regional crisis,Regional Kashmir conflict,No,Individual,,,
91,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon",Syrian Regional Crisis,REG004,"SYR,TUR,IRQ,EGY,JOR,LBN","Middle east,Middle east,Middle east,Africa,Middle east,Middle east",Regional crisis,Syrian Regional Crisis,No,Individual,,,
92,"Turkey,Greece",Eastern Mediterranean Route ,REG006,"TUR,GRC","Middle east,Europe",Regional crisis,Eastern Mediterranean Route ,,Individual,,,
93,"Algeria,Tunisia,Libya,Italy",Central Mediterranean Route,REG007,"DZA,TUN,LBY,ITA","Africa,Africa,Africa,Europe",Regional crisis,Central Mediterranean Route,,Individual,,,
94,"Algeria,Morocco,Spain",Western Mediterranean Route,REG008,"DZA,MAR,ESP","Africa,Africa,Europe",Regional crisis,Western Mediterranean Route,,Individual,,,
95,"Bangladesh,Myanmar",Rohingya Regional Crisis,REG011,"BGD,MMR","Asia,Asia",Regional crisis,Rohingya Regional Crisis,No,Individual,,,
96,"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Eswatini,Zambia,Zimbabwe",Southern Africa Regional Food Security Crisis,REG012,"LSO,MDG,MWI,MOZ,NAM,SWZ,ZMB,ZWE","Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa",Regional crisis,Southern Africa Regional Food Security Crisis,,Individual,,,
97,"Armenia,Azerbaijan",Nagorno-Karabakh Conflict,REG013,"ARM,AZE","Middle east,Middle east",Regional crisis,Regional Nagorno-Karabakh Conflict,,Individual,,,
98,Rwanda,Burundi and DRC refugees in Rwanda,RWA002,RWA,Africa,International displacement,Refugees,Yes,Individual,,,
99,Sudan,Complex crisis in Sudan,SDN001,SDN,Africa,Multiple crises country,Complex crisis,Yes,Aggregated,,,
100,Sudan,Refugees in Sudan,SDN005,SDN,Africa,International displacement,Refugees,No,Individual,,,
101,Sudan,Floods in Sudan ,SDN006,SDN,Africa,Flood,Floods,No,Individual,,,
102,Sudan,Refugees from Ethiopia,SDN007,SDN,Africa,International displacement,Refugee influx from Tigray,No,Individual,,,
103,Sudan,Violence West-Darfur,SDN008,SDN,Africa,Other type of violence,West-Darfur Violence,No,Individual,,,
104,Senegal,Drought in Senegal,SEN002,SEN,Africa,Drought,Drought,Yes,Individual,,,
105,El Salvador,Complex crisis in El Salvador,SLV001,SLV,Americas,Complex crisis,Complex crisis,Yes,Individual,,,
106,Somalia,Complex crisis in Somalia,SOM001,SOM,Africa,Complex crisis,Complex crisis,Yes,Individual,,,
107,Somalia,Mixed Migration Flows in Somalia,SOM002,SOM,Africa,International displacement,Mixed Migration,No,Individual,,,
108,Somalia,Floods in Somalia,SOM004,SOM,Africa,Flood,Floods,No,Individual,,,
109,South Sudan,Complex crisis in South Sudan,SSD001,SSD,Africa,Complex crisis,Complex crisis,Yes,Individual,,,
110,Eswatini,Food Security Crisis in Eswatini,SWZ001,SWZ,Africa,Food Security,Food Security Crisis,Yes,Individual,,,
111,Syria,Syrian conflict,SYR001,SYR,Middle east,Complex crisis,Conflict,Yes,Individual,,,
112,Chad,Complex crisis in Chad,TCD001,TCD,Africa,Multiple crises country,Complex crisis,Yes,Aggregated,,,
113,Chad,Boko Haram in Chad,TCD003,TCD,Africa,Conflict,Boko Haram ,No,Individual,,,
114,Chad,CAR refugees in Chad,TCD004,TCD,Africa,International displacement,CAR refugees,No,Individual,,,
115,Chad,Darfur refugees in Chad,TCD005,TCD,Africa,International displacement,Darfur refugees,No,Individual,,,
116,Chad,Tibesti Conflict in Chad,TCD006,TCD,Africa,Conflict,Tibesti conflict,No,Individual,,,
117,Thailand,Multiple situations in Thailand,THA001,THA,Asia,Multiple crises country,Country level,Yes,Aggregated,,,
118,Thailand,Conflict in southern Thailand ,THA002,THA,Asia,Conflict,Conflict,No,Individual,,,
119,Thailand,Myanmar refugees in Thailand,THA003,THA,Asia,International displacement,Refugees,No,Individual,,,
120,Timor Leste,Tropical Cyclone Seroja,TLS002,TLS,Asia,Tropical cyclone,Tropical Cyclone Seroja,Yes,Individual,,,
121,Trinidad and Tobago,Venezuelan refugees in Trinidad and Tobago,TTO002,TTO,Americas,International displacement,Venezuelan refugees,Yes,Individual,,,
122,Tunisia,Mixed migration flows in Tunisia,TUN002,TUN,Africa,International displacement,Mixed Migration,Yes,Individual,,,
123,Turkey,Complex situation in Turkey,TUR001,TUR,Middle east,Multiple crises country,Country level,Yes,Aggregated,,,
124,Turkey,Syrian Refugees in Turkey,TUR002,TUR,Middle east,International displacement,Syrian refugees,No,Individual,,,
125,Turkey,Mixed Migration Flows in Turkey,TUR003,TUR,Middle east,International displacement,Mixed Migration,No,Individual,,,
126,Turkey,Kurdish Conflict,TUR004,TUR,Middle east,Conflict,Kurdish conflict,No,Individual,,,
127,Tanzania,International Displacement in Tanzania,TZA002,TZA,Africa,International displacement,Refugees,Yes,Individual,,,
128,Uganda,International Displacement in Uganda,UGA005,UGA,Africa,International displacement,Refugees,Yes,Individual,,,
129,Ukraine,Conflict in Ukraine,UKR002,UKR,Europe,Conflict,Conflict,Yes,Individual,,,
130,St. Vincent and the Grenadines,La Soufrière Volcano Eruption,VCT002,VCT,Americas,Volcano,La Soufrière Volcano Eruption,Yes,Individual,,,
131,Venezuela,Complex crisis in Venezuela,VEN001,VEN,Americas,Complex crisis,Complex crisis,Yes,Individual,,,
132,Yemen,Conflict in Yemen,YEM001,YEM,Middle east,Complex crisis,Complex crisis,Yes,Individual,,,
133,Yemen,Mixed migration flows in Yemen,YEM002,YEM,Middle east,International displacement,Mixed Migration,No,Individual,,,
134,Zambia,Drought in Zambia,ZMB002,ZMB,Africa,Drought,Drought,Yes,Individual,,,
135,Zimbabwe,Complex crisis in Zimbabwe,ZWE001,ZWE,Africa,Complex crisis,Complex crisis,Yes,Individual,,,
