,Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
17,Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,34263,3803000,1246000,623000,x,x,208,x,x,,5.2,2557000,0,166000,1080000,0,5,x,x,1.0,3.0,1.0,2.0,0.0,3.0,3.0,1.0,3.0
18,Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,89005,13474000,2034000,974000,x,x,254,x,x,,x,11439000,0,1431000,603000,0,4,x,377500,1.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,1.0
19,CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,201932,5658000,475000,347000,0,x,17,0,0,,x,5183000,0,475000,0,0,3,x,x,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
20,Complex crisis in DRC,Complex crisis,COD001,DRC,COD,2267048,106200000,25500000,10103000,x,x,3311,x,x,,1700,80700000,9500000,12500000,2900000,600000,5,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0
21,Complex crisis in Congo,Complex crisis,COG001,Congo,COG,324000,655000,280000,135000,x,x,x,x,x,,x,375000,239000,36000,4000,0,3,x,x,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
22,Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,1114750,51000000,11100000,454000,155,x,311,x,x,,x,39900000,3400000,4507000,2900000,293000,3,x,x,0.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,3.0
23,Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,133358,22963000,5510000,2478000,x,x,367,x,x,,x,17453000,679000,4831000,0,0,3,x,x,0.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,3.0
24,Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,4462,1133000,227000,180000,x,x,x,x,x,,x,906000,47000,180000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,23180,1157000,643000,36000,x,x,3,x,x,,x,514000,415000,216000,5000,0,5,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,7300,681000,36000,36000,x,x,3,0,0,,0,626000,0,36000,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Drought in Djibouti,Drought,DJI003,Djibouti,DJI,23180,1157000,607000,x,0,x,x,0,0,,x,550000,415000,180000,12000,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Venezuela displacement in Dominican Republic,International displacement,DOM002,Dominican Republic,DOM,48310,10074000,9510000,115000,x,x,x,x,x,,x,564000,9411000,99000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Mixed migration flows in Algeria,International displacement,DZA002,Algeria,DZA,2381741,44912000,262000,262000,x,x,64,0,0,,x,44650000,0,262000,0,0,4,x,x,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
30,Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,159000,223000,174000,174000,x,x,0,x,x,,x,49000,84000,90000,0,0,2,0,0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
31,Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,2381000,44036000,x,x,x,x,152,x,x,,x,x,x,x,x,x,3,x,x,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
32,Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,248360,17643000,8304000,803000,x,x,4,x,x,,x,9339000,7431000,873000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
33,Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,91071.77,14130000,144000,144000,x,x,0,x,x,,x,13986000,0,144000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
34,Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,101000,6209000,1200000,321000,x,x,x,x,x,,x,5009000,0,1200000,0,0,5,x,x,3.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0
35,Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,100000,12119000,131000,131000,x,x,98,x,x,,x,11988000,0,131000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,1063652,103700000,103700000,6747000,0,0,1230,x,x,,x,0,80200000,925000,17150000,5425000,4,x,10000,2.0,3.0,3.0,0.0,2.0,2.0,3.0,3.0,3.0
37,International Displacement,International displacement,ETH003,Ethiopia,ETH,1063652,103700000,17700000,871000,0,0,18,x,x,,x,86000000,16830000,871000,0,0,3,0,0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0
38,Northern Ethiopia Conflict,Conflict,ETH004,Ethiopia,ETH,311484,30500000,30500000,2511000,0,0,345,,,,,0,21100000,6499000,2500000,401000,4,0,210000,2.0,3.0,3.0,0.0,2.0,2.0,3.0,3.0,3.0
39,Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,618190,62500000,8100000,413000,x,x,0,x,x,,x,54400000,900000,7200000,0,0,3,x,x,2.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0
40,Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,3364.07,411000,166000,166000,0,x,28,x,x,,x,245000,147000,19000,0,0,2,x,x,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
41,Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,107160,17100000,5700000,242000,x,7505,509,56769,33,,367600000,11400000,1900000,3800000,0,0,5,x,x,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
42,Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,111890,9400000,4000000,80000,x,3232,558,414,414,,2258000000,5400000,1200000,2800000,0,0,3,x,x,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0
43,Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,27560,11400000,8200000,88000,12898,x,2347,77006,52953,,1500000000,3200000,3800000,1900000,1500000,1000000,5,x,x,0.0,2.0,2.0,3.0,0.0,2.0,3.0,0.0,3.0
44,Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,12851,6429000,690000,15000,12763,x,2248,83858,53815,,1500000000,5739000,40000,650000,0,0,3,x,x,0.0,2.0,2.0,3.0,0.0,2.0,3.0,0.0,3.0
45,Displacement from Ukraine conflict in Hungary,International displacement,HUN002,Hungary,HUN,5936,1595000,1042000,1042000,,,0,,,,,553000,0,1042000,0,0,2,,,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
46,Papua Conflict,Conflict,IDN002,Indonesia,IDN,421991,5438000,5438000,100000,x,x,38,x,x,,x,0,5338000,100000,0,0,4,x,x,1.0,3.0,2.0,0.0,2.0,3.0,1.0,1.0,2.0
47,Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,222236,12541000,x,x,x,x,193,x,x,,x,12541000,x,x,x,x,x,x,x,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0
48,Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,239561,24823000,2880000,2880000,x,x,x,x,x,,x,21943000,0,780000,2100000,0,2,x,x,1.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0
49,Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,383312,40576000,5590000,8507000,x,x,2082,x,x,,133900,34986000,2827000,2234000,383000,146000,5,1500000,300000,1.0,2.0,2.0,0.0,3.0,3.0,2.0,3.0,1.0
50,Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,383312,40576000,5300000,8239000,x,x,2082,x,x,,133900,35276000,2800000,2150000,225000,125000,5,1500000,300000,1.0,2.0,2.0,0.0,3.0,3.0,2.0,3.0,1.0
51,Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,40643,5150000,522000,263000,x,x,x,x,0,,x,4634000,27000,316000,158000,21000,5,x,0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0
52,Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,41055,6646000,169000,169000,x,x,828,x,0,,x,6477000,0,169000,0,0,3,x,x,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
53,Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,40463,8708000,1839000,1319000,x,x,0,x,x,,x,6869000,1062000,622000,155000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
54,Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,519240,17097000,14425000,552000,x,942000,3,0,0,,0,2672000,9771000,3554000,1100000,0,2,0,0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
55,Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,38244,1292000,552000,552000,x,0,x,0,0,,0,740000,0,552000,0,0,2,0,x,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
56,Drought in Kenya,Drought,KEN003,Kenya,KEN,519240,16829000,13873000,x,x,942000,3,0,0,,0,2956000,9771000,3002000,1100000,0,2,0,0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
57,Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,10450,6825000,6282000,1529000,x,0,x,x,x,,x,543000,4753000,780000,703000,46000,2,x,x,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0
58,Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,10450,6825000,6282000,x,x,x,17,x,x,,x,543000,3073000,1889000,1275000,46000,3,x,x,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0
59,Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,1759540,8200000,3772000,1533000,x,x,898,x,x,,x,4428000,2952000,738000,82000,0,7,198000,633000,1.0,3.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0
60,Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,1759540,8200000,693000,693000,x,x,875,x,x,,x,7507000,0,693000,0,0,4,79000,229000,1.0,3.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0
61,Socio-economic crisis in Sri Lanka,Political and economic crisis,LKA002,Sri Lanka,LKA,62705,22156000,22156000,0,178,,8,,,,,0,16456000,4000000,1644000,56000,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
62,Drought in Lesotho,Drought,LSO002,Lesotho,LSO,30355,1476000,866000,x,0,0,0,0,0,,x,610000,528000,312000,26000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,446300,37462000,21000,21000,x,x,98,0,0,,0,37441000,0,21000,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64,DIsplacement from Ukraine conflict in Moldova,International displacement,MDA002,Moldova,MDA,1595,659000,549000,549000,,,0,,,,,110000,0,549000,0,0,2,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Multiple crisis in Madagascar,Multiple crises country,MDG001,Madagascar,MDG,581800,27000000,4509000,25000,x,x,259,28020,14597,,x,22491000,2850000,1325000,334000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
66,Drought in Madagascar,Drought,MDG002,Madagascar,MDG,149752,6348000,3549000,3000,0,x,0,x,x,,x,3149000,2153000,925000,122000,0,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
67,Tropical Cyclones Season in 2022 in Madagascar,Tropical cyclone,MDG006,Madagascar,MDG,581800,27000000,960000,22000,x,x,206,28020,14597,,x,26040000,938000,22000,0,0,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
68,Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,1943950,118414000,534000,534000,x,x,8581,x,x,,x,117879000,534000,88000,0,0,5,x,x,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0
69,Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,1943950,118414000,379000,379000,x,x,7895,x,x,,x,118035000,379000,x,x,x,5,x,x,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0
70,Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,1671738,113961000,155000,155000,x,x,686,x,x,,x,113805000,68000,88000,0,0,3,x,x,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0
71,Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,1240190,20251000,6300000,1360000,x,44056,3236,x,1,,x,13951000,0,3400000,2700000,200000,5,x,x,1.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0
72,Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,661578,55700000,34974000,2190000,x,x,11582,x,x,,x,20726000,20568000,2807000,9137000,2462000,4,x,x,2.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0
73,Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,40755,3854000,1553000,1263000,x,x,41,x,x,,x,2300000,0,0,1553000,0,4,x,x,2.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0
74,Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,244843,8393000,8393000,102000,x,x,572,x,x,,x,5400000,0,777000,2065000,151000,3,x,x,2.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0
75,Post-coup conflict in Myanmar,Conflict,MMR004,Myanmar,MMR,379957,43453000,30428000,825000,x,x,10969,x,x,,x,13025000,20568000,2030000,5519000,2311000,3,x,x,2.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0
76,Multiple Crises in Mozambique,Multiple crises country,MOZ001,Mozambique,MOZ,550263,20399000,10885000,953000,367,x,549,143407,13365,,1700000,9514000,8395000,2466000,24000,0,5,x,x,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0
77,Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,280615,10302000,10302000,947000,x,0,407,x,x,,x,0,8764000,1514000,24000,0,3,x,x,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0
78,2022 Tropical Cyclone Seasons in Mozambique,Tropical cyclone,MOZ008,Mozambique,MOZ,471485,18066000,1021000,6000,367,x,142,143407,13365,,1700000,17045000,0,1021000,0,0,4,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
79,Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,206000,1513000,1513000,85000,0,x,0,0,0,,x,0,1428000,85000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
80,Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,1030700,4359000,2314000,x,x,136000,0,x,x,,x,2045000,1435000,796000,83000,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
81,Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,94280,19129000,990000,190000,206,0,73,x,x,,x,16010000,3992000,2000000,0,0,2,x,x,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
82,Tropical Cyclone Ana in Malawi,Tropical cyclone,MWI004,Malawi,MWI,94548,17000000,414000,78000,147,x,32,x,x,,x,16010000,310000,680000,0,0,2,116000,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
83,International Refugees in Malaysia,International displacement,MYS001,Malaysia,MYS,9206,10090000,10090000,183000,,,6,,,,,0,9907000,183000,0,0,3,,,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
84,Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,824292,2551000,1587000,0,0,0,0,,,,,964000,836000,632000,119000,0,1,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
85,Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,1267000,24500000,4341000,595000,x,x,501,x,x,,x,20159000,700000,2900000,700000,41000,3,x,x,0.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0
86,Boko Haram in Niger,Conflict,NER002,Niger,NER,156906,949000,293000,237000,141012,x,123,x,x,,x,656000,1000,272000,20000,0,5,x,x,0.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0
87,Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,210600,8400000,1356000,224000,x,x,472,x,x,,x,7044000,9000,1310000,36000,0,5,x,x,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0
88,Nigerian Refugees,International displacement,NER004,Niger,NER,8616,1328000,704000,187000,x,x,16,0,0,,0,624000,0,662000,42000,0,2,x,x,1.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0
89,Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,909890,206140000,22226000,5543000,x,x,5382,x,4300,,x,183913000,6211000,13516000,2416000,84000,5,x,800000,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0
90,Middle belt conflict,Conflict,NGA003,Nigeria,NGA,181664,15532000,1476000,495000,x,x,524,x,x,,x,14056000,0,1456000,20000,0,5,x,x,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
91,Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,157918,14611000,14611000,4462000,x,x,1147,x,4300,,x,0,6211000,5964000,2352000,84000,4,x,800000,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0
92,Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,237708,35593000,6061000,507000,x,x,2814,500,10500,,49,29532000,0,6018000,44000,0,5,x,x,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
93,Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,108688,12675000,78000,78000,x,x,x,x,x,,x,12597000,0,78000,0,0,2139,x,x,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
94,Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,120340,6201000,150000,150000,x,x,30,x,x,,x,6051000,x,x,x,x,x,x,x,2.0,0.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0
95,Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,770880,229489000,68843000,21660000,x,x,882,x,x,,x,160646000,57843000,9909000,1092000,0,5,x,x,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0
96,Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,13297,4450000,x,x,x,x,0,x,x,,x,x,x,x,x,x,3,x,x,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
97,Floods in Pakistan ,Flood,PAK005,Pakistan,PAK,562625,90754000,218000,3000,0,0,312,0,0,,0,90536000,68000,120000,30000,0,1,,,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0
98,Venezuela displacement in Panama,International displacement,PAN002,Panama,PAN,74177,122000,96000,122000,x,x,61,x,x,,x,26000,2000,94000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Venezuela displacement in Peru,International displacement,PER002,Peru,PER,1280000,33359000,10081000,1570000,x,x,4,x,x,,x,23278000,8381000,1700000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100,Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,232534.48,44915000,12135000,115000,1147,x,215,1715247,405161,,66000000000,32780000,9623000,2511000,0,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
101,Mindanao conflict,Conflict,PHL003,Philippines,PHL,138354,26252000,111000,111000,x,x,215,x,x,,x,26141000,0,111000,0,0,4,x,x,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102,Typhoon RAI,Tropical cyclone,PHL010,Philippines,PHL,195883.53,18662000,12023000,3000,0,x,0,1715247,405161,,66000000000,6639000,9623000,2400000,0,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
103,Displacement from Ukraine conflict in Poland,International displacement,POL002,Poland,POL,147500,5277000,4944000,4944000,,,0,,,,,333000,0,4944000,0,0,2,,,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
104,Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,120410,25666000,25666000,34000,x,x,23,x,x,,x,0,15120000,4970000,5459000,0,1,x,x,1.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,3.0
105,Conflict in Palestine,Conflict,PSE002,Palestine,PSE,6025,5355000,4712000,6401000,3404,x,28,160000,11422,,x,643000,2356000,2035000,321000,0,4,x,4950000,2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0,3.0
106,Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",369002,19217000,13183000,5158000,x,x,1833,0,4300,,5200000,6035000,4223000,4636000,4201000,122000,5,x,800000,1.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
