,INFORM Severity Index - all countries. Release: September 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
41,Food Security in Mauritania,MRT003,Mauritania,MRT,Drought,2.9,3,Medium,Increasing,Medium,3.2,4.4,2.25,3,3,3,2.6,2.6,2.5,Africa,2020-09-30 00:00:00
42,Multiple crisis in Mexico,MEX001,Mexico,MEX,Multiple crises country,x,x,x,-,Very Low,4.2,4.6,4,x,x,x,3,2.9,3,Americas,2020-10-06 00:00:00
43,Mixed migration flows in Morocco,MAR002,Morocco,MAR,International displacement,x,x,x,-,Very Low,3.5,4.8,2.4,x,x,x,2.1,3,1,Africa,2020-09-29 00:00:00
44,Complex crisis in Mozambique,MOZ001,Mozambique,MOZ,Complex crisis,3.2,4,High,Decreasing,High,3.5,2.5,3.9,3.2,3.4,3,3,3.5,2.5,Africa,2020-10-16 00:00:00
45,Multiple crises in Myanmar,MMR001,Myanmar,MMR,Multiple crises country,3.5,4,High,Decreasing,High,3.3,2.7,3.5,3.65,3.3,4,3.5,3.4,3.5,Asia,2020-10-02 00:00:00
46,Food Security Crisis in Namibia,NAM002,Namibia,NAM,Food Security,2,2,Low,Stable,High,1.6,1.8,1.5,2.85,2.7,3,1,1.5,0.5,Africa,2020-10-06 00:00:00
47,Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,NIC,Political and economic crisis,x,x,x,-,Low,2.9,4.1,2,x,x,x,2.1,2.7,1.5,Americas,2020-10-06 00:00:00
48,Multiple crises in Niger,NER001,Niger,NER,Multiple crises country,3.7,4,High,Increasing,High,4.1,4.9,3.5,3.65,4.3,3,3.4,2.7,4,Africa,2020-10-05 00:00:00
49,Complex crisis in Nigeria,NGA001,Nigeria,NGA,Complex crisis,4.2,5,Very High,Stable,High,4.1,4.3,4,4.3,4.6,4,4.1,3.5,4.5,Africa,2020-10-05 00:00:00
50,Complex crisis in Pakistan,PAK001,Pakistan,PAK,Complex crisis,3.4,4,High,Stable,High,3.7,5,2.7,3.05,4.1,2,3.6,3.2,4,Asia,2020-10-06 00:00:00
51,Conflict in Palestine,PSE002,Palestine,PSE,Conflict,3.9,4,High,Stable,High,3.8,3.4,4,4.45,3.9,5,3.2,2.2,4,Middle east,2020-10-07 00:00:00
52,Venezuela displacement in Peru,PER002,Peru,PER,International displacement,2.6,3,Medium,Stable,Medium,2.5,2.8,2.4,3.1,3.2,3,1.9,2.3,1.5,Americas,2020-10-06 00:00:00
53,Multiple crises in the Philippines,PHL001,Philippines,PHL,Multiple crises country,2.4,3,Medium,Stable,Very High,3.1,3.3,3,1.65,2.3,1,3,2.9,3,Asia,2020-10-07 00:00:00
54,Burundi and DRC refugees in Rwanda,RWA002,Rwanda,RWA,International displacement,1.9,2,Low,Stable,High,2.2,2.1,2.3,1.5,2,1,2.1,2.6,1.5,Africa,2020-10-05 00:00:00
55,Drought in Senegal,SEN002,Senegal,SEN,Drought,2.4,3,Medium,Decreasing,Medium,2.7,4.5,1.2,2.35,2.7,2,2.2,1.8,2.5,Africa,2020-10-05 00:00:00
56,Complex crisis in Somalia,SOM001,Somalia,SOM,Complex crisis,4.6,5,Very High,Stable,High,4.7,4.6,4.8,4.75,4.5,5,4.2,3.9,4.5,Africa,2020-10-06 00:00:00
57,Complex crisis in South Sudan,SSD001,South Sudan,SSD,Complex crisis,4.4,5,Very High,Increasing,High,4.7,4.6,4.8,4.4,4.8,4,4.1,3.7,4.5,Africa,2020-10-06 00:00:00
58,Complex crisis in Sudan,SDN001,Sudan,SDN,Complex crisis,4.6,5,Very High,Stable,High,4.2,4.8,3.9,4.95,4.9,5,4.2,3.9,4.5,Africa,2020-10-06 00:00:00
59,Syrian conflict,SYR001,Syria,SYR,Complex crisis,4.9,5,Very High,Stable,Medium,4.8,4.5,4.9,5,5,5,4.8,4.5,5,Middle east,2020-09-29 00:00:00
60,International Displacement in Tanzania,TZA002,Tanzania,TZA,International displacement,1.7,2,Low,Increasing,High,2,2.3,1.9,1.7,2.4,1,1.6,1.7,1.5,Africa,2020-10-09 00:00:00
61,Multiple situations in Thailand,THA001,Thailand,THA,Multiple crises country,2.1,3,Medium,Stable,High,2.6,1.2,3.2,1.8,1.6,2,2.1,2.6,1.5,Asia,2020-10-06 00:00:00
62,Venezuelan refugees in Trinidad and Tobago,TTO002,Trinidad and Tobago,TTO,International displacement,1.5,2,Low,Stable,Medium,2,2.9,1.4,1.15,1.3,1,1.5,1.4,1.5,Americas,2020-10-06 00:00:00
63,Mixed migration flows in Tunisia,TUN002,Tunisia,TUN,International displacement,x,x,x,-,Low,3.3,4.3,2.7,x,x,x,1.4,2.1,0.5,Africa,2020-09-29 00:00:00
64,Complex situation in Turkey,TUR001,Turkey,TUR,Multiple crises country,3.2,4,High,Stable,High,3.7,3.8,3.7,2.95,3.9,2,3.2,3.3,3,Middle east,2020-10-06 00:00:00
65,Multiple crises in Uganda,UGA001,Uganda,UGA,Multiple crises country,2.9,3,Medium,Stable,High,3,2.9,3.1,3.3,3.6,3,2.1,2.7,1.5,Africa,2020-10-16 00:00:00
66,Conflict in Ukraine,UKR002,Ukraine,UKR,Conflict,3.5,4,High,Stable,High,3.2,1.7,3.8,4.1,4.2,4,2.6,2.2,3,Europe,2020-10-06 00:00:00
67,Cyclone Harold in Vanuatu,VUT002,Vanuatu,VUT,Tropical cyclone,2,2,Low,Stable,High,2.3,2.6,2.2,2.4,1.8,3,1.1,1.1,1,Pacific,2020-07-02 00:00:00
68,Complex crisis in Venezuela,VEN001,Venezuela,VEN,Complex crisis,4.1,5,Very High,Stable,High,5,4.9,5,4,5,3,3.3,3.6,3,Americas,2020-10-07 00:00:00
69,Conflict in Yemen,YEM001,Yemen,YEM,Complex crisis,4.6,5,Very High,Stable,High,4.9,4.9,4.9,4.5,5,4,4.5,3.8,5,Middle east,2020-10-19 00:00:00
70,Drought in Zambia,ZMB002,Zambia,ZMB,Drought,2.8,3,Medium,Increasing,Very High,2.5,3.9,1.5,3.45,3.9,3,1.8,2,1.5,Africa,2020-10-05 00:00:00
71,Complex crisis in Zimbabwe,ZWE001,Zimbabwe,ZWE,Complex crisis,3.7,4,High,Stable,Very High,3.2,4,2.7,4.2,4.4,4,3.1,3.2,3,Africa,2020-10-06 00:00:00
