,Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
11,Rohingya Regional Crisis,Regional crisis,REG011,"Bangladesh, Myanmar","BGD, MMR",45507,5214000,2896000,1177000,x,x,161,x,x,,x,2318000,1281000,903000,711000,0,4,x,x,2,2,1,0,2,3,3,0,2
12,Venezuela displacement in Brazil,International displacement,BRA002,Brazil,BRA,224274,870000,663000,264000,x,x,0,x,x,,x,207000,399000,264000,0,0,2,x,x,0,0,0,0,0,0,0,0,0
13,Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,151789,8736000,5277000,1051000,X,X,1341,X,X,,X,3459000,3107000,490000,764000,916000,4,x,x,1,2,0,3,1,2,3,0,2
14,Floods in Burkina Faso,Flood,BFA003,Burkina Faso,BFA,270764,21138000,71000,x,50,x,13,3446,3346,,x,21067000,0,26000,46000,0,5,x,x,1,2,1,2,0,3,3,0,2
15,Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,25680,11657000,4048000,512000,x,70187,211,x,x,,444,7609000,3293000,713000,42000,0,5,x,x,2,2,1,0,3,1,1,0,2
16,Multiple crises in Cameroon,Multiple crises country,CMR001,Cameroon,CMR,283816,10707000,5583000,1476000,150,x,557,x,x,,x,5124000,3855000,1543000,185000,0,5,x,x,0,3,3,0,1,3,2,1,3
17,Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,34263,4378000,2521000,438000,X,X,207,x,x,,5.2,1857000,1879000,553000,89000,0,5,x,x,0,0,0,0,0,2,1,2,2
18,Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,76850,4374000,2763000,738000,X,x,326,X,X,,X,1611000,1976000,690000,97000,0,4,x,377500,1,2,3,0,1,3,0,2,2
19,CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,172703,1956000,300000,300000,0,x,0,0,0,,x,1656000,0,300000,0,0,3,x,x,0,0,0,0,0,0,0,2,0
20,Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,623000,4900000,4900000,1695000,X,X,186,X,X,,X,0,2300000,900000,1700000,0,5,X,X,0,3,2,2,0,2,3,x,3
21,Complex crisis in Chad,Multiple crises country,TCD001,Chad,TCD,1259200,16783000,7607000,880000,x,x,441,x,x,,x,9169000,1207000,4736000,1472000,192000,5,x,x,1,2,1,0,0,2,3,2,1
22,Boko Haram in Chad,Conflict,TCD003,Chad,TCD,19915,685000,685000,343000,x,x,325,x,x,,x,0,318000,98000,147000,122000,5,x,x,1,2,0,0,0,2,3,2,3
23,CAR refugees in Chad,International displacement,TCD004,Chad,TCD,154623,4456000,1004000,164000,X,X,X,X,0,,X,3452000,0,743000,261000,0,3,X,X,1,0,1,0,0,0,2,2,2
24,Darfur refugees in Chad,International displacement,TCD005,Chad,TCD,205671,2577000,1123000,368000,X,X,11,X,0,,X,1454000,0,694000,429000,0,2,X,X,1,1,1,0,0,0,3,2,2
25,Tibesti Conflict in Chad,Conflict,TCD006,Chad,TCD,220000,38000,38000,x,x,x,33,x,x,,x,0,20000,11000,6000,1000,3,x,x,1,2,1,0,2,2,1,2,1
26,Floods in Chad,Flood,TCD008,Chad,TCD,20000,730000,275000,120000,x,x,10,x,x,,x,455000,36000,239000,0,0,5,x,x,1,2,2,0,0,2,3,2,3
27,Floods in China,Flood,CHN002,China,CHN,2918841,1003110000,70000000,4690000,x,x,271,x,x,,29000,937800000,65310000,4690000,0,0,2,,,0,0,2,0,1,0,0,0,1
28,Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,1109500,48300000,13400000,3126000,x,x,x,x,x,,x,34900000,4900000,5998000,2502000,0,5,1800000,11500,0,2,0,0,0,2,1,3,1
29,Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,135000,26910000,2825000,2765000,x,x,x,x,x,,x,23545000,0,2865000,500000,0,3,x,x,0,2,0,0,0,2,1,3,1
30,Pool conflict,Conflict,COG002,Congo,COG,34000,300000,160000,134000,x,x,0,x,105,,334,140000,46000,114000,0,0,4,x,x,0,0,0,0,0,0,0,0,2
31,Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,4966,1730000,81000,81000,0,0,0,0,0,,0,1651000,39000,41000,0,0,2,0,,0,0,0,0,0,0,0,0,0
32,Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,23180,1011000,640000,x,x,x,10,x,x,,x,372000,329000,203000,107000,0,5,x,x,1,0,0,0,0,0,0,0,3
33,Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,23180,1011000,30000,30000,x,x,0,0,0,,0,981000,0,30000,0,0,2,0,0,1,0,0,0,0,0,0,0,1
34,Drought in Djibouti,Drought,DJI003,Djibouti,DJI,23180,1011000,639000,x,0,x,0,0,0,,x,372000,329000,203000,107000,0,5,0,0,1,0,0,0,0,0,0,0,1
35,Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,120410,25550000,25550000,x,x,x,x,x,x,,x,0,15120000,4970000,5459000,0,1,x,x,2,2,2,0,3,2,0,1,2
36,Complex crisis in DRC,Complex crisis,COD001,DRC,COD,2267048,99510000,43245000,8466000,x,x,3191,x,x,,1700,46241000,29826000,16511000,6391000,533000,5,x,x,1,2,2,3,1,2,3,3,3
37,Floods in south-eastern DRC,Flood,COD003,DRC,COD,575949,23077000,587000,x,x,x,x,x,x,,x,22490000,0,523000,64000,0,5,x,x,1,2,2,3,0,2,2,0,3
38,Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,3449,4817000,572000,363000,x,x,1,x,x,,x,4245000,0,572000,0,0,2,x,0,0,0,0,0,0,1,0,0,1
39,Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,91071.77,21884000,3157000,503000,x,x,0,x,x,,x,18731000,3030000,37000,87000,0,2,x,x,1,1,1,0,2,0,0,2,0
40,Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,20720,6700000,1400000,454000,x,2304,399,x,x,,x,5300000,757000,580000,63000,0,3,x,x,0,2,1,0,0,2,1,0,2
41,Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,101000,3227000,3227000,300000,x,x,x,x,x,,x,645000,0,2582000,0,0,5,x,x,3,x,x,0,x,x,0,2,x
42,Food Security Crisis in Eswatini,Food Security,SWZ002,Eswatini,SWZ,17204,1130000,736000,0,0,0,3,,,,,394000,405000,301000,30000,0,1,,,0,0,0,0,0,0,0,0,0
43,Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,1000000,29225000,18770000,1735000,x,x,475,x,x,,x,10455000,10296000,6497000,1977000,0,4,x,x,2,1,2,0,2,x,2,2,2
44,Flood Crisis in Ethiopia,Flood,ETH002,Ethiopia,ETH,742878,61952000,1018000,294000,x,x,12,x,x,,x,61221000,221000,401000,0,0,3,x,x,x,x,x,x,x,x,x,x,2
45,International Displacement,International displacement,ETH003,Ethiopia,ETH,907050,72381000,769000,769000,x,x,x,x,x,,x,71612000,0,769000,0,0,3,x,x,2,1,2,0,2,2,1,3,x
46,Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,3364.07,335000,121000,121000,0,x,11,x,x,,x,214000,98000,24000,0,0,2,x,x,0,0,1,0,1,1,0,0,0
47,Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,107160,14900000,5500000,242000,x,1678,1661,0,0,,x,9104000,2496000,3074000,226000,0,3,x,x,0,1,0,1,0,2,0,0,1
48,Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,27166,10900000,6300000,53000,x,x,222,x,x,,x,3878000,3022000,3095000,905000,0,2,x,x,0,1,2,0,0,0,3,0,3
49,Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,111890,9158000,2700000,247000,75122,7103,2078,x,x,,12965,6014000,1844000,1042000,258000,0,3,x,x,0,2,1,1,0,2,1,0,0
50,Multiple Crises in India,Multiple crises country,IND001,India,IND,2018504,835358000,22217000,1750000,x,x,1933,x,x,,x,813141000,20467000,1750000,0,0,x,x,x,x,1,x,x,x,x,x,x,x
51,Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,222236,12541000,x,x,x,x,278,x,x,,x,12541000,x,x,x,0,x,x,x,1,1,1,0,1,1,1,1,1
52,Cyclone Amphan India,Tropical cyclone,IND003,India,IND,269249,44047000,18000000,660000,x,x,86,x,x,,x,26047000,17340000,660000,0,0,x,x,x,x,x,x,x,x,x,x,x,x
53,Floods in India,Flood,IND005,India,IND,1796268,791311000,22217000,1090000,x,x,1569,x,x,,x,769094000,21127000,1090000,0,0,2,x,x,1,1,0,0,0,2,0,0,3
54,Regional Kashmir conflict,Regional crisis,REG003,"India, Pakistan","IND, PAK",235533,16991000,16991000,x,x,x,327,x,x,,x,x,x,x,x,x,3,x,x,1,1,1,0,0,2,1,1,2
55,Papua Conflict,Conflict,IDN002,Indonesia,IDN,416060,3594000,3594000,x,x,x,45,x,x,,x,x,x,x,x,x,4,x,x,0,2,2,0,1,1,1,1,1
56,Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,239561,24823000,2951000,2951000,x,x,0,x,x,,x,21872000,0,951000,2000000,0,2,x,x,2,1,3,0,2,2,1,0,3
57,Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,434120,38434000,6934000,6934000,x,x,1499,x,x,,133900,31499000,2646000,2400000,1889000,0,5,1500000,300000,1,2,1,0,0,3,1,3,2
58,Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,434120,11000000,6691000,6691000,x,x,1489,x,x,,133900,4309000,2646000,2271000,1775000,0,5,1500000,300000,1,2,1,0,0,3,1,3,2
59,Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,40000,5136000,450000,243000,x,x,0,x,0,,x,4685000,0,337000,114000,0,5,x,0,0,2,0,0,0,1,0,3,0
60,Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,40463,8505000,1377000,1377000,x,x,1,x,x,,x,7127000,735000,279000,363000,0,2,x,x,0,0,0,0,0,1,0,0,0
61,Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,569140,51393000,11193000,611000,0,113000,237,0,0,,x,40200000,9714000,1367000,113000,0,3,x,x,0,0,0,0,0,1,0,1,1
62,Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,123000,5216000,495000,495000,0,x,x,0,0,,x,4721000,0,495000,0,0,2,x,x,0,0,0,0,0,0,0,1,0
63,Drought in Kenya,Drought,KEN003,Kenya,KEN,569140,51393000,10698000,x,0,113000,x,0,0,,x,40695000,9714000,872000,113000,0,3,x,x,0,0,0,0,0,0,0,1,0
64,Flooding and Landslides in Kenya,Flood,KEN005,Kenya,KEN,471098,42513000,233000,16000,x,x,237,x,x,,x,42280000,117000,116000,0,0,x,x,x,0,1,1,0,0,0,0,1,3
65,Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,10201.2,6849000,3027000,1527000,x,0,0,x,x,,x,3822000,2361000,180000,486000,0,2,x,x,1,0,1,0,1,2,0,2,2
66,Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,10201.2,6849000,4239000,x,x,x,3,x,x,,x,2609000,473000,2192000,1575000,0,3,x,x,1,2,2,0,2,3,0,3,0
67,Explosion in Beirut,Industrial Accidents,LBN005,Lebanon,LBN,1987.6,2200000,2200000,300000,6500,x,190,x,x,,x,0,1200000,1000000,0,0,4,x,x,1,2,2,0,2,3,0,0,1
68,Drought in Lesotho,Drought,LSO002,Lesotho,LSO,30400,1477000,943000,x,0,0,0,0,0,,X,534000,560000,350000,33000,0,1,0,0,0,0,0,0,0,0,0,0,1
69,Southern Africa Regional Food Security Crisis,Regional crisis,REG012,"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Swaziland,Tanzania,Zambia,Zimbabwe","LSO, MDG, MWI, MOZ, NAM, SWZ, TZA, ZMB, ZWE",1821365,46647000,25267000,21000,0,0,175,0,0,,0,21381000,14917000,8788000,1561000,0,5,,,0,0,0,0,0,0,3,0,2
70,Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,1759540,6871000,1800000,1466000,x,x,1094,x,x,,x,5071000,774000,108000,558000,360000,5,198000,633000,1,3,3,1,2,2,3,3,3
71,Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,1759540,6871000,585000,585000,x,x,100,x,x,,x,6286000,261000,190000,131000,3000,2,79000,229000,1,3,3,1,2,2,3,3,3
72,Drought in Madagascar,Drought,MDG002,Madagascar,MDG,149752,2276000,1604000,x,0,x,178,x,x,,x,672000,1050000,527000,27000,0,1,x,x,0,0,0,0,0,0,0,0,1
73,Floods in Madagascar,Flood,MDG004,Madagascar,MDG,76177,4345000,117000,16000,0,0,170,,,,,4228000,117000,0,0,0,2,,,0,0,0,0,0,0,0,0,1
74,Complex Country Crisis in Madagascar,Complex crisis,MDG005,Madagascar,MDG,76177,6621000,1732000,16000,0,0,348,,,,,4889000,1050000,655000,27000,0,2,,,0,0,0,0,0,0,1,0,1
75,Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,94276,17679000,7222000,0,0,0,26,x,x,,x,10457000,5525000,1697000,0,0,1,x,x,0,0,0,0,0,0,0,0,1
76,Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,1220190,19806000,8200000,430000,x,44056,1607,X,X,,X,11606000,3900000,3818000,482000,0,5,X,X,0,2,1,3,2,2,3,3,3
77,Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,75,71000,61000,61000,0,x,x,0,0,,x,11000,0,61000,0,0,2,x,x,0,0,0,0,0,0,0,0,2
78,Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,1030700,4144000,1475000,x,x,x,x,x,x,,x,2669000,800000,609000,66000,0,3,x,x,0,0,0,0,0,2,0,1,2
79,Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,1635481,92033000,x,584000,x,45472,x,X,X,,x,x,x,x,x,x,5,x,x,X,1,1,0,0,1,1,x,X
80,Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,1078234,70024000,x,351000,x,x,x,x,x,,x,x,x,x,x,x,4,x,x,x,1,1,0,x,1,x,x,x
81,Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,1437306,70840000,275000,275000,x,x,173,x,x,,x,x,x,x,x,x,3,x,x,x,1,1,0,1,1,1,x,x
82,Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,446300,35587000,x,x,x,x,51,0,0,,0,x,x,x,x,x,1,0,0,0,0,1,0,0,1,0,0,0
83,Complex crisis in Mozambique,Complex crisis,MOZ001,Mozambique,MOZ,344602,5175000,4002000,344000,26,277460,1214,147000,143000,,773,3369000,729000,1077000,0,0,3,x,x,0,1,0,0,0,2,1,1,1
84,Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,78778,2745000,712000,300000,x,0,599,x,x,,x,2033000,0,712000,0,0,2,x,x,0,1,0,0,0,2,1,1,1
85,Food Security Crisis in Mozambique,Food Security,MOZ006,Mozambique,MOZ,344602,2430000,2430000,94000,0,0,x,,,,,1336000,729000,365000,0,0,3,,,0,0,0,1,0,0,1,0,1
86,Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,289700,10395000,5124000,1283000,x,x,225,x,x,,x,5271000,4149000,366000,609000,0,3,x,x,2,3,1,0,3,3,3,1,3
87,Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,44857,3882000,1563000,1177000,x,x,184,x,x,,x,2318000,809000,250000,504000,0,4,x,x,2,1,1,0,3,3,2,1,2
88,Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,244843.1,6513000,3560000,105000,x,x,41,x,x,,x,2953000,3340000,116000,105000,0,3,x,x,2,3,1,0,1,2,3,1,3
89,Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,823,2459000,1172000,0,0,0,2,,,,,1287000,744000,414000,14000,0,1,,,0,0,0,0,0,0,0,0,0
90,Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,120339.54,6444000,417000,102000,x,17631,6,0,0,,1214,x,x,x,0,0,1,0,0,x,x,1,0,1,1,0,0,2
91,Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,1267000,23577000,3700000,536000,X,X,695,X,X,,X,19877000,0,3164000,536000,0,5,X,X,0,2,0,3,0,2,3,1,2
92,Boko Haram in Niger,Conflict,NER002,Niger,NER,156906,738000,728000,266000,141012,X,238,X,X,,X,0,220000,252000,266000,0,5,X,X,0,2,0,3,0,2,3,1,2
93,Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,210600,7800000,965000,199000,X,X,366,X,X,,X,6835000,0,766000,199000,0,5,X,X,0,2,2,2,0,2,3,2,2
94,Nigerian Refugees,International displacement,NER004,Niger,NER,4929,656000,124000,94000,x,x,5,0,0,,0,533000,0,30000,94000,0,2,x,x,0,2,0,0,0,2,3,1,2
95,Floods in Niger,Flood,NER005,Niger,NER,1267000,23577000,516000,x,x,x,69,x,43667,,x,23061000,0,516000,0,0,5,x,x,0,2,1,3,0,2,3,0,3
96,Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,909890,56233000,7825000,2555000,x,x,3216,x,4300,,x,48407000,1936000,3006000,2884000,0,5,x,800000,1,3,3,3,2,2,3,1,2
97,Middle belt conflict,Conflict,NGA003,Nigeria,NGA,409735,84154000,300000,x,x,x,291,x,x,,x,x,0,x,0,0,5,x,x,1,2,0,3,0,1,2,1,1
98,Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,157918,7900000,7150000,2179000,x,x,1494,x,4300,,x,751000,1936000,2331000,2884000,0,4,x,800000,1,2,3,0,1,2,3,1,3
99,Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,237708,30376000,317000,317000,x,x,1387,500,10500,,49,30058000,0,317000,0,0,5,x,x,0,2,0,3,0,1,0,1,0
100,Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,115769,17657000,59000,59000,x,x,44,x,x,,x,17598000,0,59000,0,0,2139,x,x,3,2,0,3,1,0,2,1,0
101,Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria, Niger, Chad, Cameroon","NGA, NER, TCD, CMR",369002,13702000,11095000,3167000,x,x,2238,0,4300,,5200000,2608000,4355000,3234000,3385000,122000,5,x,800000,0.5,1.5,0.75,0.75,0.5,2,2.5,1.5,2.5
102,Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,770880,209594000,64359000,204000,x,x,765,x,x,,x,145236000,61320000,2021000,1018000,0,5,x,x,2,1,1,1,0,2,1,1,3
103,Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,13297,4450000,x,x,x,x,49,x,x,,x,x,x,x,x,x,3,x,x,2,1,1,0,0,2,1,1,2
104,Conflict in Palestine,Conflict,PSE002,Palestine,PSE,6020,5200000,5200000,6287000,719,x,10,160000,11422,,x,0,3000000,396000,858000,946000,4,x,4950000,2,3,3,1,2,3,3,1,2
105,Venezuela displacement in Peru,International displacement,PER002,Peru,PER,178440,16328000,1098000,830000,x,x,3,0,0,,x,15443000,0,885000,0,0,2,0,0,0,0,0,0,0,1,0,0,2
106,Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,171124,34270000,231000,231000,x,x,341,,,,x,34039000,0,231000,0,0,4,,,0,0,0,0,0,2,1,1,3
107,Mindanao conflict,Conflict,PHL003,Philippines,PHL,138354,24136000,152000,152000,x,x,341,x,x,,x,23985000,2000,151000,0,0,4,x,x,0,0,0,0,0,1,1,1,2
108,Mindanao Earthquake,Earthquake,PHL004,Philippines,PHL,138354,10134000,79000,79000,563,x,0,21681,25795,,x,10056000,0,79000,0,0,3,,,0,0,0,0,0,3,0,1,2
109,Burundi and DRC refugees in Rwanda,International displacement,RWA002,Rwanda,RWA,10646,4576000,149000,149000,x,x,12,0,0,,0,4428000,0,149000,0,0,2,0,0,0,0,0,2,0,0,0,0,0
110,Drought in Senegal,Drought,SEN002,Senegal,SEN,192530,16303000,2926000,x,0,0,0,0,0,,x,13377000,2489000,437000,0,0,4,0,0,0,0,0,2,0,0,0,1,0
111,Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,627340,12300000,12300000,3939000,x,x,1717,x,x,,x,0,7100000,2060000,2400000,740000,5,x,x,1,3,2,3,2,3,2,2,2
112,Mixed Migration Flows in Somalia,International displacement,SOM002,Somalia,SOM,28220,1261000,36000,36000,x,x,x,0,0,,0,1227000,0,2000,34000,0,2,x,x,1,3,2,3,2,2,2,2,2
113,Floods in Somalia,Flood,SOM004,Somalia,SOM,255047,5300000,536000,285000,x,x,17,x,x,,x,4764000,251000,285000,0,0,3,,,1,3,2,3,2,3,2,2,3
114,Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,644000,11685000,11685000,3853000,x,600000,1554,x,x,,14369,0,4430000,5260000,1930000,10000,5,x,1500000,2,3,3,0,0,2,3,3,3
115,Complex crisis in Sudan,Complex crisis,SDN001,Sudan,SDN,1840687,43000000,26600000,3200000,x,x,797,x,x,,x,16400000,17300000,4400000,1000000,3900000,5,x,x,2,2,2,2,2,2,2,2,3
116,Refugees in Sudan,International displacement,SDN005,Sudan,SDN,15000,1326000,1326000,1100000,x,x,x,x,x,,x,0,226000,400000,500000,200000,2,,,2,3,2,2,0,x,2,2,3
117,Floods in Sudan ,Flood,SDN006,Sudan,SDN,1840687,43000000,860000,480000,54,x,124,92600,79400,,x,42140000,810000,50000,0,0,3,x,x,2,2,0,0,0,3,1,1,3
118,Syrian conflict,Complex crisis,SYR001,Syria,SYR,183630,17070000,17070000,12263000,x,x,3036,x,x,,x,0,5362000,1969000,8500000,1239000,5,x,1160000,2,3,3,3,3,2,3,3,3
119,Syrian Regional Crisis,Regional crisis,REG004,"Syria, Turkey, Iraq, Egypt, Jordan, Lebanon","SYR, TUR, IRQ, EGY, JOR, LBN",497394.2,95602000,28688000,12263000,x,x,3037,x,x,,x,66917000,13218000,4425000,9802000,1239000,5,,x,1.16666666666667,1,1.16666666666667,0.5,1.33333333333333,1.66666666666667,0.666666666666667,1.83333333333333,1.16666666666667
120,International Displacement in Tanzania,International displacement,TZA002,Tanzania,TZA,187000,11385000,280000,280000,0,x,0,x,x,,x,11105000,0,280000,0,0,2,x,x,0,0,0,0,0,2,0,1,0
121,Multiple situations in Thailand,Multiple crises country,THA001,Thailand,THA,30342,3549000,3549000,91000,x,X,51,X,X,,X,0,3458000,91000,0,0,2,X,X,0,0,0,0,0,0,1,1,2
122,Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,18330,3458000,3458000,x,x,X,51,X,X,,X,x,x,x,x,x,1,X,X,0,0,0,0,0,0,1,1,0
123,Myanmar refugees in Thailand,International displacement,THA003,Thailand,THA,9,91000,91000,91000,0,X,x,X,X,,X,0,0,91000,0,0,1,X,X,0,0,0,0,0,0,0,1,2
124,Venezuelan refugees in Trinidad and Tobago,International displacement,TTO002,Trinidad and Tobago,TTO,5130,1450000,60000,60000,x,x,0,0,0,,0,1395000,0,60000,0,0,2,x,0,0,0,0,0,2,1,0,0,1
125,Mixed migration flows in Tunisia,International displacement,TUN002,Tunisia,TUN,155360,11718000,x,x,x,x,73,0,0,,x,x,x,x,x,x,1,x,x,0,0,0,0,0,0,0,1,0
