,Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Type of crisis,First country,Website name,Crisis description,Related crisis,Starting date,Duration (days)
21,DZA002,,,Algeria,Mixed migration flows in Algeria,DZA,Africa,International displacement,Algeria,Mixed Migration,,,,
22,DZA003,,,Algeria,Sahrawi refugees in Algeria,DZA,Africa,International displacement,Algeria,Sahrawi refugees,,,,
23,DZA004,,,Algeria,Multiple crises in Algeria,DZA,Africa,Multiple crises country,Algeria,Country level,,,,
24,ECU002,,,Ecuador,Venezuela displacement in Ecuador,ECU,Americas,International displacement,Ecuador,Venezuelan refugees ,,,,
25,EGY002,,,Egypt,Refugee Crisis in Egypt,EGY,Africa,International displacement,Egypt,Refugee crisis,,,,
26,ERI001,,,Eritrea,Complex crisis in Eritrea,ERI,Africa,Complex crisis,Eritrea,Complex crisis,,,,
27,ESP002,,,Spain,Mixed migration flows in spain,ESP,Europe,International displacement,Spain,Mixed Migration,,,,
28,ETH001,,,Ethiopia,Complex crisis in Ethiopia,ETH,Africa,Complex crisis,Ethiopia,Complex crisis,,,,
29,ETH002,,,Ethiopia,Flood Crisis in Ethiopia,ETH,Africa,Flood,Ethiopia,Floods,,,,
30,ETH003,,,Ethiopia,International Displacement,ETH,Africa,International displacement,Ethiopia,International Displacement,,,,
31,ETH004,,,Ethiopia,Crisis in Tigray,ETH,Africa,Conflict,Ethiopia,Crisis in Tigray,,,,
32,FJI002,,,Fiji,Tropical cyclone Yasa in Fiji,FJI,Pacific,Tropical cyclone,Fiji,Tropical cyclone Yasa,,,,
33,GRC002,,,Greece,Mixed migration flows in Greece,GRC,Europe,International displacement,Greece,Mixed Migration,,,,
34,GTM001,,,Guatemala,Complex crisis in Guatemala,GTM,Americas,Complex crisis,Guatemala,Complex crisis,,,,
35,GTM003,,,Guatemala,Hurricane Eta and Iota in Guatemala,GTM,Americas,Tropical cyclone,Guatemala,Hurricane Eta and Iota,,,,
36,HND001,,,Honduras,Complex crisis in Honduras,HND,Americas,Complex crisis,Honduras,Complex crisis,,,,
37,HND002,,,Honduras,Hurricane Eta and Iota in Honduras,HND,Americas,Tropical cyclone,Honduras,Hurricane Eta and Iota,,,,
38,HTI001,,,Haiti,Complex crisis in Haiti,HTI,Americas,Complex crisis,Haiti,Complex crisis,,,,
39,IDN002,,,Indonesia,Papua Conflict,IDN,Asia,Conflict,Indonesia,Papua Conflict,,,,
40,IDN006,,,Indonesia,Sulawesi Earthquake,IDN,Asia,Earthquake,Indonesia,Sulawesi Earthquake,,,,
41,IDN007,,,Indonesia,Country Level,IDN,Asia,Multiple crises country,Indonesia,Country Level,,,,
42,IND002,,,India,Conflict in Jammu and Kashmir,IND,Asia,Conflict,India,Kashmir conflict ,,,,
43,IRN004,,,Iran,Afghan Refugees in Iran,IRN,Middle east,International displacement,Iran,Afghan Refugees,,,,
44,IRQ001,,,Iraq,Multiple crises in Iraq,IRQ,Middle east,Multiple crises country,Iraq,Country level,,,,
45,IRQ002,,,Iraq,Conflict  in Iraq,IRQ,Middle east,Conflict,Iraq,Conflict,,,,
46,IRQ003,,,Iraq,Syrian and Palestinian refugees in iraq,IRQ,Middle east,International displacement,Iraq,Syrian Refugees,,,,
47,ITA002,,,Italy,Mixed migration flows in Italy,ITA,Europe,International displacement,Italy,Mixed Migration,,,,
48,JOR002,,,Jordan,Syrian refugees in Jordan,JOR,Middle east,International displacement,Jordan,Syrian refugees,,,,
49,KEN002,,,Kenya,Refugee situation in Kenya,KEN,Africa,International displacement,Kenya,Refugee situation,,,,
50,LBN002,,,Lebanon,Syrian refugees in Lebanon,LBN,Middle east,International displacement,Lebanon,Syrian refugees,,,,
51,LBN004,,,Lebanon,Socioeconomic crisis in Lebanon,LBN,Middle east,Political and economic crisis,Lebanon,Socioeconomic crisis,,,,
52,LBY001,,,Libya,Complex crisis in Libya,LBY,Africa,Multiple crises country,Libya,Complex crisis,,,,
53,LBY002,,,Libya,Mixed migration flows in Libya,LBY,Africa,International displacement,Libya,Mixed Migration,,,,
54,LSO002,,,Lesotho,Drought in Lesotho,LSO,Africa,Drought,Lesotho,Drought,,,,
55,MAR002,,,Morocco,Mixed migration flows in Morocco,MAR,Africa,International displacement,Morocco,Mixed Migration,,,,
56,MDG002,,,Madagascar,Drought in Madagascar,MDG,Africa,Drought,Madagascar,Drought,,,,
57,MEX001,,,Mexico,Multiple crisis in Mexico,MEX,Americas,Multiple crises country,Mexico,Country Level,,,,
58,MEX002,,,Mexico,Criminal Violence in Mexico,MEX,Americas,Other type of violence,Mexico,Criminal Violence,,,,
59,MEX003,,,Mexico,Mixed Migration in Mexico,MEX,Americas,International displacement,Mexico,Mixed Migration,,,,
60,MLI001,,,Mali,Complex crisis in Mali,MLI,Africa,Complex crisis,Mali,Complex crisis,,,,
61,MMR001,,,Myanmar,Multiple crises in Myanmar,MMR,Asia,Multiple crises country,Myanmar,Country level,,,,
62,MMR002,,,Myanmar,Rakhine Conflict,MMR,Asia,Conflict,Myanmar,Rakhine conflict,,,,
63,MMR003,,,Myanmar,Kachin and Shan Conflict,MMR,Asia,Conflict,Myanmar,Kachin and Shan conflict,,,,
64,MOZ001,,,Mozambique,Complex crisis in Mozambique,MOZ,Africa,Complex crisis,Mozambique,Complex crisis,,,,
65,MOZ004,,,Mozambique,Cabo Delgado Islamist Insurgency,MOZ,Africa,Other type of violence,Mozambique,Violent Insurgency in Cabo Delgado,,,,
66,MOZ006,,,Mozambique,Food Security Crisis in Mozambique,MOZ,Africa,Food Security,Mozambique,Food Security Crisis,,,,
67,MOZ007,,,Mozambique,Tropical Cyclone Eloise in Mozambique,MOZ,Africa,Tropical cyclone,Mozambique,Tropical Cyclone Eloise,,,,
68,MRT002,,,Mauritania,Refugees from Mali in Mauritania,MRT,Africa,International displacement,Mauritania,Malian refugees,,,,
69,MRT003,,,Mauritania,Food Security in Mauritania,MRT,Africa,Drought,Mauritania,Food security,,,,
70,MWI002,,,Malawi,Complex crisis in Malawi,MWI,Africa,Complex crisis,Malawi,Complex,,,,
71,MYS001,,,Malaysia,International Refugees in Malaysia,MYS,Asia,International displacement,Malaysia,International Refugees,,,,
72,NAM002,,,Namibia,Food Security Crisis in Namibia,NAM,Africa,Food Security,Namibia,Food Security Crisis,,,,
73,NER001,,,Niger,Multiple crises in Niger,NER,Africa,Multiple crises country,Niger,Country level,,,,
74,NER002,,,Niger,Boko Haram in Niger,NER,Africa,Conflict,Niger,Boko Haram,,,,
75,NER003,,,Niger,Mali/Burkina Faso conflict,NER,Africa,Conflict,Niger,Cross-border violence ,,,,
76,NER004,,,Niger,Nigerian Refugees,NER,Africa,International displacement,Niger,Nigerian Refugees,,,,
77,NGA001,,,Nigeria,Complex crisis in Nigeria,NGA,Africa,Complex crisis,Nigeria,Complex crisis,,,,
78,NGA003,,,Nigeria,Middle belt conflict,NGA,Africa,Conflict,Nigeria,Middle Belt,,,,
79,NGA004,,,Nigeria,Boko Haram crisis in Nigeria,NGA,Africa,Conflict,Nigeria,Boko Haram ,,,,
80,NGA007,,,Nigeria,Northwest Banditry,NGA,Africa,Other type of violence,Nigeria,Northwest Banditry,,,,
81,NGA008,,,Nigeria,Cameroonian Refugees in Nigeria,NGA,Africa,International displacement,Nigeria,Cameroonian Refugees,,,,
82,NIC001,,,Nicaragua,Socioeconomic crisis in Nicaragua,NIC,Americas,Political and economic crisis,Nicaragua,Socioeconomic crisis,,,,
83,NIC002,,,Nicaragua,Hurricane Eta and Iota in Nicaragua,NIC,Americas,Tropical cyclone,Nicaragua,Hurricane Eta and Iota,,,,
84,PAK001,,,Pakistan,Complex crisis in Pakistan,PAK,Asia,Complex crisis,Pakistan,Complex crisis,,,,
85,PAK004,,,Pakistan,Kashmir conflict in Pakistan,PAK,Asia,Conflict,Pakistan,Kashmir conflict,,,,
86,PER002,,,Peru,Venezuela displacement in Peru,PER,Americas,International displacement,Peru,Venezuelan refugees,,,,
87,PHL001,,,Philippines,Multiple crises in the Philippines,PHL,Asia,Multiple crises country,Philippines,Country level,,,,
88,PHL003,,,Philippines,Mindanao conflict,PHL,Asia,Conflict,Philippines,Mindanao Conflict,,,,
89,PHL004,,,Philippines,Mindanao Earthquake,PHL,Asia,Earthquake,Philippines,Mindanao Earthquake,,,,
90,PHL009,,,Philippines,Typhoon Goni (Rolly) and Typhoon Vamco (Ulysses),PHL,Asia,Tropical cyclone,Philippines,Typhoon Goni (Rolly) and Typhoon Vamco (Ulysses),,,,
91,PRK001,,,DPRK,Complex crisis in DPRK,PRK,Asia,Complex crisis,DPRK,Complex crisis,,,,
92,PSE002,,,Palestine,Conflict in Palestine,PSE,Middle east,Conflict,Palestine,Conflict,,,,
93,REG001,,,"Nigeria,Niger,Chad,Cameroon",Regional Boko Haram Crisis,"NGA,NER,TCD,CMR","Africa,Africa,Africa,Africa",Regional crisis,Nigeria,Regional Boko Haram,,,,
94,REG002,,,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago",Venezuela Regional Crisis,"VEN,BRA,COL,ECU,PER,TTO","Americas,Americas,Americas,Americas,Americas,Americas",Regional crisis,Venezuela,Venezuela Regional Crisis,,,,
95,REG003,,,"India,Pakistan",Regional Kashmir conflict,"IND,PAK","Asia,Asia",Regional crisis,India,Regional Kashmir conflict,,,,
96,REG004,,,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon",Syrian Regional Crisis,"SYR,TUR,IRQ,EGY,JOR,LBN","Middle east,Middle east,Middle east,Africa,Middle east,Middle east",Regional crisis,Syria,Syrian Regional Crisis,,,,
97,REG006,,,"Turkey,Greece",Eastern Mediterranean Route ,"TUR,GRC","Middle east,Europe",Regional crisis,Turkey,Eastern Mediterranean Route ,,,,
98,REG007,,,"Algeria,Tunisia,Libya,Italy",Central Mediterranean Route,"DZA,TUN,LBY,ITA","Africa,Africa,Africa,Europe",Regional crisis,Algeria,Central Mediterranean Route,,,,
99,REG008,,,"Algeria,Morocco,Spain",Western Mediterranean Route,"DZA,MAR,ESP","Africa,Africa,Europe",Regional crisis,Algeria,Western Mediterranean Route,,,,
100,REG011,,,"Bangladesh,Myanmar",Rohingya Regional Crisis,"BGD,MMR","Asia,Asia",Regional crisis,Bangladesh,Rohingya Regional Crisis,,,,
101,REG012,,,"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Eswatini,Zambia,Zimbabwe",Southern Africa Regional Food Security Crisis,"LSO,MDG,MWI,MOZ,NAM,SWZ,ZMB,ZWE","Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa",Regional crisis,Lesotho,Southern Africa Regional Food Security Crisis,,,,
102,REG013,,,"Armenia,Azerbaijan",Nagorno-Karabakh Conflict,"ARM,AZE","Middle east,Middle east",Regional crisis,Armenia,Regional Nagorno-Karabakh Conflict,,,,
103,RWA002,,,Rwanda,Burundi and DRC refugees in Rwanda,RWA,Africa,International displacement,Rwanda,Refugees,,,,
104,SDN001,,,Sudan,Complex crisis in Sudan,SDN,Africa,Multiple crises country,Sudan,Complex crisis,,,,
105,SDN005,,,Sudan,Refugees in Sudan,SDN,Africa,International displacement,Sudan,Refugees,,,,
106,SDN006,,,Sudan,Floods in Sudan ,SDN,Africa,Flood,Sudan,Floods,,,,
107,SDN007,,,Sudan,Refugees from Ethiopia,SDN,Africa,International displacement,Sudan,Refugee influx from Tigray,,,,
108,SDN008,,,Sudan,Violence West-Darfur,SDN,Africa,Other type of violence,Sudan,West-Darfur Violence,,,,
109,SEN002,,,Senegal,Drought in Senegal,SEN,Africa,Drought,Senegal,Drought,,,,
110,SLV001,,,El Salvador,Complex crisis in El Salvador,SLV,Americas,Complex crisis,El Salvador,Complex crisis,,,,
111,SOM001,,,Somalia,Complex crisis in Somalia,SOM,Africa,Complex crisis,Somalia,Complex crisis,,,,
112,SOM002,,,Somalia,Mixed Migration Flows in Somalia,SOM,Africa,International displacement,Somalia,Mixed Migration,,,,
113,SOM004,,,Somalia,Floods in Somalia,SOM,Africa,Flood,Somalia,Floods,,,,
114,SSD001,,,South Sudan,Complex crisis in South Sudan,SSD,Africa,Complex crisis,South Sudan,Complex crisis,,,,
115,SWZ001,,,Eswatini,Food Security Crisis in Eswatini,SWZ,Africa,Food Security,Eswatini,Food Security Crisis,,,,
116,SYR001,,,Syria,Syrian conflict,SYR,Middle east,Complex crisis,Syria,Conflict,,,,
117,TCD001,,,Chad,Complex crisis in Chad,TCD,Africa,Multiple crises country,Chad,Complex crisis,,,,
118,TCD003,,,Chad,Boko Haram in Chad,TCD,Africa,Conflict,Chad,Boko Haram ,,,,
119,TCD004,,,Chad,CAR refugees in Chad,TCD,Africa,International displacement,Chad,CAR refugees,,,,
120,TCD005,,,Chad,Darfur refugees in Chad,TCD,Africa,International displacement,Chad,Darfur refugees,,,,
121,TCD006,,,Chad,Tibesti Conflict in Chad,TCD,Africa,Conflict,Chad,Tibesti conflict,,,,
122,THA001,,,Thailand,Multiple situations in Thailand,THA,Asia,Multiple crises country,Thailand,Country level,,,,
123,THA002,,,Thailand,Conflict in southern Thailand ,THA,Asia,Conflict,Thailand,Conflict,,,,
124,THA003,,,Thailand,Myanmar refugees in Thailand,THA,Asia,International displacement,Thailand,Refugees,,,,
125,TLS002,,,Timor Leste,Tropical Cyclone Seroja,TLS,Asia,Tropical cyclone,Timor Leste,Tropical Cyclone Seroja,,,,
126,TTO002,,,Trinidad and Tobago,Venezuelan refugees in Trinidad and Tobago,TTO,Americas,International displacement,Trinidad and Tobago,Venezuelan refugees,,,,
127,TUN002,,,Tunisia,Mixed migration flows in Tunisia,TUN,Africa,International displacement,Tunisia,Mixed Migration,,,,
128,TUR001,,,Turkey,Complex situation in Turkey,TUR,Middle east,Multiple crises country,Turkey,Country level,,,,
129,TUR002,,,Turkey,Syrian Refugees in Turkey,TUR,Middle east,International displacement,Turkey,Syrian refugees,,,,
130,TUR003,,,Turkey,Mixed Migration Flows in Turkey,TUR,Middle east,International displacement,Turkey,Mixed Migration,,,,
131,TUR004,,,Turkey,Kurdish Conflict,TUR,Middle east,Conflict,Turkey,Kurdish conflict,,,,
132,TZA002,,,Tanzania,International Displacement in Tanzania,TZA,Africa,International displacement,Tanzania,Refugees,,,,
133,UGA001,,,Uganda,Multiple crises in Uganda,UGA,Africa,Multiple crises country,Uganda,Country level,,,,
134,UGA005,,,Uganda,International Displacement in Uganda,UGA,Africa,International displacement,Uganda,Refugees,,,,
135,UKR002,,,Ukraine,Conflict in Ukraine,UKR,Europe,Conflict,Ukraine,Conflict,,,,
136,VCT002,,,St. Vincent and the Grenadines,La Soufrière Volcano Eruption,VCT,Americas,Volcano,St. Vincent and the Grenadines,La Soufrière Volcano Eruption,,,,
137,VEN001,,,Venezuela,Complex crisis in Venezuela,VEN,Americas,Complex crisis,Venezuela,Complex crisis,,,,
138,VNM002,,,Vietnam,Floods in central Vietnam,VNM,Asia,Flood,Vietnam,Floods in central Vietnam,,,,
139,VUT002,,,Vanuatu,Cyclone Harold in Vanuatu,VUT,Pacific,Tropical cyclone,Vanuatu,Cyclone Harold,,,,
140,YEM001,,,Yemen,Conflict in Yemen,YEM,Middle east,Complex crisis,Yemen,Complex crisis,,,,
141,YEM002,,,Yemen,Mixed migration flows in Yemen,YEM,Middle east,International displacement,Yemen,Mixed Migration,,,,
142,ZMB002,,,Zambia,Drought in Zambia,ZMB,Africa,Drought,Zambia,Drought,,,,
143,ZWE001,,,Zimbabwe,Complex crisis in Zimbabwe,ZWE,Africa,Complex crisis,Zimbabwe,Complex crisis,,,,
