,Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
10,Rohingya refugee crisis,International displacement,BGD002,Bangladesh,BGD,650,1336000,1334000,864000,37140,141302,7,x,x,,x,0,472000,657000,207000,0,3,0,0,2,1,2,0,2,3,3,1,3
11,Rohingya Regional Crisis,Regional crisis,REG011,"Bangladesh, Myanmar","BGD, MMR",45507,5218000,2900000,1247000,x,x,191,x,x,,x,2318000,1281000,908000,711000,0,4,x,x,2,3,2,0,3,3,3,1,3
12,Venezuela displacement in Brazil,International displacement,BRA002,Brazil,BRA,224274,870000,663000,264000,x,x,0,x,x,,x,207000,399000,264000,0,0,2,x,x,0,0,0,0,0,0,0,0,0
13,Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,151789,8736000,5277000,1066000,X,X,3402,X,X,,X,3459000,3107000,490000,764000,916000,4,x,x,0,2,2,3,0,2,3,0,3
14,Floods in Burkina Faso,Flood,BFA003,Burkina Faso,BFA,270764,21138000,106000,x,112,x,41,3446,12378,,x,21032000,56000,50000,0,0,5,x,x,0,2,2,3,0,2,3,0,3
15,Multiple crises in Burkina Faso,Multiple crises country,BFA004,Burkina Faso,BFA,270764,21139000,5277000,1066000,x,x,3443,3446,12378,,x,15755000,3163000,540000,764000,916000,5,x,x,0,2,2,3,0,2,3,0,3
16,Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,25680,11657000,5289000,503000,x,70187,226,x,x,,444,6368000,3955000,1206000,128000,0,5,x,x,1,2,2,0,2,0,1,0,2
17,Multiple crises in Cameroon,Multiple crises country,CMR001,Cameroon,CMR,283816,10316000,5567000,1981000,150,x,643,x,x,,x,5124000,3855000,1543000,185000,0,5,x,x,0,3,3,2,1,2,3,1,2
18,Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,34263,4378000,2521000,560000,X,X,253,x,x,,5.2,1857000,1879000,553000,89000,0,5,x,x,0,1,1,0,0,2,2,1,1
19,Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,76850,4374000,2763000,1133000,X,x,390,X,X,,X,1611000,1976000,690000,97000,0,4,x,377500,0,3,3,2,1,2,3,1,2
20,CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,172703,1565000,288000,288000,0,x,0,0,0,,x,1277000,0,288000,0,0,3,x,x,0,0,1,0,0,2,0,1,1
21,Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,623000,4900000,4900000,1370000,X,X,91,X,X,,X,0,2100000,900000,1900000,0,5,X,X,0,3,2,3,0,2,3,0,3
22,Multiple crises in Chad,Multiple crises country,TCD001,Chad,TCD,1259200,16782000,7607000,918000,x,x,232,x,x,,x,9175000,1207000,4736000,1472000,192000,5,x,x,1,2,2,0,0,2,3,2,3
23,Boko Haram in Chad,Conflict,TCD003,Chad,TCD,19915,685000,685000,383000,x,x,122,x,x,,x,0,318000,98000,147000,122000,5,x,x,1,2,2,0,0,2,3,2,3
24,CAR refugees in Chad,International displacement,TCD004,Chad,TCD,154623,4456000,1004000,164000,X,X,X,X,0,,X,3452000,0,743000,261000,0,3,X,X,1,2,2,0,0,2,3,2,3
25,Darfur refugees in Chad,International displacement,TCD005,Chad,TCD,205671,2577000,1123000,366000,X,X,3,X,0,,X,1454000,0,694000,429000,0,2,X,X,1,2,2,0,0,2,3,2,3
26,Tibesti Conflict in Chad,Conflict,TCD006,Chad,TCD,220000,38000,38000,x,x,x,37,x,x,,x,0,20000,11000,6000,1000,3,x,x,1,2,0,0,0,0,0,2,3
27,Floods in Chad,Flood,TCD008,Chad,TCD,682200,16364000,388000,120000,x,x,10,x,x,,x,15976000,113000,275000,0,0,5,x,x,1,2,2,0,0,2,3,2,3
28,Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,1109500,50900000,13400000,4027000,x,x,425,x,x,,x,34900000,4900000,5998000,2502000,0,5,1800000,11500,0,2,0,0,0,2,1,3,1
29,Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,111093,22194000,3056000,2996000,x,x,x,x,x,,x,19138000,0,2756000,300000,0,3,x,x,0,2,0,0,0,2,1,3,1
30,Hurricane Eta and Iota in Colombia,Tropical cyclone,COL003,Colombia,COL,438561,23922000,303000,x,39,,26,x,x,,x,23619000,257000,46000,0,0,3,,,0,2,0,2,0,3,2,2,2
31,Floods in Congo,Flood,COG004,Congo,COG,66044,154000,87000,x,x,x,x,x,x,,x,67000,0,87000,0,0,4,x,x,0,0,0,0,0,0,0,0,1
32,Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,4966,1730000,81000,81000,0,0,0,0,0,,0,1651000,39000,41000,0,0,2,0,,0,0,0,0,0,0,0,0,0
33,Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,23180,1011000,640000,x,x,x,0,x,x,,x,372000,329000,203000,107000,0,5,x,x,1,1,0,0,0,2,0,0,1
34,Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,23180,1011000,30000,30000,x,x,51,0,0,,0,981000,0,30000,0,0,2,0,0,1,0,0,0,0,0,0,0,1
35,Drought in Djibouti,Drought,DJI003,Djibouti,DJI,23180,1011000,639000,x,0,x,x,0,0,,x,372000,329000,203000,107000,0,5,0,0,1,0,0,0,0,0,0,0,1
36,Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,120410,25550000,25550000,x,x,x,2,x,x,,x,0,15120000,4970000,5459000,0,1,x,x,1,2,2,0,3,3,0,0,3
37,Complex crisis in DRC,Complex crisis,COD001,DRC,COD,2267048,99510000,43245000,8470000,x,x,2831,x,x,,1700,46241000,29826000,16511000,6391000,533000,5,x,x,1,3,2,3,0,2,3,1,3
38,Floods in south-eastern DRC,Flood,COD003,DRC,COD,575949,23077000,587000,x,x,x,x,x,x,,x,22490000,0,523000,64000,0,5,x,x,1,2,2,3,0,2,2,1,3
39,Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,3449,4817000,626000,417000,x,x,1,x,x,,x,4190000,0,626000,0,0,2,x,0,0,0,0,0,0,2,0,1,0
40,Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,91071.77,21884000,3157000,503000,x,x,257,x,x,,x,18731000,3030000,37000,87000,0,2,x,x,1,1,0,0,0,0,1,1,1
41,Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,20720,6700000,1400000,454000,x,2304,663,x,x,,x,5300000,757000,580000,63000,0,3,x,x,0,2,1,0,0,2,1,0,2
42,Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,101000,3227000,3227000,300000,x,x,0,x,x,,x,645000,0,2582000,0,0,5,x,x,3,0,0,0,2,0,0,2,0
43,Food Security Crisis in Eswatini,Food Security,SWZ001,Eswatini,SWZ,17204,1131000,752000,0,0,0,x,,,,,379000,385000,307000,60000,0,1,,,0,0,0,0,0,2,0,0,1
44,Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,1000000,29225000,18770000,1735000,x,x,1227,x,x,,x,10455000,10296000,6497000,1977000,0,4,x,x,1,2,2,0,3,2,3,3,3
45,Flood Crisis in Ethiopia,Flood,ETH002,Ethiopia,ETH,742878,61952000,1018000,294000,x,x,12,x,x,,x,61221000,221000,401000,0,0,3,x,x,x,x,x,x,x,x,x,x,2
46,International Displacement,International displacement,ETH003,Ethiopia,ETH,907050,72381000,769000,769000,x,x,x,x,x,,x,71612000,0,769000,0,0,3,x,x,2,1,2,0,2,2,1,3,x
47,Crisis in Tigray,Conflict,ETH004,Ethiopia,ETH,50079,5443000,5399000,145000,x,,x,,,,,0,0,4899000,0,500000,4,,,2,2,3,3,2,0,3,3,3
48,Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,3364.07,334000,120000,120000,0,x,24,x,x,,x,214000,101000,20000,0,0,2,x,x,0,0,1,0,0,2,0,0,0
49,Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,107160,14900000,5500000,242000,x,1678,1859,0,0,,x,4503000,7097000,3137000,163000,0,3,x,x,0,1,0,1,0,2,0,0,1
50,Hurricane Eta and Iota in Guatemala,Tropical cyclone,GTM003,Guatemala,GTM,108889,14900000,2409000,304000,30,x,60,74237,4133,,x,12491000,2105000,304000,0,0,3,,,0,0,0,0,0,0,1,0,3
51,Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,27166,10900000,6300000,53000,x,x,201,x,x,,x,3878000,3022000,3095000,905000,0,2,x,x,0,1,0,0,0,0,2,0,3
52,Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,111890,9158000,2700000,247000,75122,7103,1829,x,x,,12965,6458000,1400000,950000,350000,0,3,x,x,0,2,1,1,0,2,1,0,0
53,Hurricane Eta and Iota in Honduras,Tropical cyclone,HND002,Honduras,HND,112490,9158000,4138000,494000,x,x,98,28000,x,,x,5020000,3644000,494000,0,0,3,,,0,2,0,1,2,0,3,0,2
54,Multiple Crises in India,Multiple crises country,IND001,India,IND,2119339,821006000,22615000,1167000,x,x,1941,x,x,,x,798392000,21448000,1167000,0,0,x,x,x,1,1,3,0,2,2,1,1,3
55,Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,222236,12541000,x,x,x,x,279,x,x,,x,12541000,x,x,x,0,x,x,x,1,1,1,0,1,2,1,1,2
56,Floods in India,Flood,IND005,India,IND,1897103,821006000,22615000,1167000,x,x,1662,x,x,,x,797224000,21448000,1167000,0,0,2,x,x,1,0,0,0,0,0,0,1,3
57,Regional Kashmir conflict,Regional crisis,REG003,"India, Pakistan","IND, PAK",235533,16991000,16991000,x,x,x,316,x,x,,x,x,x,x,x,x,3,x,x,2,1,2,0,1,2,1,1,3
58,Papua Conflict,Conflict,IDN002,Indonesia,IDN,416060,3594000,3594000,x,x,x,37,x,x,,x,x,x,x,x,x,4,x,x,0,2,2,0,0,1,2,0,2
59,Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,239561,24823000,2951000,2951000,x,x,0,x,x,,x,21872000,0,951000,2000000,0,2,x,x,2,2,2,0,2,2,1,1,2
60,Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,434120,38434000,6934000,6950000,x,x,1418,x,x,,133900,31500000,2646000,2400000,1888000,0,5,1500000,300000,1,2,2,0,2,3,0,3,2
61,Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,434120,11000000,6691000,6708000,x,x,1418,x,x,,133900,4309000,2646000,2271000,1775000,0,5,1500000,300000,1,2,2,0,2,3,0,3,2
62,Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,40000,5134000,450000,242000,x,x,0,x,0,,x,4684000,0,336000,114000,0,5,x,0,1,1,0,0,0,2,0,3,1
63,Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,41054,7120000,x,x,X,X,238,X,0,,X,7120000,x,x,x,x,2,X,X,1,1,1,0,1,1,0,0,0
64,Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,40463,8899000,1377000,1377000,x,x,0,x,x,,x,7522000,733000,280000,364000,0,2,x,x,1,1,0,0,2,1,2,0,2
65,Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,569140,51393000,11193000,611000,0,113000,102,0,0,,x,40200000,9714000,1367000,113000,0,3,x,x,1,1,0,0,0,2,0,1,2
66,Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,123000,5216000,499000,499000,0,x,x,0,0,,x,4721000,0,495000,0,0,2,x,x,0,0,0,0,0,0,0,1,0
67,Drought in Kenya,Drought,KEN003,Kenya,KEN,569140,51393000,10698000,x,0,113000,x,0,0,,x,40695000,9714000,872000,113000,0,3,x,x,0,0,0,0,0,0,0,1,0
68,Flooding and Landslides in Kenya,Flood,KEN005,Kenya,KEN,471098,42513000,233000,16000,x,x,237,x,x,,x,42280000,117000,116000,0,0,x,x,x,0,1,1,0,0,0,0,1,3
69,Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,10201.2,6849000,3027000,1527000,x,0,0,x,x,,x,3822000,2361000,180000,486000,0,2,x,x,1,2,2,0,2,2,0,3,1
70,Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,10201.2,6849000,4239000,x,x,x,0,x,x,,x,2609000,473000,2192000,1575000,0,3,x,x,1,2,2,0,2,2,0,3,1
71,Explosion in Beirut,Industrial Accidents,LBN005,Lebanon,LBN,1987.6,2200000,2200000,300000,6500,x,191,x,x,,x,0,1200000,1000000,0,0,4,x,x,1,1,2,0,2,2,0,3,1
72,Drought in Lesotho,Drought,LSO002,Lesotho,LSO,30400,1467000,1062000,x,0,0,0,0,0,,X,405000,480000,482000,100000,0,1,0,0,0,0,0,0,0,2,0,0,1
73,Southern Africa Regional Food Security Crisis,Regional crisis,REG012,"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Eswatini,Tanzania,Zambia,Zimbabwe","LSO, MDG, MWI, MOZ, NAM, SWZ, TZA, ZMB, ZWE",1548469,44331000,24219000,94000,0,0,0,0,0,,0,20112000,14176000,8929000,1115000,0,5,,,1,0,0,0,0,2,0,2,0
74,Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,1759540,6871000,1800000,1466000,x,x,729,x,x,,x,5071000,774000,108000,558000,360000,5,198000,633000,1,3,3,3,2,3,3,1,3
75,Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,1759540,6871000,585000,585000,x,x,564,x,x,,x,6286000,261000,190000,131000,3000,2,79000,229000,1,3,3,0,2,3,3,1,3
76,Drought in Madagascar,Drought,MDG002,Madagascar,MDG,149752,2276000,1604000,x,0,x,x,x,x,,x,672000,1050000,527000,27000,0,1,x,x,0,0,0,0,0,2,0,0,0
77,Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,94276,17678000,8837000,0,0,0,36,x,x,,x,8841000,6219000,2618000,0,0,1,x,x,0,0,0,0,0,2,0,0,0
78,Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,1220190,19806000,8200000,430000,x,44056,1130,X,X,,X,11606000,3900000,3818000,482000,0,5,X,X,0,2,2,3,2,2,3,1,3
79,Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,75,72000,61000,61000,0,x,x,0,0,,x,11000,0,61000,0,0,2,x,x,0,0,0,0,0,0,0,1,3
80,Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,1030700,4145000,1513000,x,x,x,x,x,x,,x,2632000,1036000,457000,20000,0,3,x,x,0,0,0,0,0,0,0,1,3
81,Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,1635481,92033000,x,584000,x,45472,x,X,X,,x,x,x,x,x,x,5,x,x,X,1,1,0,0,1,1,x,X
82,Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,1078234,70024000,x,351000,x,x,4014,x,x,,x,x,x,x,x,x,4,x,x,x,1,1,0,x,1,x,x,x
83,Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,1437306,70840000,275000,275000,x,x,140,x,x,,x,x,x,x,x,x,3,x,x,x,1,1,0,1,1,1,x,x
84,Hurricane Eta and Iota in Southern Mexico,Tropical cyclone,MEX004,Mexico,MEX,170284,14678000,169000,17000,x,x,27,58800,x,,x,14510000,152000,17000,0,0,3,,,0,2,0,2,2,0,2,0,1
85,Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,446300,35587000,x,x,x,x,87,0,0,,0,x,x,x,x,x,1,0,0,0,0,1,0,0,1,0,1,0
86,Complex crisis in Mozambique,Complex crisis,MOZ001,Mozambique,MOZ,344602,5175000,4002000,344000,26,277460,1122,147000,143000,,773,2105000,183000,906000,0,0,3,x,x,1,2,2,0,1,2,3,1,1
87,Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,78778,2745000,267000,355000,x,0,1095,x,x,,x,204000,57000,6000,0,0,63423,x,x,0,1,0,0,0,2,1,1,1
88,Food Security Crisis in Mozambique,Food Security,MOZ006,Mozambique,MOZ,344602,2430000,2430000,94000,0,0,x,,,,,1901000,1126000,500000,0,0,3,,,0,0,0,1,0,0,1,0,1
89,Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,289700,10395000,5124000,1446000,x,x,236,x,x,,x,5271000,4149000,365000,610000,0,3,x,x,2,3,2,0,3,3,2,1,3
90,Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,44857,3882000,1563000,1340000,x,x,184,x,x,,x,2318000,809000,250000,504000,0,4,x,x,2,3,2,0,3,3,2,1,3
91,Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,244843.1,6513000,3560000,106000,x,x,52,x,x,,x,2953000,3340000,115000,106000,0,3,x,x,2,2,2,0,2,3,1,1,2
92,Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,823,2256000,1091000,0,0,0,x,,,,,1165000,651000,426000,14000,0,1,,,1,0,0,0,0,2,0,0,0
93,Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,120339.54,6444000,417000,102000,x,17631,4,0,0,,1214,x,x,x,0,0,1,0,0,x,x,1,0,1,1,0,0,2
94,Hurricane Eta and Iota in Nicaragua,Tropical cyclone,NIC002,Nicaragua,NIC,92703,2661000,530000,73000,x,x,23,8000,5890,,x,2131000,457000,73000,0,0,3,,,1,2,2,0,2,0,0,0,3
95,Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,1267000,23577000,23578000,529000,X,X,387,X,X,,X,19878000,0,3162000,538000,0,5,X,X,0,2,0,2,0,2,3,1,3
96,Boko Haram in Niger,Conflict,NER002,Niger,NER,156906,738000,728000,266000,141012,X,176,X,X,,X,0,220000,252000,266000,0,5,X,X,0,2,0,0,0,2,2,1,3
97,Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,210600,7800000,965000,197000,X,X,126,X,X,,X,6835000,0,765000,200000,0,5,X,X,0,2,0,2,0,2,3,1,3
98,Nigerian Refugees,International displacement,NER004,Niger,NER,4929,656000,123000,93000,x,x,6,0,0,,0,533000,0,30000,93000,0,2,x,x,0,1,0,0,0,0,2,1,3
99,Floods in Niger,Flood,NER005,Niger,NER,1267000,23578000,516000,x,x,x,69,x,43667,,x,23061000,0,516000,0,0,5,x,x,0,2,0,2,0,2,3,1,3
100,Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,909890,71033000,7925000,4643000,x,x,2553,x,4300,,x,48404000,1936000,3106000,2884000,0,5,x,800000,1,2,3,2,2,2,2,1,2
101,Middle belt conflict,Conflict,NGA003,Nigeria,NGA,181664,15100000,397000,397000,x,x,222,x,x,,x,14704000,0,397000,0,0,5,x,x,0,0,0,0,0,2,0,1,0
102,Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,157918,7900000,7150000,3868000,x,x,1203,x,4300,,x,751000,1936000,2331000,2884000,0,4,x,800000,1,2,3,2,2,2,2,1,2
103,Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,237708,30376000,317000,317000,x,x,1128,500,10500,,49,30058000,0,317000,0,0,5,x,x,0,0,1,0,0,2,1,1,0
104,Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,115769,17657000,62000,62000,x,x,x,x,x,,x,17595000,0,62000,0,0,2139,x,x,0,0,0,0,0,2,0,1,0
105,Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria, Niger, Chad, Cameroon","NGA, NER, TCD, CMR",369002,13701000,11093000,5076000,x,x,1740,0,4300,,5200000,2608000,4352000,3234000,3385000,122000,5,x,800000,1,1,2,2,0,2,2,2,3
106,Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,770880,209594000,64359000,204000,x,x,757,x,x,,x,145236000,61320000,2021000,1018000,0,5,x,x,2,0,2,0,0,2,1,1,3
107,Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,13297,4450000,x,x,x,x,37,x,x,,x,x,x,x,x,x,3,x,x,2,0,2,0,0,2,1,1,3
108,Conflict in Palestine,Conflict,PSE002,Palestine,PSE,6020,5200000,5200000,6365000,742,x,9,160000,11422,,x,0,3000000,396000,858000,946000,4,x,4950000,2,3,3,0,3,3,2,2,2
109,Venezuela displacement in Peru,International displacement,PER002,Peru,PER,178440,16328000,1098000,830000,x,x,3,0,0,,x,15443000,0,885000,0,0,2,1,0,0,1,0,0,0,1,0,0,2
110,Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,424484,88754000,8358000,266000,x,x,390,,,,x,80397000,8092000,1128000,0,0,4,,,0,1,0,0,0,2,1,1,3
111,Mindanao conflict,Conflict,PHL003,Philippines,PHL,138354,24136000,145000,145000,x,x,292,x,x,,x,23991000,0,145000,0,0,4,x,x,0,1,0,0,0,2,1,1,3
112,Mindanao Earthquake,Earthquake,PHL004,Philippines,PHL,138354,10134000,79000,79000,563,x,0,21681,25795,,x,10056000,0,79000,0,0,3,,,0,0,0,0,0,1,1,1,3
113,Typhoon Goni (Rolly) and Typhoon Vamco (Ulysses) ,Tropical cyclone,PHL009,Philippines,PHL,147776,54484000,8134000,43000,,,98,,,,,46350000,7229000,905000,0,0,2,,,0,0,0,0,0,0,0,0,3
114,Burundi and DRC refugees in Rwanda,International displacement,RWA002,Rwanda,RWA,10646,4576000,148000,148000,x,x,x,0,0,,0,4429000,0,148000,0,0,2,0,0,1,0,0,0,0,2,0,0,1
115,Drought in Senegal,Drought,SEN002,Senegal,SEN,192530,16709000,3188000,x,0,0,0,0,0,,x,13521000,2676000,498000,13000,0,4,0,0,1,0,0,0,0,0,0,1,0
116,Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,627340,12300000,12300000,3939000,x,x,1629,x,x,,x,7213000,3010000,1705000,400000,0,5,x,x,1,1,2,3,1,2,3,2,2
117,Mixed Migration Flows in Somalia,International displacement,SOM002,Somalia,SOM,28220,1261000,36000,36000,x,x,x,0,0,,0,1227000,0,2000,34000,0,2,x,x,1,3,2,3,2,2,2,2,2
118,Floods in Somalia,Flood,SOM004,Somalia,SOM,255047,5300000,536000,285000,x,x,17,x,x,,x,4764000,251000,285000,0,0,3,,,1,3,2,3,2,3,2,2,3
119,Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,644000,11685000,11685000,4381000,x,600000,1127,x,x,,14369,0,4430000,5260000,1930000,10000,5,x,1500000,1,1,1,1,1,1,1,1,1
120,Mixed migration flows in Spain,International displacement,ESP002,Spain,ESP,87268,8388000,64000,64000,x,x,563,X,x,,x,64000,0,0,0,0,2,x,x,x,x,x,x,x,x,x,x,x
121,Complex crisis in Sudan,Complex crisis,SDN001,Sudan,SDN,1840687,43000000,3876000,3650000,x,x,543,x,x,,x,16400000,17300000,4400000,1000000,3900000,5,x,x,1,1,2,0,2,2,1,1,3
122,Refugees in Sudan,International displacement,SDN005,Sudan,SDN,15000,1326000,3876000,3650000,x,x,x,x,x,,x,0,226000,400000,500000,200000,3876000,,,2,3,2,2,0,x,2,2,3
123,Floods in Sudan ,Flood,SDN006,Sudan,SDN,1840687,43000000,875000,480000,54,x,155,92600,79400,,x,42140000,810000,50000,0,0,3,x,x,2,2,0,0,0,3,1,1,3
124,Refugees from Ethiopia,International displacement,SDN007,Sudan,SDN,61064,5858000,903000,56000,x,x,x,x,x,,x,4956000,0,903000,0,0,2,x,x,1,1,2,0,2,2,1,1,3
125,Syrian conflict,Complex crisis,SYR001,Syria,SYR,183630,17070000,17070000,12283000,x,x,3043,x,x,,x,0,5362000,1969000,8500000,1239000,5,x,1160000,2,3,3,3,3,2,3,2,3
