,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
15,Cyclone Remal,"Cyclone,Floods",BGD013,Bangladesh,BGD,39.214,3.297,1.303,x,x,3.5,0.8950107271648332,0.07524992011685762,0.029739352718309218,x,x,2,2.75
16,2024 Monsoon Floods in Bangladesh,Floods,BGD014,Bangladesh,BGD,52.571,9.6,5,x,x,4.5,0.7826442959015051,0.1429188191332569,0.07443688496523798,x,x,3,3.75
17,Displacement from Russia-Ukraine conflict in Bulgaria,"Conflict,Displacement",BGR002,Bulgaria,BGR,6.465,0,0.068,0,0,1.4,0.9895913056788612,0,0.010408694321138834,0,0,1,1.2
18,Displacement from Russia-Ukraine conflict in Belarus,"Displacement,Conflict",BLR002,Belarus,BLR,9.228,0,0.046,0,0,1.1,0.9950398964847962,0,0.004960103515203796,0,0,1,1.05
19,Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,117.126,1.987,1.595,x,x,3.7,0.9703331206972255,0.016461348554764842,0.013213815271690955,x,x,1,2.35
20,Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,105.3,0.011,0.572,0,0,2.9,0.9944939225371401,0.00010388825401622546,0.0054021892088437235,0,0,1,1.95
21,Drought in the Amazonas,Drought,BRA004,Brazil,BRA,3.341,0,0.6,x,x,3,0.8477543770616595,0,0.1522456229383405,x,x,3,3
22,Floods in Rio Grande do Sul,Floods,BRA005,Brazil,BRA,8.485,1.976,0.423,x,x,2.7,0.7796563447578793,0.18156758246806948,0.0388679592024258,x,x,2,2.35
23,Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,0.982,2.318,2.279,0.521,0,4.1,0.16098360655737706,0.38,0.3736065573770492,0.08540983606557377,0,4,4.05
24,Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,6.498,12.853,0.278,0,0,2.4,0.33102394294447274,0.654763117677025,0.014161996943453898,0,0,2,2.2
25,Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,19.743,0,2.247,1.133,0,4.2,0.8538251956926004,0,0.09717597197595468,0.048998832331444885,0,3,3.6
26,Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,3.994,0,0.379,0.805,0,3.5,0.7711913496814057,0,0.07318015060822552,0.1554354122417455,0,4,3.75
27,Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,10.842,0,1.492,0.328,0,3.8,0.8562628336755647,0,0.1178328858000316,0.025904280524403727,0,3,3.4
28,CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,4.906,0,0.376,0,0,2.6,0.9288148428625521,0,0.07118515713744794,0,0,3,2.8
29,Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,88.2,0,10.414,10.414,4.572,5,0.7764084507042254,0,0.0916725352112676,0.0916725352112676,0.040246478873239434,4,4.5
30,Complex crisis in Congo,Conflict,COG001,Congo,COG,5.445,0,0.525,0,0,2.9,0.9120603015075377,0,0.08793969849246232,0,0,3,2.95
31,Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,32.524,9.776,6.08,3.8,0.52,5,0.6171537001897534,0.18550284629981026,0.11537001897533207,0.07210626185958255,0.009867172675521821,4,4.5
32,Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,16.028,12.876,1.155,0.84,0.105,3.9,0.5169488792130301,0.41528785679729074,0.03725205611998065,0.027092404450895016,0.003386550556361877,3,3.45
33,Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,2.215,x,0.235,x,x,2.3,0.9037127702978376,x,0.09587923296613628,x,x,3,2.65
34,Displacement from Russia-Ukraine conflict in Czechia,"Conflict,Displacement",CZE002,Czech Republic,CZE,10.672,0,0.38,0,0,2.6,0.9656170828809265,0,0.03438291711907347,0,0,1,1.8
35,Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,0.39,0.475,0.264,0.053,0,2.5,0.3299492385786802,0.40186125211505924,0.2233502538071066,0.04483925549915398,0,3,2.75
36,Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,0.859,0,0.032,x,x,0.8,0.9640852974186308,0,0.03591470258136925,x,x,1,0.9
37,Drought in Djibouti,Drought,DJI003,Djibouti,DJI,0.422,0.475,0.232,0.053,0,2.4,0.3570219966159052,0.40186125211505924,0.19627749576988154,0.04483925549915398,0,3,2.7
38,Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,11.192,0.023,0.117,0,0,1.8,0.9875584576016941,0.0020294714550427953,0.01032383305391335,0,0,1,1.4
39,Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,46.737,0,0.261,x,x,2.4,0.9944465721945615,0,0.005553427805438529,x,x,1,1.7
40,Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,0.049,0,0.174,x,x,2.1,0.21973094170403587,0,0.7802690582959642,x,x,3,2.55
41,Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,46.563,0,0.435,x,x,2.7,0.9907442869909358,0,0.009255713009064215,x,x,1,1.85
42,Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,10.599,6.862,0.73,x,x,3.1,0.5826827927432655,0.37724024189114896,0.040131940626717974,x,x,2,2.55
43,Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,116.302,0,0.793,x,x,3.2,0.9932277210811734,0,0.0067722789188265934,x,x,1,2.1
44,Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,2.649,0,1.1,x,x,3.4,0.7065884235796213,0,0.2934115764203788,x,x,3,3.2
45,Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,47.835,0,0.069,x,x,1.4,0.9985596192384769,0,0.001440380761523046,x,x,1,1.2
46,Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,1.349,0,0.036,0,0,0.9,0.9740072202166065,0,0.025992779783393503,0,0,1,0.95
47,Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,0,111.689,9.874,11.486,0,5,0,0.8394576434246029,0.07421325977647333,0.0863290967989237,0,4,4.5
48,International Displacement,Displacement,ETH003,Ethiopia,ETH,95.554,0,1.07,x,x,3.4,0.9889261467130319,0,0.011073853286968041,x,x,1,2.2
49,Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,0,21.546,3.482,5.621,0,4.9,0,0.7029919410094946,0.1136089268817906,0.1833991321087148,0,4,4.45
50,Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,0,75.118,8.083,11.423,0,5,0,0.7938577950625634,0.08542230300980724,0.12071990192762935,0,4,4.5
51,Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,0.537,0,0.192,x,x,2.1,0.7376373626373627,0,0.26373626373626374,x,x,3,2.55
52,Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,7.744,4.556,4.948,0.352,0,4.5,0.44,0.25886363636363635,0.28113636363636363,0.02,0,3,3.75
53,Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,4.212,2.733,1.428,1.372,0,4.1,0.4322216521292971,0.2804515135967163,0.1465366854797332,0.14079014879425347,0,4,4.05
54,Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,3.042,3.158,3.855,1.645,0,4.6,0.26,0.2699145299145299,0.3294871794871795,0.1405982905982906,0,4,4.3
55,Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,9.643,0,0.061,0,0,1.3,0.9937139323990107,0,0.006286067600989283,0,0,1,1.15
56,Papua Conflict,"Socio-political,Violence,Conflict",IDN002,Indonesia,IDN,0,5.502,0.1,x,x,1.7,0,0.9821492324169939,0.01785076758300607,x,x,2,1.85
57,2024 Monsoon Floods in India,Floods,IND006,India,IND,16.253,0.961,0.079,x,x,1.5,0.9398600589834036,0.05557161857398948,0.004568322442606835,x,x,2,1.75
58,Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,20.335,0,3.988,0.5,0,4.4,0.819199935543649,0,0.16065745477984128,0.020142609676509687,0,3,3.7
59,Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,37.529,7.338,0.093,0.033,0,1.8,0.8341075278376636,0.1630920365390172,0.0020669881981641588,0.0007334474251550242,0,2,1.9
60,Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,38.74,5.861,0.06,0.03,0,1.6,0.8668411984515898,0.13114497326083552,0.001342552191716453,0.0006712760958582265,0,2,1.8
61,Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,4.96,1.477,0.033,0.003,0,0.9,0.7662598486018848,0.2281785879808435,0.005098099799165766,0.0004634636181059787,0,2,1.45
62,Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,59.074,0,0.21,x,x,2.2,0.996457728898185,0,0.0035422711018149922,x,x,1,1.6
63,Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,7.44,0.488,1.325,0.026,0,3.6,0.8017241379310345,0.052586206896551725,0.1427801724137931,0.0028017241379310344,0,3,3.3
64,Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,0.559,27.054,2.439,0.098,0,4,0.018540630182421226,0.8973134328358209,0.0808955223880597,0.0032504145936981758,0,3,3.5
65,Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,0.559,0,0.804,x,x,3.2,0.4101247248716067,0,0.5898752751283932,x,x,3,3.1
66,Drought in Kenya,Drought,KEN003,Kenya,KEN,0,27.054,1.635,0.098,0,3.7,0,0.9398318627110401,0.05679844368790384,0.0034044327103453067,0,3,3.35
67,Typhoon Yagi in Laos,"Cyclone,Floods",LAO004,Laos,LAO,2.981,0.108,0.092,x,x,1.6,0.9371266897202137,0.033951587551084565,0.028921722728701665,x,x,2,1.8
68,Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,0,4.17,1.49,0.041,0,3.6,0,0.7315789473684211,0.2614035087719298,0.007192982456140351,0,3,3.3
69,Complex crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster,Displacement",LBN006,Lebanon,LBN,0,1.8,2.982,0.918,x,4.3,0,0.3157894736842105,0.5231578947368422,0.16105263157894736,x,4,4.15
70,Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,0,6.238,0.289,0.876,0,3.4,0,0.8426313656625692,0.03903822774550858,0.11833040659192219,0,4,3.7
71,Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,6.572,0,0.831,x,x,3.2,0.8877482101850601,0,0.11225178981493988,x,x,3,3.1
72,Refugees from Sudan in Libya,Conflict,LBY004,Libya,LBY,2.76,0,0.085,0.11,x,2.2,0.934010152284264,0,0.028764805414551606,0.03722504230118443,x,3,2.6
73,2024 Inter-monsoon Floods in Sri Lanka,Floods,LKA005,Sri Lanka,LKA,6.85,0.114,0.041,x,x,1,0.9778729478943612,0.016274089935760173,0.005852962169878658,x,x,1,1
74,Food security crisis in Lesotho,Drought,LSO004,Lesotho,LSO,0.56,0.543,0.374,0.029,0,2.7,0.37209302325581395,0.36079734219269105,0.24850498338870433,0.019269102990033222,0,3,2.85
75,Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,2.832,0,0.046,0,0,1.1,0.9840166782487839,0,0.015983321751216122,0,0,1,1.05
76,Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,1.879,0,0.047,0,0,1.1,0.9755970924195223,0,0.024402907580477674,0,0,1,1.05
77,Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,38.168,0,0.018,x,x,0.4,0.9995286230555701,0,0.00047137694442989575,x,x,1,0.7
78,DIsplacement from Russia-Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,2.539,0,0.124,0,0,1.8,0.9534359744648893,0,0.04656402553511078,0,0,1,1.4
79,Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,8.04,5.403,1.492,0,0,3.6,0.5383688228204098,0.3617918842908799,0.09990625418508102,0,0,3,3.3
80,Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.91,5.036,1.324,0,0,3.5,0.3807205452775073,0.49036027263875365,0.12891918208373904,0,0,3,3.25
81,Cyclone Gamane in Madagascar,"Cyclone,Floods",MDG009,Madagascar,MDG,4.13,0.367,0.168,x,x,2,0.8853161843515541,0.07867095391211147,0.0360128617363344,x,x,2,2
82,Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,127.841,0.472,0.142,x,x,1.9,0.9952123684374417,0.0036744099146789563,0.001105436881111042,x,x,1,1.45
83,Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,70.145,0.386,x,x,x,x,0.9945272291616453,0.005472770838354766,x,x,x,x,x
84,Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,57.696,0.093,0.142,x,x,1.9,0.9960466119982736,0.0016055243849805783,0.0024514458351316357,x,x,1,1.45
85,Complex crisis in Mali,Conflict,MLI001,Mali,MLI,15.295,0,5.467,1.491,0.142,4.8,0.6829649475329315,0,0.24411699039964277,0.0665773610180844,0.006340701049341371,4,4.4
86,Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,0,37.294,13.553,5.113,x,5,0,0.6664403145103646,0.24219085060757684,0.09136883488205862,x,4,4.5
87,Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,0,1.794,0.436,1.242,x,3.7,0,0.5167050691244239,0.12557603686635946,0.3577188940092166,x,4,3.85
88,Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,0,3.065,1.429,0.379,x,3.8,0,0.6289759901498051,0.2932485122101375,0.07777549764005746,x,4,3.9
89,Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,0,40.855,11.613,3.492,x,5,0,0.7300750536097212,0.20752323087919944,0.06240171551107934,x,4,4.5
90,2024 Monsoon Floods,Floods,MMR006,Myanmar,MMR,5.82,1.205,0.075,x,x,1.5,0.819718309859155,0.16971830985915493,0.01056338028169014,x,x,2,1.75
91,Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,0,29.369,3.876,1.678,0,4.6,0,0.840964407410589,0.11098702860578988,0.04804856398362111,0,3,3.8
92,Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,0,9.884,0.54,1.16,x,3.7,0,0.8532458563535912,0.04661602209944751,0.10013812154696132,x,4,3.85
93,2024 Rainy and Cyclone season,"Floods,Displacement,Cyclone",MOZ011,Mozambique,MOZ,0,34.369,0.546,0.008,x,2.9,0,0.9841365289350857,0.015634395670475046,0.0002290753944391948,x,2,2.45
94,Drought in Mozambique,Drought,MOZ012,Mozambique,MOZ,0,14.654,2.79,0.51,0,4.2,0,0.8161969477553749,0.15539712598863764,0.028405926255987524,0,3,3.6
95,Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,2.105,0,0.141,x,x,1.9,0.9372217275155833,0,0.06277827248441674,x,x,3,2.45
96,Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,3.194,1.023,0.358,0.007,0,2.6,0.6970755128764732,0.2232649498035792,0.07813182016586644,0.0015277171540811873,0,3,2.8
97,Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,12.817,0,8.584,0.416,0,4.9,0.587477655039648,0,0.3934546454599624,0.019067699500389605,0,3,3.95
98,International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,0,11.039,0.192,x,x,2.1,0,0.9829044608672425,0.017095539132757544,x,x,2,2.05
99,Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,0.977,0.79,1.156,0.1,0,3.5,0.32329583057577765,0.2614162806088683,0.3825281270681668,0.03309066843150232,0,3,3.25
100,Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,0.02,0,0.532,0.288,0,3.2,0.023809523809523808,0,0.6333333333333333,0.34285714285714286,0,4,3.6
101,Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,7.112,0,1.178,0.725,0,3.8,0.7889948968271577,0,0.13068560017750167,0.08043044153538939,0,4,3.9
102,Nigerian Refugees,Displacement,NER004,Niger,NER,4.261,0,0.532,0.264,0,3.2,0.8425944235712873,0,0.10520071188451652,0.052204864544196164,0,4,3.6
103,Complex crisis in Niger,"Conflict,Displacement,Drought,Floods,Food Security,Violence",NER006,Niger,NER,17.239,5.6,3.023,1.277,x,4.4,0.6352113195032978,0.20634511220015475,0.11138951324661926,0.04705405504992815,x,3,3.7
104,Complex crisis in Nigeria,"Conflict,Displacement,Violence,Epidemic,Floods",NGA001,Nigeria,NGA,85.903,82.685,30.759,0.999,0,5,0.4287732223253771,0.4127110099527817,0.15352939414812375,0.004986373573717469,0,3,4
105,Middle belt conflict,"Violence,Conflict",NGA003,Nigeria,NGA,7.777,7.607,3.105,0.026,0,4.2,0.42003780718336486,0.4108560626519039,0.16770186335403728,0.0014042668106940318,0,3,3.6
106,Lake Chad basin crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,0,8.2,5.6,2.1,0.2,4.8,0,0.5093167701863354,0.34782608695652173,0.13043478260869565,0.012422360248447204,4,4.4
107,Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,15.897,17.748,9.757,0.483,0,5,0.36224222399453115,0.4044206448672667,0.22233109262846074,0.01100603850974137,0,3,4
108,Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,12.575,0,0.1,x,x,1.7,0.9921104536489151,0,0.007889546351084813,x,x,1,1.35
109,Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,5.023,1.773,x,x,x,x,0.7391112419070042,0.2608887580929959,x,x,x,x,x
110,2024 Monsoon Floods in Nepal,Floods,NPL004,Nepal,NPL,20.568,2.398,0.192,x,x,2.1,0.8881595992745488,0.10354952932032127,0.008290871405129976,x,x,2,2.05
111,Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,157.976,73.815,19,1.6,0,5,0.6259177228982016,0.29246288496816447,0.07528002187082741,0.006339370262806518,0,3,4
112,Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,4.179,x,x,x,x,x,1.0000000000000002,x,x,x,x,x,x
113,Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,0,12.4,20.57,0.03,0,5,0,0.37575757575757573,0.6233333333333333,0.0009090909090909091,0,3,4
114,Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,0.463,0.023,0.036,0,0,0.9,0.8886756238003839,0.044145873320537425,0.0690978886756238,0,0,3,1.95
115,Venezuela displacement in Peru,Displacement,PER002,Peru,PER,19.732,13.56,1.06,0,0,3.4,0.574389427415364,0.3947253514976858,0.030856111547754198,0,0,2,2.7
116,Multiple crises in the Philippines,"Conflict,Cyclone,Violence,Floods,Other seasonal event",PHL001,Philippines,PHL,88.511,10.322,0.769,x,x,3.1,0.8886557363881888,0.10363349765564603,0.0077208060160038556,x,x,2,2.55
117,Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,26.143,0,0.11,x,x,1.7,0.9958479353953984,0,0.004190156940423587,x,x,1,1.35
118,2024 Southwest Monsoon,"Cyclone,Floods",PHL015,Philippines,PHL,57.487,7.846,0.06,x,x,1.3,0.8791002095025462,0.1199822610982827,0.0009175293991711651,x,x,2,1.65
119,Typhoon Trami in Philippines,Cyclone,PHL016,Philippines,PHL,43.784,6.27,0.599,x,x,3,0.8643910528497818,0.12378338894043787,0.01182555820978027,x,x,2,2.5
120,Multiple crises in Papua New Guinea,0,PNG001,Papua New Guinea,PNG,4.391,0.261,0.059,x,x,1.3,0.9320738696667374,0.05540225005306729,0.012523880280195288,x,x,2,1.65
121,Highlands Violence,Violence,PNG003,Papua New Guinea,PNG,4.302,0.239,0.025,x,x,0.7,0.9421813403416557,0.052343407796758654,0.005475251861585633,x,x,2,1.35
122,2024 Monsoon Flooding in Western Province,Floods,PNG005,Papua New Guinea,PNG,0.089,0.022,0.034,x,x,0.9,0.6137931034482759,0.15172413793103448,0.23448275862068965,x,x,3,1.95
123,Displacement from Russia-Ukraine conflict in Poland,"Displacement,Conflict",POL002,Poland,POL,36.822,0,0.981,0,0,3.3,0.9740496785969367,0,0.025950321403063248,0,0,1,2.15
124,Complex crisis in DPRK,"Socio-political,Floods,Other seasonal event,Food Security",PRK001,DPRK,PRK,0,16.092,4.97,5.459,0,5,0,0.6067644508125636,0.18739866520870255,0.20583688397873384,0,4,4.5
125,Conflict in Palestine,"Conflict,Socio-political,Violence",PSE002,Palestine,PSE,0.748,1.496,2.289,0.833,0.178,4.2,0.1349206349206349,0.2698412698412698,0.4128787878787879,0.15025252525252525,0.032106782106782104,4,4.1
126,Conflict in West Bank,"Conflict,Displacement,Socio-political,Violence",PSE003,Palestine,PSE,0.748,1.496,0.84,0.12,0.04,3.3,0.23057953144266338,0.46115906288532676,0.2589395807644883,0.036991368680641186,0.012330456226880395,3,3.15
127,Conflict in Gaza,"Conflict,Displacement,Socio-political,Violence",PSE004,Palestine,PSE,0,0,1.449,0.713,0.138,3.9,0,0,0.63,0.31,0.06,5,4.45
128,Lake Chad basin regional crisis,0,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",10.439,0,5.819,4.406,0.874,5,0.4846782431052094,0,0.27017364657814097,0.20456866932862847,0.04057944098802117,4,4.5
129,Venezuela Regional Crisis,0,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",149.809,37.651,26.943,0,0,5,0.6987294894637177,0.17560936931558474,0.12566580535629332,0,0,3,4
130,Syrian Regional Crisis,0,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",162.023,17.456,13.401,8.677,0.067,5,0.8035898504146332,0.08657699480220608,0.06646530174979169,0.04303555132325517,0.0003323017101138753,3,4
131,Eastern Mediterranean Route ,0,REG006,"Türkiye,Greece","TUR,GRC",15.532,0.434,0.362,0.051,0.006,2.7,0.9478823385817161,0.02648602465519346,0.02209202978152081,0.0031124130355181254,0.00036616623947272064,2,2.35
132,Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",124.556,0,1.378,x,x,3.6,0.9890577604141852,0,0.010942239585814792,x,x,1,2.3
133,Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",132.628,0,0.378,x,x,2.6,0.9971580229463332,0,0.002841977053666752,x,x,1,1.8
134,Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",0,1.794,1.752,1.464,x,4.2,0,0.35808383233532937,0.34970059880239523,0.29221556886227545,x,4,4.1
135,Southern Africa Regional Food Security Crisis,0,REG012,"Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",33.535,37.845,29.607,0.183,0,5,0.33147505658848064,0.3740770394093052,0.2926489339619844,0.0018088544910002077,0,3,4
136,Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",2.552,0.353,0.154,0,0,2,0.8339869281045752,0.11535947712418301,0.05032679738562092,0,0,3,2.5
137,Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",7.785,108.705,13.124,12.503,0,5,0.054778809009478104,0.764897936207491,0.09234644694160445,0.08797680784142643,0,4,4.5
138,Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",9.1,14.723,3.021,0.15,0.006,4.2,0.337037037037037,0.5452962962962963,0.11188888888888888,0.005555555555555556,0.00022222222222222223,3,3.6
