,INFORM Severity Index - all crises. Release: October 2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
10,Conflict in Burkina Faso,BFA002,Burkina Faso,BFA,"Conflict,Displacement,Violence",4.2,5,Very High,Stable,Very High,4.3,4.7,4.1,4.35,4.7,4,4,3.4,4.5,Africa,2024-10-30 00:00:00
11,Rohingya refugee crisis,BGD002,Bangladesh,BGD,"Conflict,Violence,Displacement",3.3,4,High,Stable,Very High,2.8,0.2,3.7,3.8,3.6,4,2.9,2.7,3,Asia,2024-10-22 00:00:00
12,Chronic Food Security Crisis in Bangladesh,BGD012,Bangladesh,BGD,"Food Security,Socio-political,Cyclone,Floods,Other seasonal event",3.7,4,High,Stable,Very High,4.2,4.7,3.95,4.5,5,4,2.1,2.7,1.5,Asia,2024-10-22 00:00:00
13,Cyclone Remal,BGD013,Bangladesh,BGD,"Cyclone,Floods",2.7,3,Medium,Stable,Very High,2.2,2.7,2,2.75,3.5,2,2.9,2.7,3,Asia,2024-10-22 00:00:00
14,2024 Monsoon Floods in Bangladesh,BGD014,Bangladesh,BGD,Floods,3.3,4,High,Increasing,Very High,2.7,3.1,2.5,3.75,4.5,3,2.9,2.7,3,Asia,2024-10-22 00:00:00
15,Displacement from Russia-Ukraine conflict in Bulgaria,BGR002,Bulgaria,BGR,"Conflict,Displacement",1.6,2,Low,Increasing,Very High,2.5,4,1.4,1.2,1.4,1,1.3,1.5,1,Europe,2024-10-29 00:00:00
16,Displacement from Russia-Ukraine conflict in Belarus,BLR002,Belarus,BLR,"Displacement,Conflict",1.8,2,Low,Stable,Very High,2.6,4.3,1.3,1.05,1.1,1,2.2,2.4,2,Europe,2024-10-29 00:00:00
17,Venezuela displacement in Brazil,BRA002,Brazil,BRA,Displacement,2.3,3,Medium,Stable,High,2.8,3.8,2.2,1.95,2.9,1,2.3,2.5,2,Americas,2024-09-14 00:00:00
18,Drought in the Amazonas,BRA004,Brazil,BRA,Drought,2.4,3,Medium,Increasing,Medium,1.6,2.1,1.4,3,3,3,2,2.5,1.5,Americas,2024-09-14 00:00:00
19,Floods in Rio Grande do Sul,BRA005,Brazil,BRA,Floods,2.4,3,Medium,-,Very High,2.8,2,3.2,2.35,2.7,2,2,2.5,1.5,Americas,2024-09-14 00:00:00
20,Complex crisis in CAR,CAF001,CAR,CAF,"Conflict,Displacement",4.1,5,Very High,Stable,High,4.2,4.4,4.1,4.05,4.1,4,4,4,4,Africa,2024-10-30 00:00:00
21,Venezuela displacement in Chile,CHL002,Chile,CHL,Displacement,2.5,3,Medium,Decreasing,Very High,3.7,4.8,2.9,2.2,2.4,2,1.9,1.3,2.5,Americas,2024-09-25 00:00:00
22,Lake Chad basin crisis in Cameroon,CMR002,Cameroon,CMR,Conflict,3.5,4,High,Stable,High,3,1.6,3.5,3.75,3.5,4,3.4,3.7,3,Africa,2024-10-30 00:00:00
23,Anglophone Crisis in Cameroon,CMR003,Cameroon,CMR,Conflict,3.5,4,High,Stable,High,3.3,2.5,3.6,3.4,3.8,3,3.9,3.7,4,Africa,2024-10-30 00:00:00
24,CAR refugees in Cameroon,CMR004,Cameroon,CMR,"Conflict,Displacement",2.8,3,Medium,Stable,High,2.3,2.5,2.2,2.8,2.6,3,3.2,3.7,2.5,Africa,2024-10-30 00:00:00
25,Complex crisis in DRC,COD001,DRC,COD,"Conflict,Displacement,Socio-political",4.4,5,Very High,Increasing,High,4.5,5,4.1,4.5,5,4,4.2,4.3,4,Africa,2024-10-30 00:00:00
26,Complex crisis in Congo,COG001,Congo,COG,Conflict,2.7,3,Medium,Stable,High,2.9,4.2,2,2.95,2.9,3,2,2.5,1.5,Africa,2024-10-30 00:00:00
27,Complex crisis in Colombia,COL001,Colombia,COL,"Socio-political,Conflict,Violence,Floods,Displacement",4.1,5,Very High,Increasing,Very High,4.3,5,3.8,4.5,5,4,3.2,2.9,3.5,Americas,2024-10-07 00:00:00
28,Venezuela displacement in Colombia,COL002,Colombia,COL,Displacement,3.2,4,High,Decreasing,Very High,3.3,2.9,3.5,3.45,3.9,3,2.7,2.9,2.5,Americas,2024-10-07 00:00:00
29,Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,CRI,Displacement,2.2,3,Medium,Stable,High,2.4,1,2.9,2.65,2.3,3,1.5,1.4,1.5,Americas,2024-10-07 00:00:00
30,Displacement from Russia-Ukraine conflict in Czechia,CZE002,Czech Republic,CZE,"Conflict,Displacement",1.8,2,Low,Stable,Very High,2.9,4.2,2,1.8,2.6,1,0.8,0.6,1,Europe,2024-10-29 00:00:00
31,Mixed migration in Djibouti,DJI002,Djibouti,DJI,Displacement,1.5,2,Low,Stable,High,2.1,1.7,2.3,0.9,0.8,1,1.8,2.5,1,Africa,2024-10-29 00:00:00
32,Drought in Djibouti,DJI003,Djibouti,DJI,Drought,2.6,3,Medium,Decreasing,High,2.2,3.2,1.6,2.7,2.4,3,2.8,2.5,3,Africa,2024-10-29 00:00:00
33,Venezuela displacement in Dominican Republic,DOM002,Dominican Republic,DOM,Displacement,1.8,2,Low,Stable,High,3.2,4.1,2.7,1.4,1.8,1,1.2,1.3,1,Americas,2024-10-07 00:00:00
34,Mixed migration flows in Algeria,DZA002,Algeria,DZA,Displacement,2.6,3,Medium,Decreasing,High,3.9,5,3.1,1.7,2.4,1,2.7,2.9,2.5,Africa,2024-10-22 00:00:00
35,Sahrawi refugees in Algeria,DZA003,Algeria,DZA,Displacement,2.5,3,Medium,Increasing,High,2.5,1.1,3.1,2.55,2.1,3,2.3,2.9,1.5,Africa,2024-10-22 00:00:00
36,Venezuela displacement in Ecuador,ECU002,Ecuador,ECU,Displacement,2.7,3,Medium,Stable,Very High,3.3,4.6,2.4,2.55,3.1,2,2.3,2.1,2.5,Americas,2024-09-25 00:00:00
37,Refugees in Egypt,EGY004,Egypt,EGY,"Displacement,Conflict",2.2,3,Medium,Increasing,Very High,2.9,3.9,2.2,2.1,3.2,1,1.9,2.3,1.5,Africa,2024-10-29 00:00:00
38,Complex crisis in Eritrea,ERI001,Eritrea,ERI,"Socio-political,Displacement",3.2,4,High,Stable,High,3,3.9,2.5,3.2,3.4,3,3.4,3.3,3.5,Africa,2024-10-28 00:00:00
39,Mixed migration flows in Spain,ESP002,Spain,ESP,Displacement,1.8,2,Low,Stable,High,3.1,4,2.5,1.2,1.4,1,1.6,1.6,1.5,Europe,2024-10-22 00:00:00
40,Displacement from Russia-Ukraine conflict in Estonia,EST002,Estonia,EST,"Conflict,Displacement",1.2,2,Low,Stable,Very High,2.1,3.4,1.3,0.95,0.9,1,0.8,0.6,1,Europe,2024-10-29 00:00:00
41,Complex crisis in Ethiopia,ETH001,Ethiopia,ETH,"Displacement,Floods,Conflict",4.3,5,Very High,Stable,Very High,4.6,5,4.4,4.5,5,4,3.9,3.8,4,Africa,2024-10-31 00:00:00
42,International Displacement,ETH003,Ethiopia,ETH,Displacement,3.1,4,High,Stable,High,4,4.7,3.5,2.2,3.4,1,3.4,3.8,3,Africa,2024-10-31 00:00:00
43,Northern Ethiopia Conflict,ETH004,Ethiopia,ETH,"Conflict,Displacement",4.3,5,Very High,Increasing,High,4.3,2.9,4.8,4.45,4.9,4,3.9,3.8,4,Africa,2024-10-31 00:00:00
44,Drought in Ethiopia,ETH005,Ethiopia,ETH,Drought,4.2,5,Very High,Stable,High,4.1,4.5,3.8,4.5,5,4,3.9,3.8,4,Africa,2024-10-31 00:00:00
45,Mixed migration flows in Greece,GRC002,Greece,GRC,Displacement,2.1,3,Medium,Stable,High,1.9,0.6,2.4,2.55,2.1,3,1.6,1.7,1.5,Europe,2024-10-25 00:00:00
46,Complex crisis in Guatemala,GTM001,Guatemala,GTM,"Violence,Socio-political,Other seasonal event",3.5,4,High,Stable,High,3.4,4.4,2.8,3.75,4.5,3,3.3,3,3.5,Americas,2024-10-07 00:00:00
47,Complex crisis in Honduras,HND001,Honduras,HND,"Violence,Socio-political,Other seasonal event",3.4,4,High,Decreasing,High,3.2,4.2,2.6,4.05,4.1,4,2.4,2.8,2,Americas,2024-10-07 00:00:00
48,Complex crisis in Haiti,HTI001,Haiti,HTI,"Earthquake,Violence,Socio-political,Other seasonal event",4,4,High,Stable,High,3.7,4,3.6,4.3,4.6,4,3.8,3.5,4,Americas,2024-09-25 00:00:00
49,Displacement from Russia-Ukraine conflict in Hungary,HUN002,Hungary,HUN,"Conflict,Displacement",1.5,2,Low,Stable,Very High,2.6,4.2,1.4,1.15,1.3,1,1.1,1.2,1,Europe,2024-10-29 00:00:00
50,Papua Conflict,IDN002,Indonesia,IDN,"Socio-political,Violence,Conflict",2.5,3,Medium,Stable,High,2.9,2.1,3.3,1.85,1.7,2,3.1,2.6,3.5,Asia,2024-10-22 00:00:00
51,2024 Monsoon Floods in India,IND006,India,IND,Floods,2.2,3,Medium,-,Very High,2.3,1.7,2.5,1.75,1.5,2,2.8,2.5,3,Asia,2024-10-28 00:00:00
52,Afghan Refugees in Iran,IRN004,Iran,IRN,Displacement,3.5,4,High,Decreasing,Medium,3.6,2.7,4,3.7,4.4,3,3.1,3.6,2.5,Middle east,2024-10-28 00:00:00
53,Conflict  in Iraq,IRQ002,Iraq,IRQ,"Conflict,Socio-political,Violence",2.8,3,Medium,Stable,Very High,4,4.7,3.6,1.8,1.6,2,3,3.5,2.5,Middle east,2024-10-29 00:00:00
54,Syrian and Palestinian refugees in iraq,IRQ003,Iraq,IRQ,Displacement,2.2,3,Medium,Increasing,High,2.9,1.6,3.4,1.45,0.9,2,2.8,3.5,2,Middle east,2024-10-29 00:00:00
55,Mixed migration flows in Italy,ITA002,Italy,ITA,Displacement,2.2,3,Medium,Stable,High,3.3,3.9,3,1.6,2.2,1,2,1.5,2.5,Europe,2024-10-22 00:00:00
56,Syrian refugees in Jordan,JOR002,Jordan,JOR,Displacement,2.8,3,Medium,Stable,High,2.8,3.1,2.6,3.3,3.6,3,2,2.5,1.5,Middle east,2024-10-29 00:00:00
57,Refugee situation in Kenya,KEN002,Kenya,KEN,Displacement,2.9,3,Medium,Stable,High,2.3,0.9,2.8,3.1,3.2,3,2.9,3.3,2.5,Africa,2024-10-28 00:00:00
58,Drought in Kenya,KEN003,Kenya,KEN,Drought,3.4,4,High,Stable,Very High,4,4.3,3.9,3.35,3.7,3,2.9,3.3,2.5,Africa,2024-10-28 00:00:00
59,Typhoon Yagi in Laos,LAO004,Laos,LAO,"Cyclone,Floods",2,2,Low,-,Very High,1.4,2.3,0.9,1.8,1.6,2,2.9,2.8,3,Asia,2024-09-30 00:00:00
60,Syrian refugees in Lebanon,LBN002,Lebanon,LBN,Displacement,3.3,4,High,Increasing,Very High,3.8,3.6,3.9,3.3,3.6,3,2.8,3.1,2.5,Middle east,2024-10-29 00:00:00
61,Complex crisis in Lebanon,LBN006,Lebanon,LBN,"Socio-political,Violence,Tecnological Disaster,Displacement",3.9,4,High,Increasing,Very High,4.3,3.6,4.6,4.15,4.3,4,3.1,3.1,3,Middle east,2024-10-29 00:00:00
62,Complex crisis in Libya,LBY001,Libya,LBY,"Conflict,Displacement,Socio-political",4,4,High,Stable,Very High,4.5,4.6,4.4,3.7,3.4,4,4,3.3,4.5,Africa,2024-10-22 00:00:00
63,Mixed migration flows in Libya,LBY002,Libya,LBY,Displacement,3.5,4,High,Stable,High,3.9,4.6,3.4,3.1,3.2,3,3.7,3.3,4,Africa,2024-10-22 00:00:00
64,Refugees from Sudan in Libya,LBY004,Libya,LBY,Conflict,2.6,3,Medium,Increasing,Very High,2.4,2.8,2.2,2.6,2.2,3,2.9,3.3,2.5,Africa,2024-10-22 00:00:00
65,2024 Inter-monsoon Floods in Sri Lanka,LKA005,Sri Lanka,LKA,Floods,1.3,2,Low,-,Very High,0.9,1.6,0.5,1,1,1,2.1,2.1,2,Asia,2024-10-31 00:00:00
66,Food security crisis in Lesotho,LSO004,Lesotho,LSO,Drought,2.2,3,Medium,-,High,2.2,3,1.7,2.85,2.7,3,1,1.4,0.5,Africa,2024-10-28 00:00:00
67,Displacement from Russia-Ukraine conflict in Lithuania,LTU002,Lithuania,LTU,"Conflict,Displacement",1.3,2,Low,Stable,Very High,2.3,3.7,1.3,1.05,1.1,1,0.9,0.8,1,Europe,2024-10-29 00:00:00
68,Displacement from Russia-Ukraine conflict in Latvia,LVA002,Latvia,LVA,"Conflict,Displacement",1.3,2,Low,Stable,Very High,2.2,3.5,1.4,1.05,1.1,1,1,1,1,Europe,2024-10-29 00:00:00
69,Mixed migration flows in Morocco,MAR002,Morocco,MAR,Displacement,2.1,3,Medium,Decreasing,High,3.5,4.9,2.3,0.7,0.4,1,2.8,3,2.5,Africa,2024-10-22 00:00:00
70,DIsplacement from Russia-Ukraine conflict in Moldova,MDA002,Moldova,MDA,"Displacement,Conflict",1.6,2,Low,Stable,Very High,2.3,3.5,1.6,1.4,1.8,1,1.4,1.7,1,Europe,2024-10-29 00:00:00
71,Drought in Madagascar,MDG002,Madagascar,MDG,Drought,2.5,3,Medium,Stable,Very High,2.4,2.5,2.3,3.25,3.5,3,1.5,2,1,Africa,2024-10-31 00:00:00
72,Cyclone Gamane in Madagascar,MDG009,Madagascar,MDG,"Cyclone,Floods",2.1,3,Medium,Decreasing,Very High,1.6,1.7,1.5,2,2,2,2.5,2,3,Africa,2024-10-31 00:00:00
73,Criminal Violence in Mexico,MEX002,Mexico,MEX,"Violence,Displacement",x,x,x,-,High,3.8,4.5,3.4,x,x,x,3.5,3,4,Americas,2024-09-27 00:00:00
74,Mixed Migration in Mexico,MEX003,Mexico,MEX,Displacement,2.4,3,Medium,Stable,High,3.1,3.8,2.7,1.45,1.9,1,3,3,3,Americas,2024-09-27 00:00:00
75,Complex crisis in Mali,MLI001,Mali,MLI,Conflict,4.2,5,Very High,Stable,Very High,4.4,4.9,4.1,4.4,4.8,4,3.7,3.4,4,Africa,2024-10-30 00:00:00
76,Rakhine Conflict,MMR002,Myanmar,MMR,Conflict,4.1,5,Very High,Increasing,Very High,3.9,1.2,4.6,3.85,3.7,4,4.6,4.1,5,Asia,2024-10-22 00:00:00
77,Kachin and Shan Conflict,MMR003,Myanmar,MMR,Conflict,3.9,4,High,Increasing,Very High,3.5,1.9,4.1,3.9,3.8,4,4.1,4.1,4,Asia,2024-10-22 00:00:00
78,Post-coup conflict in Myanmar,MMR004,Myanmar,MMR,"Violence,Socio-political,Conflict",4.6,5,Very High,Stable,Very High,4.7,4.9,4.6,4.5,5,4,4.6,4.1,5,Asia,2024-10-22 00:00:00
79,2024 Monsoon Floods,MMR006,Myanmar,MMR,Floods,3,3,Medium,-,Very High,3.5,3.7,3.4,1.75,1.5,2,4.3,4.1,4.5,Asia,2024-10-22 00:00:00
80,Cabo Delgado Islamist Insurgency,MOZ004,Mozambique,MOZ,"Conflict,Displacement",3.6,4,High,Stable,High,3.5,2.7,3.8,3.85,3.7,4,3.2,3.4,3,Africa,2024-10-29 00:00:00
81,2024 Rainy and Cyclone season,MOZ011,Mozambique,MOZ,"Floods,Displacement,Cyclone",3.2,4,High,Stable,Very High,4.3,5,3.9,2.45,2.9,2,3.2,3.4,3,Africa,2024-10-29 00:00:00
82,Drought in Mozambique,MOZ012,Mozambique,MOZ,Drought,3.4,4,High,Increasing,High,3.3,3.6,3.2,3.6,4.2,3,3,3.4,2.5,Africa,2024-08-16 00:00:00
83,Refugees from Mali in Mauritania,MRT002,Mauritania,MRT,Displacement,2.2,3,Medium,Increasing,Very High,2,2,2,2.45,1.9,3,2,2.4,1.5,Africa,2024-10-22 00:00:00
84,Food Security in Mauritania,MRT003,Mauritania,MRT,"Drought,Floods",2.6,3,Medium,Increasing,High,2.7,4.3,1.4,2.8,2.6,3,2.2,2.4,2,Africa,2024-10-22 00:00:00
85,Complex crisis in Malawi,MWI002,Malawi,MWI,"Drought,Socio-political,Cyclone",3.5,4,High,Decreasing,Very High,3.8,4.5,3.4,3.95,4.9,3,2.4,2.3,2.5,Africa,2024-10-29 00:00:00
86,International Refugees in Malaysia,MYS001,Malaysia,MYS,Displacement,2.2,3,Medium,Stable,Very High,2.9,1.8,3.4,2.05,2.1,2,1.9,1.7,2,Asia,2024-10-22 00:00:00
87,Food Security Crisis in Namibia,NAM002,Namibia,NAM,Drought,2.6,3,Medium,Increasing,Medium,2.9,4.3,1.9,3.25,3.5,3,1.3,1.5,1,Africa,2024-10-29 00:00:00
88,Lake Chad basin crisis in Niger,NER002,Niger,NER,Conflict,3.3,4,High,Stable,Very High,3.2,1.2,3.9,3.6,3.2,4,2.9,2.8,3,Africa,2024-10-30 00:00:00
89,Mali/Burkina Faso conflict,NER003,Niger,NER,Conflict,3.5,4,High,Stable,Very High,3.2,2.4,3.6,3.9,3.8,4,2.9,2.8,3,Africa,2024-10-30 00:00:00
90,Nigerian Refugees,NER004,Niger,NER,Displacement,3,3,Medium,Increasing,Very High,1.9,1.5,2.1,3.6,3.2,4,2.7,2.8,2.5,Africa,2024-10-30 00:00:00
91,Complex crisis in Niger,NER006,Niger,NER,"Conflict,Displacement,Drought,Floods,Food Security,Violence",3.6,4,High,Increasing,High,4.1,4.9,3.5,3.7,4.4,3,3.2,2.8,3.5,Africa,2024-08-27 00:00:00
92,Complex crisis in Nigeria,NGA001,Nigeria,NGA,"Conflict,Displacement,Violence,Epidemic,Floods",4.1,5,Very High,Increasing,High,4.2,4.8,3.8,4,5,3,4.1,3.5,4.5,Africa,2024-10-28 00:00:00
93,Middle belt conflict,NGA003,Nigeria,NGA,"Violence,Conflict",3.2,4,High,Stable,Very High,3,2.2,3.3,3.6,4.2,3,2.8,3.5,2,Africa,2024-10-28 00:00:00
94,Lake Chad basin crisis in Nigeria,NGA004,Nigeria,NGA,"Conflict,Displacement",4.2,5,Very High,Increasing,High,4.1,2.2,4.7,4.4,4.8,4,3.8,3.5,4,Africa,2024-10-28 00:00:00
95,Northwest Banditry,NGA007,Nigeria,NGA,"Violence,Displacement",3.6,4,High,Stable,High,3.6,2.8,3.9,4,5,3,3,3.5,2.5,Africa,2024-10-28 00:00:00
96,Cameroonian Refugees in Nigeria,NGA008,Nigeria,NGA,Displacement,2,2,Low,Stable,High,2.4,2,2.6,1.35,1.7,1,2.8,3.5,2,Africa,2024-10-28 00:00:00
97,Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,NIC,Socio-political,x,x,x,-,High,3.1,4.1,2.5,x,x,x,2,2.8,1,Americas,2024-10-07 00:00:00
98,2024 Monsoon Floods in Nepal,NPL004,Nepal,NPL,Floods,2.5,3,Medium,-,Very High,3,3.8,2.5,2.05,2.1,2,2.6,2.6,2.5,Asia,2024-10-30 00:00:00
99,Complex crisis in Pakistan,PAK001,Pakistan,PAK,"Displacement,Conflict",3.8,4,High,Decreasing,Very High,4,5,3.2,4,5,3,3.4,3.3,3.5,Asia,2024-10-28 00:00:00
100,Kashmir conflict in Pakistan,PAK004,Pakistan,PAK,Conflict,x,x,x,-,Medium,0.9,1,0.9,x,x,x,3.4,3.3,3.5,Asia,2024-10-28 00:00:00
101,Floods in Pakistan ,PAK005,Pakistan,PAK,Other seasonal event,3.6,4,High,Stable,Very High,4.1,3.8,4.2,4,5,3,2.7,3.3,2,Asia,2024-10-28 00:00:00
102,Venezuela displacement in Panama,PAN002,Panama,PAN,Displacement,1.9,2,Low,Increasing,Very High,2,2.6,1.7,1.95,0.9,3,1.7,1.4,2,Americas,2024-10-07 00:00:00
103,Venezuela displacement in Peru,PER002,Peru,PER,Displacement,2.8,3,Medium,Decreasing,Very High,3.4,4,3,2.7,3.4,2,2.6,2.2,3,Americas,2024-09-25 00:00:00
104,Mindanao conflict,PHL003,Philippines,PHL,"Conflict,Violence",2.1,3,Medium,Decreasing,High,2.6,2.7,2.6,1.35,1.7,1,2.9,2.8,3,Asia,2024-10-30 00:00:00
105,2024 Southwest Monsoon,PHL015,Philippines,PHL,"Cyclone,Floods",2.2,3,Medium,-,Very High,2.5,3.5,1.9,1.65,1.3,2,2.7,2.8,2.5,Asia,2024-10-30 00:00:00
106,Typhoon Trami in Philippines,PHL016,Philippines,PHL,Cyclone,2.7,3,Medium,-,Very High,2.9,3.4,2.6,2.5,3,2,2.7,2.8,2.5,Asia,2024-10-30 00:00:00
107,Highlands Violence,PNG003,Papua New Guinea,PNG,Violence,2,2,Low,Stable,High,2.2,1.9,2.3,1.35,0.7,2,2.8,2.6,3,Pacific,2024-10-22 00:00:00
108,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,PNG,Floods,1.8,2,Low,-,Very High,0.9,1,0.8,1.95,0.9,3,2.3,2.6,2,Pacific,2024-10-22 00:00:00
109,Displacement from Russia-Ukraine conflict in Poland,POL002,Poland,POL,"Displacement,Conflict",2.1,3,Medium,Stable,Very High,3.4,4.8,2.3,2.15,3.3,1,0.9,0.8,1,Europe,2024-10-29 00:00:00
110,Complex crisis in DPRK,PRK001,DPRK,PRK,"Socio-political,Floods,Other seasonal event,Food Security",3.8,4,High,Increasing,High,4,4.6,3.7,4.5,5,4,2.5,3,2,Asia,2024-10-28 00:00:00
111,Conflict in West Bank,PSE003,Palestine,PSE,"Conflict,Displacement,Socio-political,Violence",3.5,4,High,Decreasing,Very High,3.8,2.7,4.2,3.15,3.3,3,3.7,2.5,4.5,Middle east,2024-10-30 00:00:00
112,Conflict in Gaza,PSE004,Palestine,PSE,"Conflict,Displacement,Socio-political,Violence",4.2,5,Very High,Stable,Very High,3.8,0.9,4.6,4.45,3.9,5,4.1,2.5,5,Middle east,2024-10-30 00:00:00
113,Lake Chad basin regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",0,4.2,5,Very High,Stable,High,4.2,3.8,4.4,4.5,5,4,3.8,3.6,4,"Africa,Africa,Africa,Africa",2024-10-30 00:00:00
114,Venezuela Regional Crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",0,3.7,4,High,Decreasing,Medium,3.6,3.4,3.7,4,5,3,3.4,2.7,4,"Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas",2024-06-18 00:00:00
115,Syrian Regional Crisis,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",0,4,4,High,Stable,Medium,3.9,3.6,4.1,4,5,3,4.1,3.5,4.5,"Middle east,Middle east,Middle east,Africa,Middle east,Middle east",2024-06-30 00:00:00
116,Eastern Mediterranean Route ,REG006,"Türkiye,Greece","TUR,GRC",0,2.4,3,Medium,Decreasing,High,2.4,2.3,2.4,2.35,2.7,2,2.6,2.2,3,"Middle east,Europe",2024-06-30 00:00:00
117,Central Mediterranean Route,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",0,3,3,Medium,Stable,High,4.1,5,3.5,2.3,3.6,1,3.1,2.6,3.5,"Africa,Africa,Africa,Europe",2024-09-29 00:00:00
118,Western Mediterranean Route,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",0,2.6,3,Medium,Stable,High,3.8,5,2.9,1.8,2.6,1,2.5,2.5,2.5,"Africa,Africa,Europe",2024-09-29 00:00:00
119,Rohingya Regional Crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",0,4.1,5,Very High,Stable,Very High,3.9,1.3,4.6,4.1,4.2,4,4.4,3.6,5,"Asia,Asia",2024-09-25 00:00:00
120,Southern Africa Regional Food Security Crisis,REG012,"Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",0,3.8,4,High,Stable,Very High,3.8,4.2,3.6,4,5,3,3.5,2.8,4,"Africa,Africa,Africa,Africa,Africa,Africa,Africa",2024-09-30 00:00:00
121,Nagorno-Karabakh Conflict,REG013,"Armenia,Azerbaijan","ARM,AZE",0,2.3,3,Medium,Decreasing,High,2,1.7,2.2,2.5,2,3,2.1,2.2,2,"Middle east,Middle east",2024-06-30 00:00:00
122,Eastern Africa Regional Drought Crisis,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",Drought,4.4,5,Very High,Stable,High,4.2,4.6,3.9,4.5,5,4,4.5,3.7,5,"Africa,Africa,Africa",2024-10-28 00:00:00
123,Turkiye / Syria earthquake,REG015,"Türkiye,Syria","TUR,SYR",Earthquake,3.6,4,High,Stable,Medium,3.4,2.6,3.7,3.6,4.2,3,3.9,3,4.5,"Middle east,Middle east",2024-06-19 00:00:00
124,Displacement from Russia-Ukraine conflict in Romania,ROU002,Romania,ROU,"Conflict,Displacement",1.8,2,Low,Stable,Very High,3,4.6,1.7,1.5,2,1,1.1,1.2,1,Europe,2024-10-29 00:00:00
125,Displacement from Russia-Ukraine conflict in Russia,RUS002,Russia,RUS,"Conflict,Displacement",2.8,3,Medium,Stable,High,3.6,5,2.3,2.25,3.5,1,2.9,3.3,2.5,Europe,2024-10-29 00:00:00
