,Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
23,Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,34513,5179000,1185000,775000,x,x,465,x,x,,5.2,3994000,0,379000,805000,0,3,x,x,0.0,2.0,0.0,2.0,0.0,3.0,2.0,1.0,3.0
24,Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,88019,12662000,1820000,1316000,x,x,661,x,x,,x,10842000,0,1492000,328000,0,4,x,377500,1.0,2.0,2.0,2.0,0.0,3.0,3.0,1.0,3.0
25,CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,231318,5282000,376000,270000,0,x,8,0,0,,x,4906000,0,376000,0,0,3,x,x,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
26,Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,2344860,113600000,25400000,10472000,1,x,2307,x,x,,1700,88200000,0,10414000,10414000,4572000,4,x,x,0.0,3.0,2.0,3.0,0.0,2.0,3.0,2.0,3.0
27,Complex crisis in Congo,Conflict,COG001,Congo,COG,342000,5970000,525000,231000,x,x,1,x,x,,x,5445000,0,525000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
28,Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,1109500,52700000,20176000,6922000,x,x,743,x,x,,x,32524000,9776000,6080000,3800000,520000,4,x,x,1.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0
29,Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,34507,31005000,14976000,3850000,x,x,3,x,x,,x,16028000,12876000,1155000,840000,105000,3,x,x,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0
30,Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,1003,2451000,235000,235000,x,x,100,x,x,,x,2215000,x,235000,x,x,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,Displacement from Russia-Ukraine conflict in Czechia,"Conflict,Displacement",CZE002,Czech Republic,CZE,77187,11052000,380000,380000,x,x,0,0,0,,x,10672000,0,380000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,23180,1182000,792000,32000,x,x,48,x,x,,x,390000,475000,264000,53000,0,5,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
33,Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,7300,891000,32000,32000,x,x,48,x,x,,x,859000,0,32000,x,x,1,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
34,Drought in Djibouti,Drought,DJI003,Djibouti,DJI,23180,1182000,760000,0,x,x,0,x,x,,x,422000,475000,232000,53000,0,5,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
35,Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,47531,11333000,140000,140000,x,x,x,x,x,,x,11192000,23000,117000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,2381741,46998000,261000,261000,x,x,954,x,x,,x,46737000,0,261000,x,x,4,x,x,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
37,Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,159000,223000,174000,174000,x,x,13,x,x,,x,49000,0,174000,x,x,2,0,0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
38,Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,2381741,46998000,435000,435000,x,x,967,x,x,,x,46563000,0,435000,x,x,3,x,x,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0
39,Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,248360,18190000,7592000,445000,x,x,0,x,x,,x,10599000,6862000,730000,x,x,3,x,x,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
40,Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,91071.77,117095000,793000,793000,x,x,0,x,x,,x,116302000,0,793000,x,x,1,x,x,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
41,Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,121041,3749000,1100000,673000,0,x,0,x,x,,x,2649000,0,1100000,x,x,5,x,x,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0
42,Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,100000,47904000,69000,69000,x,x,87,x,x,,x,47835000,0,69000,x,x,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,42750,1385000,36000,36000,x,x,0,0,0,,x,1349000,0,36000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,1129935,133049000,133049000,5567000,x,22889,6177,x,x,,4500000,0,111689000,9874000,11486000,0,4,x,10000,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
45,International Displacement,Displacement,ETH003,Ethiopia,ETH,1128571,96624000,1070000,1070000,x,x,x,x,x,,x,95554000,0,1070000,x,x,2,0,0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0
46,Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,303528,30649000,30649000,2851000,x,506558,3039,,,,,0,21546000,3482000,5621000,0,4,0,210000,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0
47,Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,1000676,94624000,94624000,544000,x,22889,24,x,x,,6850000,0,75118000,8083000,11423000,0,4,x,x,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0
48,Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,10794,728000,192000,192000,0,x,9,x,x,,x,537000,0,192000,x,x,1,x,x,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0
49,Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,107160,17600000,9856000,242000,x,14299,130,x,x,,x,7744000,4556000,4948000,352000,0,5,x,x,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
50,Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,111890,9745000,5533000,10000,x,x,247,x,x,,x,4212000,2733000,1428000,1372000,0,2,x,x,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0
51,Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,27560,11700000,8658000,578000,x,x,531,x,x,,x,3042000,3158000,3855000,1645000,0,5,x,x,1.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,3.0
52,Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,93013,9704000,61000,61000,x,x,0,0,0,,x,9643000,0,61000,0,0,2,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Papua Conflict,"Socio-political,Violence,Conflict",IDN002,Indonesia,IDN,412214,5602000,5602000,100000,x,x,50,x,x,,x,0,5502000,100000,x,x,4,x,x,1.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0
54,2024 Monsoon Floods in India,Floods,IND006,India,IND,47040,17293000,1040000,79000,9,x,105,53195,9608,,x,16253000,961000,79000,x,x,4,x,x,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0
55,Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,239561,24823000,4488000,4488000,x,x,x,x,x,,x,20335000,0,3988000,500000,0,2,x,x,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0
56,Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,383310,44993000,7464000,6252000,x,x,466,x,x,,133900,37529000,7338000,93000,33000,0,4,1500000,300000,1.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0
57,Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,383310,44691000,5950000,5950000,x,x,466,x,x,,133900,38740000,5861000,60000,30000,0,2,1500000,300000,1.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0
58,Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,36000,6473000,1513000,302000,x,x,x,x,0,,x,4960000,1477000,33000,3000,0,2,x,0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
59,Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,41055,59284000,210000,210000,x,x,867,x,0,,x,59074000,0,210000,x,x,3,x,x,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
60,Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,40463,9280000,1840000,1320000,x,x,0,x,x,,x,7440000,488000,1325000,26000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
61,Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,543630,30150000,29591000,1134000,x,873091,664,0,0,,0,559000,27054000,2439000,98000,0,3,0,0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0
62,Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,38244,1363000,804000,804000,0,940000,0,0,0,,0,559000,0,804000,x,x,2,0,x,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0
63,Drought in Kenya,Drought,KEN003,Kenya,KEN,543630,28786000,28786000,330000,x,873091,315,0,0,,0,0,27054000,1635000,98000,0,3,0,0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0
64,Typhoon Yagi in Laos,"Cyclone,Floods",LAO004,Laos,LAO,99096,3181000,200000,x,x,x,4,121,0,,x,2981000,108000,92000,x,x,4,x,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
65,Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,10450,5700000,5700000,1530000,x,0,1,x,x,,x,0,4170000,1490000,41000,0,2,x,x,0.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0
66,Complex crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster,Displacement",LBN006,Lebanon,LBN,10450,5700000,5700000,833000,11569,x,1520,20000,4000,,x,0,1800000,2982000,918000,x,3,150000,x,0.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0
67,Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,1759540,7403000,7403000,876000,x,x,877,x,x,,x,0,6238000,289000,876000,0,5,x,x,2.0,3.0,2.0,0.0,2.0,3.0,0.0,1.0,3.0
68,Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,1759540,7403000,831000,831000,x,x,867,x,x,,x,6572000,0,831000,x,x,4,79000,229000,2.0,3.0,2.0,0.0,2.0,3.0,0.0,1.0,2.0
69,Refugees from Sudan in Libya,Conflict,LBY004,Libya,LBY,868682,2955000,195000,195000,x,x,10,x,x,,x,2760000,0,85000,110000,x,2,x,x,2.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,2.0
70,2024 Inter-monsoon Floods in Sri Lanka,Floods,LKA005,Sri Lanka,LKA,6756,7005000,155000,0,x,x,2,123,1,,x,6850000,114000,41000,x,x,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
71,Food security crisis in Lesotho,Drought,LSO004,Lesotho,LSO,30355,1505000,946000,x,x,x,2,x,x,,x,560000,543000,374000,29000,0,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,62610,2878000,46000,46000,x,x,0,0,0,,x,2832000,0,46000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,62230,1926000,47000,47000,x,x,0,0,0,,x,1879000,0,47000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,446300,38186000,18000,18000,x,x,96,0,0,,0,38168000,0,18000,x,x,4,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
75,DIsplacement from Russia-Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,32970,2663000,124000,124000,x,x,0,0,0,,x,2539000,0,124000,0,0,2,x,x,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,238400,14934000,6895000,31000,4,226651,19,27548,11238,,481,8040000,5403000,1492000,0,0,5,x,x,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
77,Drought in Madagascar,Drought,MDG002,Madagascar,MDG,149752,10270000,6360000,8000,x,196451,x,x,x,,x,3910000,5036000,1324000,0,0,1,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
78,Cyclone Gamane in Madagascar,"Cyclone,Floods",MDG009,Madagascar,MDG,88648,4665000,535000,23000,4,x,19,938,x,,x,4130000,367000,168000,x,x,5,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
79,Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,1943950,128456000,614000,531000,x,x,3864,x,x,,x,127841000,472000,142000,x,x,5,x,x,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0
80,Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,1943950,70531000,386000,392000,x,x,3774,x,x,,x,70145000,386000,x,x,x,5,x,x,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0
81,Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,1159951,57925000,228000,139000,x,x,90,x,x,,x,57696000,93000,142000,x,x,3,x,x,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0
82,Complex crisis in Mali,Conflict,MLI001,Mali,MLI,1240190,22395000,7100000,1690000,2,44056,2149,x,1,,x,15295000,0,5467000,1491000,142000,4,x,x,0.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0
83,Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,676577,55960000,55960000,5302000,360,x,9438,65000,x,,x,0,37294000,13553000,5113000,x,5,x,x,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0
84,Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,36778,3472000,3472000,1317000,x,x,2992,x,x,,x,0,1794000,436000,1242000,x,5,x,x,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0
85,Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,149601,4873000,4873000,234000,x,x,1235,x,x,,x,0,3065000,1429000,379000,x,4,x,x,2.0,3.0,2.0,0.0,2.0,3.0,3.0,2.0,2.0
86,Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,676577,55960000,55960000,3321000,x,x,4851,x,x,,x,0,40855000,11613000,3492000,x,5,x,x,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0
87,2024 Monsoon Floods,Floods,MMR006,Myanmar,MMR,640558,7100000,1280000,430000,360,x,360,65000,x,,x,5820000,1205000,75000,x,x,4,x,x,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0
88,Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,786380,34923000,34923000,716000,202,3342,303,6661,1773,,x,0,29369000,3876000,1678000,0,4,x,x,1.0,2.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0
89,Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,280615,11584000,11584000,576000,x,x,157,x,x,,x,0,9884000,540000,1160000,x,3,x,x,1.0,2.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0
90,2024 Rainy and Cyclone season,"Floods,Displacement,Cyclone",MOZ011,Mozambique,MOZ,786380,34923000,34923000,139000,202,x,146,6661,1773,,x,0,34369000,546000,8000,x,3,x,x,1.0,2.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0
91,Drought in Mozambique,Drought,MOZ012,Mozambique,MOZ,477989.66,17954000,17954000,0,x,3342,x,x,x,,x,0,14654000,2790000,510000,0,4,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
92,Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,206000,2246000,141000,141000,0,x,5,0,0,,x,2105000,0,141000,x,x,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
93,Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,1030700,4582000,1388000,x,x,136000,5,x,x,,x,3194000,1023000,358000,7000,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
94,Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,94080,21817000,9000000,115000,x,246,1774,260681,120394,,507,12817000,0,8584000,416000,0,3,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
95,International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,9206,11231000,11231000,192000,x,,0,,,,,0,11039000,192000,x,x,2,,,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
96,Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,823290,3022000,2046000,0,0,0,0,,,,,977000,790000,1156000,100000,0,1,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
97,Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,156906,840000,820000,337000,141012,x,108,x,x,,x,20000,0,532000,288000,0,3,x,x,1.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0,2.0
98,Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,210622,9014000,1903000,509000,x,x,787,x,x,,x,7112000,0,1178000,725000,0,3,x,x,1.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,3.0
99,Nigerian Refugees,Displacement,NER004,Niger,NER,41796,5057000,796000,100000,x,x,19,0,0,,0,4261000,0,532000,264000,0,3,x,x,1.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0
100,Complex crisis in Niger,"Conflict,Displacement,Drought,Floods,Food Security,Violence",NER006,Niger,NER,1186408,27139000,9900000,944000,x,x,792,x,x,,x,17239000,5600000,3023000,1277000,x,4,x,x,1.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,3.0
101,Complex crisis in Nigeria,"Conflict,Displacement,Violence,Epidemic,Floods",NGA001,Nigeria,NGA,910770,200346000,114443000,6860000,x,4997235,4693,x,x,,x,85903000,82685000,30759000,999000,0,4,x,x,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0
102,Middle belt conflict,"Violence,Conflict",NGA003,Nigeria,NGA,142964,18515000,10738000,586000,x,x,552,x,x,,x,7777000,7607000,3105000,26000,0,2,x,x,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0
103,Lake Chad basin crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,157918,16100000,16100000,4657000,x,4800000,1274,x,x,,x,0,8200000,5600000,2100000,200000,3,x,x,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0
