,INFORM Severity Index - all crises. Release: April 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
10,Venezuela displacement in Brazil,BRA002,Brazil,BRA,Displacement,2.7,3,Medium,Increasing,Very High,3.8,4.4,3.5,1.75,2.5,1,3,2.9,3,Americas,2023-03-30 00:00:00
11,Floods in rainy season 2022,BRA003,Brazil,BRA,Floods,1.6,2,Low,Decreasing,High,2,2.5,1.7,0.5,0,1,3,2.9,3,Americas,2023-03-30 00:00:00
12,Complex crisis in CAR,CAF001,CAR,CAF,"Conflict,Displacement",4.1,5,Very High,Stable,High,4.3,4.4,4.2,4.1,4.2,4,4,3.9,4,Africa,2023-04-03 00:00:00
13,Venezuela displacement in Chile,CHL002,Chile,CHL,Displacement,2.5,3,Medium,Stable,Very High,3.7,4.8,2.8,2.4,2.8,2,1.7,1.3,2,Americas,2023-02-28 00:00:00
14,Boko Haram in Cameroon,CMR002,Cameroon,CMR,Conflict,3.4,4,High,Decreasing,High,2.8,1.4,3.4,3.75,3.5,4,3.3,3.6,3,Africa,2023-04-03 00:00:00
15,Anglophone Crisis in Cameroon,CMR003,Cameroon,CMR,Conflict,3.4,4,High,Stable,High,3.2,2.6,3.4,3.4,3.8,3,3.6,3.6,3.5,Africa,2023-04-03 00:00:00
16,CAR refugees in Cameroon,CMR004,Cameroon,CMR,"Conflict,Displacement",2.9,3,Medium,Stable,Medium,2.5,2.4,2.5,2.9,2.8,3,3.1,3.6,2.5,Africa,2023-04-03 00:00:00
17,Complex crisis in DRC,COD001,DRC,COD,"Conflict,Displacement,Socio-political",4.5,5,Very High,Increasing,High,4.5,5,4.2,4.5,5,4,4.4,4.3,4.5,Africa,2023-04-03 00:00:00
18,Complex crisis in Congo,COG001,Congo,COG,Conflict,2.2,3,Medium,Increasing,High,2.8,3.1,2.6,2,1,3,2.1,2.9,1,Africa,2023-04-27 00:00:00
19,Complex crisis in Colombia,COL001,Colombia,COL,"Socio-political,Conflict,Violence,Floods,Displacement",4.1,5,Very High,Increasing,Very High,4.5,5,4.1,4.4,4.8,4,3.3,3.1,3.5,Americas,2023-03-29 00:00:00
20,Venezuela displacement in Colombia,COL002,Colombia,COL,Displacement,3.7,4,High,Stable,High,4.2,4.7,3.9,3.8,4.6,3,3.3,3.1,3.5,Americas,2023-04-10 00:00:00
21,Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,CRI,Displacement,2.1,3,Medium,Stable,High,2.4,0.7,3.1,2.6,2.2,3,1.2,0.9,1.5,Americas,2023-04-30 00:00:00
22,Mixed migration in Djibouti,DJI002,Djibouti,DJI,Displacement,2,2,Low,Stable,Very High,2,1.5,2.2,2.05,1.1,3,1.9,2.7,1,Africa,2023-03-28 00:00:00
23,Drought in Djibouti,DJI003,Djibouti,DJI,Drought,2.7,3,Medium,Stable,Medium,2.6,3.2,2.3,2.55,2.1,3,2.9,2.7,3,Africa,2023-03-28 00:00:00
24,Venezuela displacement in Dominican Republic,DOM002,Dominican Republic,DOM,Displacement,2.2,3,Medium,Stable,High,3.6,4,3.3,1.85,1.7,2,1.5,1.4,1.5,Americas,2023-04-26 00:00:00
25,Mixed migration flows in Algeria,DZA002,Algeria,DZA,Displacement,2.6,3,Medium,Stable,High,3.8,5,2.9,1.7,2.4,1,2.7,2.9,2.5,Africa,2023-04-27 00:00:00
26,Sahrawi refugees in Algeria,DZA003,Algeria,DZA,Displacement,2.2,3,Medium,Stable,Medium,1.4,1.1,1.6,2.3,1.6,3,2.5,2.9,2,Africa,2023-04-27 00:00:00
27,Venezuela displacement in Ecuador,ECU002,Ecuador,ECU,Displacement,2.8,3,Medium,Stable,Very High,3.6,4.6,2.8,2.6,3.2,2,2.4,2.3,2.5,Americas,2023-02-28 00:00:00
28,Syrian Refugee Crisis in Egypt,EGY002,Egypt,EGY,Displacement,1.7,2,Low,Decreasing,High,1.8,2,1.7,1.45,1.9,1,2.1,2.7,1.5,Africa,2023-04-27 00:00:00
29,Complex crisis in Eritrea,ERI001,Eritrea,ERI,"Socio-political,Displacement",3.5,4,High,Stable,High,2.9,3.8,2.4,3.2,3.4,3,4.3,3.3,5,Africa,2023-02-28 00:00:00
30,Mixed migration flows in spain,ESP002,Spain,ESP,Displacement,1.8,2,Low,Stable,Very High,2.6,2.3,2.8,1.45,1.9,1,1.6,1.7,1.5,Europe,2023-04-27 00:00:00
31,Complex crisis in Ethiopia,ETH001,Ethiopia,ETH,"Displacement,Floods,Conflict",4.3,5,Very High,Increasing,Very High,4.2,5,3.7,4.5,5,4,4.1,3.7,4.5,Africa,2023-04-30 00:00:00
32,International Displacement,ETH003,Ethiopia,ETH,Displacement,3.2,4,High,Stable,High,3.9,5,3,2.6,3.2,2,3.6,3.7,3.5,Africa,2023-04-30 00:00:00
33,Northern Ethiopia Conflict,ETH004,Ethiopia,ETH,"Conflict,Displacement",4.2,5,Very High,Stable,Very High,3.8,2.9,4.2,4.5,5,4,4.1,3.7,4.5,Africa,2023-04-30 00:00:00
34,Drought in Ethiopia,ETH005,Ethiopia,ETH,Drought,3.7,4,High,Decreasing,Very High,3.2,4,2.7,4,5,3,3.6,3.7,3.5,Africa,2023-04-30 00:00:00
35,Mixed migration flows in Greece,GRC002,Greece,GRC,Displacement,1.6,2,Low,Increasing,High,2.2,0.3,2.9,1.25,0.5,2,1.7,1.8,1.5,Europe,2023-04-25 00:00:00
36,Complex crisis in Guatemala,GTM001,Guatemala,GTM,"Violence,Socio-political,Other seasonal event",3.5,4,High,Stable,High,3.7,4.4,3.2,3.75,4.5,3,3.1,3.2,3,Americas,2023-02-21 00:00:00
37,Complex crisis in Honduras,HND001,Honduras,HND,"Violence,Socio-political,Other seasonal event,Cyclone",3.4,4,High,Increasing,High,3.6,4.2,3.3,3.6,4.2,3,2.8,3,2.5,Americas,2023-02-21 00:00:00
38,Complex crisis in Haiti,HTI001,Haiti,HTI,"Earthquake,Violence,Socio-political,Other seasonal event",4.2,5,Very High,Stable,Very High,3.9,4,3.9,4.7,4.4,5,3.6,3.2,4,Americas,2023-03-28 00:00:00
39,Nippes Earthquake ,HTI002,Haiti,HTI,Earthquake,2.9,3,Medium,Stable,Very High,2.6,2.4,2.7,3,3,3,3.1,3.2,3,Americas,2023-03-28 00:00:00
40,Displacement from Ukraine conflict in Hungary,HUN002,Hungary,HUN,"Conflict,Displacement",1.5,2,Low,Decreasing,Very High,1,0.4,1.3,1.95,0.9,3,1.2,1.4,1,Europe,2023-04-26 00:00:00
41,Papua Conflict,IDN002,Indonesia,IDN,"Socio-political,Violence",2.5,3,Medium,Stable,Medium,2.9,2.1,3.3,1.85,1.7,2,3.2,2.8,3.5,Asia,2023-04-27 00:00:00
42,Earthquake in West Java province,IDN008,Indonesia,IDN,Earthquake,2.3,3,Medium,Increasing,Very High,2.4,1.6,2.7,1.9,1.8,2,2.7,2.8,2.5,Asia,2023-04-27 00:00:00
43,Conflict in Jammu and Kashmir,IND002,India,IND,Socio-political,x,x,x,-,Very Low,1.9,2,1.8,x,x,x,2.1,2.2,2,Asia,2023-04-27 00:00:00
44,Afghan Refugees in Iran,IRN004,Iran,IRN,Displacement,3.6,4,High,Increasing,Low,3.6,2.7,4,4.2,4.4,4,2.7,3.3,2,Middle east,2023-04-30 00:00:00
45,Conflict  in Iraq,IRQ002,Iraq,IRQ,"Conflict,Socio-political,Violence",3.9,4,High,Increasing,High,4.2,4.7,3.9,3.5,4,3,4.1,3.6,4.5,Middle east,2023-04-25 00:00:00
46,Syrian and Palestinian refugees in iraq,IRQ003,Iraq,IRQ,Displacement,2.9,3,Medium,Stable,Medium,1.9,1.5,2.1,2.9,2.8,3,3.6,3.6,3.5,Middle east,2023-04-25 00:00:00
47,Mixed migration flows in Italy,ITA002,Italy,ITA,Displacement,2,2,Low,Stable,Very High,2.7,1.6,3.2,1.7,2.4,1,1.8,1.5,2,Europe,2023-04-27 00:00:00
48,Syrian refugees in Jordan,JOR002,Jordan,JOR,Displacement,2.7,3,Medium,Stable,Medium,2.7,3,2.6,3.1,3.2,3,2,2.5,1.5,Middle east,2023-04-25 00:00:00
49,Refugee situation in Kenya,KEN002,Kenya,KEN,Displacement,3,3,Medium,Increasing,Medium,3,0.8,3.7,3,3,3,2.9,3.6,2,Africa,2023-02-21 00:00:00
50,Drought in Kenya,KEN003,Kenya,KEN,Drought,3.8,4,High,Decreasing,Medium,4.7,4.1,4.9,3.8,4.6,3,2.9,3.6,2,Africa,2023-03-15 00:00:00
51,Syrian refugees in Lebanon,LBN002,Lebanon,LBN,Displacement,3.3,4,High,Stable,Medium,3.7,3.6,3.7,3.8,3.6,4,2.3,2.5,2,Middle east,2023-04-25 00:00:00
52,Socioeconomic crisis in Lebanon,LBN004,Lebanon,LBN,"Socio-political,Violence,Tecnological Disaster",3.4,4,High,Decreasing,Medium,3.2,3.6,2.9,4.1,4.2,4,2.5,2.5,2.5,Middle east,2023-04-25 00:00:00
53,Complex crisis in Libya,LBY001,Libya,LBY,"Conflict,Displacement,Socio-political",3.8,4,High,Increasing,Very High,4.6,4.5,4.6,3.2,3.4,3,4,3.3,4.5,Africa,2023-04-27 00:00:00
54,Mixed migration flows in Libya,LBY002,Libya,LBY,Displacement,3.4,4,High,Decreasing,Very High,3.8,4.5,3.4,3.05,3.1,3,3.7,3.3,4,Africa,2023-04-27 00:00:00
55,Socio-economic crisis in Sri Lanka,LKA002,Sri Lanka,LKA,"Socio-political,Food Security",3.4,4,High,Stable,High,3.7,4.4,3.3,4.35,4.7,4,1.6,2.1,1,Asia,2023-04-29 00:00:00
56,Mixed migration flows in Morocco,MAR002,Morocco,MAR,Displacement,2.2,3,Medium,Stable,Medium,3.5,4.9,2.4,0.75,0.5,1,2.8,3.1,2.5,Africa,2023-04-27 00:00:00
57,DIsplacement from Ukraine conflict in Moldova,MDA002,Moldova,MDA,"Displacement,Conflict",1.9,2,Low,Decreasing,Very High,1.5,0.2,2.1,2.35,1.7,3,1.4,1.8,1,Europe,2023-04-26 00:00:00
58,Drought in Madagascar,MDG002,Madagascar,MDG,Drought,2.7,3,Medium,Decreasing,High,2.4,2.1,2.5,3.45,3.9,3,1.6,2.1,1,Africa,2023-03-28 00:00:00
59,Tropical cyclone Cheneso in Madagascar,MDG007,Madagascar,MDG,Cyclone,1.9,2,Low,-,Very High,3.5,4.9,2.3,0.95,0.9,1,1.6,2.1,1,Africa,2023-03-28 00:00:00
60,Tropical cyclone Freddy in Madagascar,MDG008,Madagascar,MDG,Cyclone,2.1,3,Medium,-,Very High,2.3,1.8,2.5,2.2,1.4,3,1.8,2.1,1.5,Africa,2023-03-31 00:00:00
61,Criminal Violence in Mexico,MEX002,Mexico,MEX,"Violence,Displacement",x,x,x,-,High,4.1,5,3.4,x,x,x,3.3,3,3.5,Americas,2023-03-28 00:00:00
62,Mixed Migration in Mexico,MEX003,Mexico,MEX,Displacement,2.6,3,Medium,Stable,High,3.8,4.8,3,1.35,1.7,1,3,3,3,Americas,2023-03-28 00:00:00
63,Complex crisis in Mali,MLI001,Mali,MLI,Conflict,4.3,5,Very High,Increasing,Very High,4.4,4.9,4.1,4.45,4.9,4,3.9,3.2,4.5,Africa,2023-04-27 00:00:00
64,Rakhine Conflict,MMR002,Myanmar,MMR,Conflict,3.8,4,High,Increasing,High,3.4,1.2,4.1,3.85,3.7,4,4,3.9,4,Asia,2023-04-27 00:00:00
65,Kachin and Shan Conflict,MMR003,Myanmar,MMR,Conflict,3.7,4,High,Stable,High,3.4,1.9,3.9,3.8,3.6,4,3.7,3.9,3.5,Asia,2023-04-27 00:00:00
66,Post-coup conflict in Myanmar,MMR004,Myanmar,MMR,"Violence,Socio-political,Conflict",4.4,5,Very High,Decreasing,High,4.5,4.4,4.6,4.5,5,4,4,3.9,4,Asia,2023-04-27 00:00:00
67,Dzud in Mongolia,MNG002,Mongolia,MNG,Other seasonal event,2.6,3,Medium,-,Medium,3.1,3.1,3.05,3.1,2.2,4,1.3,1.1,1.5,Asia,2023-04-03 00:00:00
68,Cabo Delgado Islamist Insurgency,MOZ004,Mozambique,MOZ,"Conflict,Displacement",3.4,4,High,Stable,High,3.6,2.7,4,3.35,3.7,3,3.4,3.7,3,Africa,2023-04-30 00:00:00
69,Floods in Maputo province in Mozambique,MOZ009,Mozambique,MOZ,Floods,1.5,2,Low,-,High,1.7,1.1,2,0.7,0.4,1,2.6,3.7,1,Africa,2023-02-23 00:00:00
70,Tropical Cyclone Freddy in Mozambique,MOZ010,Mozambique,MOZ,Cyclone,2.2,3,Medium,-,Very High,2.8,3.3,2.5,1.65,1.3,2,2.6,3.7,1,Africa,2023-04-30 00:00:00
71,Refugees from Mali in Mauritania,MRT002,Mauritania,MRT,Displacement,2.1,3,Medium,Decreasing,Very High,2.6,2,2.9,1.85,1.7,2,1.9,2.2,1.5,Africa,2023-04-30 00:00:00
72,Food Security in Mauritania,MRT003,Mauritania,MRT,"Drought,Floods",2.7,3,Medium,Stable,High,2.7,4.3,1.4,3.05,3.1,3,2.1,2.2,2,Africa,2023-04-30 00:00:00
73,Complex crisis in Malawi,MWI002,Malawi,MWI,"Drought,Socio-political,Cyclone",3.4,4,High,Increasing,Very High,3.8,4.4,3.5,3.8,4.6,3,2.4,2.3,2.5,Africa,2023-04-28 00:00:00
74,Tropical Cyclone Freddy in Malawi,MWI005,Malawi,MWI,Cyclone,2.8,3,Medium,-,Very High,3.2,2.3,3.6,3,3,3,2.2,2.3,2,Africa,2023-04-28 00:00:00
75,International Refugees in Malaysia,MYS001,Malaysia,MYS,Displacement,2.3,3,Medium,Stable,Medium,2.8,1.7,3.3,2.05,2.1,2,2.1,1.7,2.5,Asia,2023-04-27 00:00:00
76,Food Security Crisis in Namibia,NAM002,Namibia,NAM,Drought,2.2,3,Medium,Decreasing,High,2.6,4.3,1.3,2.65,2.3,3,1.3,1.5,1,Africa,2023-04-23 00:00:00
77,Multiple crises in Niger,NER001,Niger,NER,"Conflict,Displacement",3.9,4,High,Increasing,Very High,3.9,4.9,3.1,4.1,4.2,4,3.5,2.8,4,Africa,2023-04-27 00:00:00
78,Boko Haram in Niger,NER002,Niger,NER,Conflict,3.1,4,High,Increasing,Very High,3.2,1.2,3.9,3,3,3,3.2,2.8,3.5,Africa,2023-04-27 00:00:00
79,Mali/Burkina Faso conflict,NER003,Niger,NER,Conflict,3.6,4,High,Stable,High,2.9,2.1,3.3,3.9,3.8,4,3.5,2.8,4,Africa,2023-04-27 00:00:00
80,Nigerian Refugees,NER004,Niger,NER,Displacement,2.6,3,Medium,Decreasing,High,1.7,1.1,2,3,3,3,2.7,2.8,2.5,Africa,2023-04-27 00:00:00
81,Complex crisis in Nigeria,NGA001,Nigeria,NGA,"Conflict,Displacement,Violence",4.1,5,Very High,Stable,High,4.5,5,4.1,4,5,3,4,3.4,4.5,Africa,2023-04-30 00:00:00
82,Middle belt conflict,NGA003,Nigeria,NGA,Violence,3.4,4,High,Increasing,Medium,3.1,2.2,3.5,3.45,3.9,3,3.5,3.4,3.5,Africa,2023-04-30 00:00:00
83,Boko Haram crisis in Nigeria,NGA004,Nigeria,NGA,"Conflict,Displacement",4.2,5,Very High,Increasing,Medium,4.2,2.2,4.8,4.45,4.9,4,3.7,3.4,4,Africa,2023-04-30 00:00:00
84,Northwest Banditry,NGA007,Nigeria,NGA,"Violence,Displacement",3.7,4,High,Stable,High,3.4,2.8,3.6,3.75,4.5,3,3.7,3.4,4,Africa,2023-04-30 00:00:00
85,Cameroonian Refugees in Nigeria,NGA008,Nigeria,NGA,Displacement,2.3,3,Medium,Increasing,Medium,2.4,2,2.6,1.35,1.7,1,3.5,3.4,3.5,Africa,2023-04-30 00:00:00
86,Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,NIC,Socio-political,x,x,x,-,High,2.9,4,2.1,x,x,x,2.9,2.7,3,Americas,2023-01-24 00:00:00
87,Complex crisis in Pakistan,PAK001,Pakistan,PAK,"Displacement,Conflict",3.8,4,High,Stable,High,3.9,5,3.1,4,5,3,3.4,3.3,3.5,Asia,2023-04-30 00:00:00
88,Kashmir conflict in Pakistan,PAK004,Pakistan,PAK,Conflict,x,x,x,-,Very Low,0.4,1,0,x,x,x,2.9,3.3,2.5,Asia,2023-04-30 00:00:00
89,Floods in Pakistan ,PAK005,Pakistan,PAK,Other seasonal event,3.6,4,High,Stable,High,4,3.8,4.1,4,5,3,2.5,3.3,1.5,Asia,2023-04-30 00:00:00
90,Venezuela displacement in Panama,PAN002,Panama,PAN,Displacement,2.3,3,Medium,Stable,High,2.9,2.6,3,2.2,1.4,3,1.9,1.8,2,Americas,2023-02-21 00:00:00
91,Venezuela displacement in Peru,PER002,Peru,PER,Displacement,3.2,4,High,Stable,Very High,3.9,5,3,3.35,3.7,3,2.3,2.5,2,Americas,2023-02-28 00:00:00
92,Mindanao conflict,PHL003,Philippines,PHL,"Conflict,Violence",2.2,3,Medium,Stable,High,2.8,3,2.7,1.4,1.8,1,2.7,2.9,2.5,Asia,2023-04-27 00:00:00
93,Typhoon Nalgae,PHL012,Philippines,PHL,Cyclone,2,2,Low,Decreasing,Very High,2.9,4.4,1.8,1,0,2,2.7,2.9,2.5,Asia,2023-04-27 00:00:00
94,"LPAs, Northeast Monsoon, and Shear Line",PHL013,Philippines,PHL,"Floods,Other seasonal event",1.6,2,Low,Decreasing,Very High,2.3,3.6,1.4,0.5,0,1,2.7,2.9,2.5,Asia,2023-04-27 00:00:00
95,Highlands Violence,PNG003,Papua New Guinea,PNG,Earthquake,2.6,3,Medium,Stable,High,2.2,1.8,2.4,2.7,2.4,3,2.7,2.4,3,Pacific,2023-04-29 00:00:00
96,Displacement from Ukraine conflict in Poland,POL002,Poland,POL,"Displacement,Conflict",2.5,3,Medium,Decreasing,Very High,2.9,2,3.3,3.35,3.7,3,0.9,0.8,1,Europe,2023-04-27 00:00:00
97,Complex crisis in DPRK,PRK001,DPRK,PRK,"Socio-political,Floods,Other seasonal event,Food Security",3.7,4,High,Stable,Medium,4,4.6,3.6,4.5,5,4,2.3,2.6,2,Asia,2023-04-30 00:00:00
98,Conflict in Palestine,PSE002,Palestine,PSE,"Conflict,Socio-political,Violence",3.8,4,High,Increasing,High,4,3.4,4.2,3.95,3.9,4,3.3,2.3,4,Middle east,2023-04-25 00:00:00
99,Regional Boko Haram Crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",0,4.4,5,Very High,Stable,High,4.4,3.8,4.7,4.5,5,4,4.4,3.6,5,"Africa,Africa,Africa,Africa",2023-04-27 00:00:00
100,Venezuela Regional Crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",0,3.9,4,High,Stable,Medium,3.6,3.4,3.7,4,5,3,3.8,2.7,4.5,"Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas",2022-10-31 00:00:00
101,Regional Kashmir conflict,REG003,"India,Pakistan","IND,PAK",0,x,x,x,-,Very Low,3.3,2.1,3.7,x,x,x,2.8,3,2.5,"Asia,Asia",2023-01-31 00:00:00
102,Syrian Regional Crisis,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",0,4.3,5,Very High,Stable,High,3.9,3,4.2,4.5,5,4,4.1,3.6,4.5,"Middle east,Middle east,Middle east,Africa,Middle east,Middle east",2023-04-26 00:00:00
103,Eastern Mediterranean Route ,REG006,"Türkiye,Greece","TUR,GRC",0,2.4,3,Medium,Increasing,Medium,2.7,3,2.6,2.1,2.2,2,2.5,2.9,2,"Middle east,Europe",2023-04-26 00:00:00
104,Central Mediterranean Route,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",0,3,3,Medium,Stable,Very High,3.8,4.4,3.5,2.25,3.5,1,3.4,2.6,4,"Africa,Africa,Africa,Europe",2023-04-27 00:00:00
105,Western Mediterranean Route,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",0,2.7,3,Medium,Increasing,Very High,3.6,4.5,3,1.85,2.7,1,3.1,2.7,3.5,"Africa,Africa,Europe",2023-04-27 00:00:00
106,Rohingya Regional Crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",0,3.9,4,High,Increasing,Very High,3.5,1.3,4.2,4.1,4.2,4,3.8,3.5,4,"Asia,Asia",2023-04-27 00:00:00
107,Southern Africa Regional Food Security Crisis,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",0,3.6,4,High,Increasing,Very High,3.5,4,3.2,4,5,3,3.1,2.6,3.5,"Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa",2023-04-30 00:00:00
108,Nagorno-Karabakh Conflict,REG013,"Armenia,Azerbaijan","ARM,AZE",0,1.8,2,Low,Stable,Medium,2.3,2,2.5,1.35,0.7,2,1.9,2.2,1.5,"Middle east,Middle east",2023-04-30 00:00:00
109,Eastern Africa Regional Drought Crisis,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",Drought,4.4,5,Very High,Increasing,High,4.2,4.3,4.2,4.5,5,4,4.5,3.8,5,"Africa,Africa,Africa",2023-02-28 00:00:00
110,Turkiye / Syria earthquake,REG015,"Türkiye,Syria","TUR,SYR",Earthquake,3.7,4,High,-,High,4,2.6,4.5,3.3,3.6,3,4.2,3.9,4.5,"Middle east,Middle east",2023-04-03 00:00:00
111,Displacement from Ukraine conflict in Romania,ROU002,Romania,ROU,"Conflict,Displacement",1.4,2,Low,Decreasing,Very High,1.7,2,1.6,1.35,1.7,1,1.2,1.3,1,Europe,2023-04-27 00:00:00
112,Burundi and DRC refugees in Rwanda,RWA002,Rwanda,RWA,Displacement,2.4,3,Medium,Stable,Medium,2.5,2.2,2.7,2.4,1.8,3,2.3,3,1.5,Africa,2023-03-17 00:00:00
113,Complex crisis in Sudan,SDN001,Sudan,SDN,"Displacement,Violence,Floods",4.4,5,Very High,Stable,Very High,4.4,4.8,4.2,4.5,5,4,4.1,4.2,4,Africa,2023-04-30 00:00:00
114,Refugees in Sudan,SDN005,Sudan,SDN,Displacement,3.3,4,High,Stable,Very High,3.3,2.2,3.7,3.2,3.4,3,3.3,4.2,2,Africa,2023-04-30 00:00:00
115,Violence in Darfur and Kordofan regions,SDN008,Sudan,SDN,Violence,4,4,High,Stable,High,3.7,3.1,3.9,4.4,4.8,4,3.5,4.2,2.5,Africa,2023-04-30 00:00:00
116,Drought in Senegal,SEN002,Senegal,SEN,Drought,2.3,3,Medium,Stable,Very High,2.9,4.5,1.6,2.55,3.1,2,1.6,2.2,1,Africa,2023-04-27 00:00:00
117,Complex crisis in El Salvador,SLV001,El Salvador,SLV,"Displacement,Violence,Floods,Drought",3.1,4,High,Decreasing,High,3.3,3.7,3,3.2,3.4,3,2.7,2.3,3,Americas,2023-03-01 00:00:00
118,Complex crisis in Somalia,SOM001,Somalia,SOM,"Conflict,Displacement,Floods,Drought",4.7,5,Very High,Increasing,Very High,4.8,4.7,4.9,4.95,4.9,5,4.2,3.9,4.5,Africa,2023-04-27 00:00:00
119,Mixed Migration Flows in Somalia,SOM002,Somalia,SOM,Displacement,1.8,2,Low,Decreasing,High,1.6,1.5,1.6,0.95,0.9,1,3.3,3.9,2.5,Africa,2023-04-27 00:00:00
120,Complex crisis in South Sudan,SSD001,South Sudan,SSD,"Conflict,Floods,Displacement",4.4,5,Very High,Stable,High,4.6,4.6,4.6,4.5,5,4,4.2,3.8,4.5,Africa,2023-04-26 00:00:00
121,Displacement from Ukraine conflict in Slovakia,SVK002,Slovakia,SVK,"Displacement,Conflict",1.8,2,Low,Decreasing,Very High,1.6,1.5,1.6,2.4,1.8,3,1.1,1.1,1,Europe,2023-04-26 00:00:00
122,Food Security Crisis in Eswatini,SWZ001,Eswatini,SWZ,Drought,2.3,3,Medium,Stable,Medium,2,3.1,1.4,2.7,2.4,3,1.8,2.5,1,Africa,2023-04-23 00:00:00
123,Syrian conflict,SYR001,Syria,SYR,"Conflict,Displacement,Violence",4.6,5,Very High,Stable,High,4.8,4.5,4.9,4.5,5,4,4.5,4.4,4.5,Middle east,2023-04-25 00:00:00
124,Türkiye / Syria earthquake in Syria,SYR002,Syria,SYR,Earthquake,3.4,4,High,-,High,3.6,2.8,3.9,2.45,2.9,2,4.5,4.4,4.5,Middle east,2023-04-25 00:00:00
125,Complex crisis in Chad,TCD001,Chad,TCD,"Conflict,Displacement",4.5,5,Very High,Stable,Medium,4,4.7,3.5,4.8,4.6,5,4.2,3.8,4.5,Africa,2023-04-03 00:00:00
126,Lake Chad basin crisis,TCD003,Chad,TCD,Conflict,3.9,4,High,Stable,Medium,2.8,0.7,3.5,4.1,3.2,5,4.2,3.8,4.5,Africa,2023-04-03 00:00:00
