,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
10,Burundi,Complex in Burundi,BDI001,Stable,-,3.5,3.5,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.3,3.3,3.2,3.3,3.3,3.3,3.3,3.4,3.3,3.3,3.3,3.3,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
11,,,BDI002,-,-,3.5,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,,,BDI003,-,-,1.7,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Burkina Faso,Conflict in Burkina Faso,BFA002,Decreasing,-,3,3.1,3.2,3.2,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.4,3.4,3.4,3.4,3.9,3.9,3.9,3.9,3.8,3.9,4,3.9,3.9,3.9,4,4,4,4,4,4,4,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.7,3.8,3.8,3.7,3.7
14,,,BFA003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,2.3,2.4,2.4,2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,,,BFA004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.9,3.9,3.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,,,BGD001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.9,3.2,3.2,3.2,2.9,2.9,2.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.4,3.4,3.4,3.4,3.4,3.4,3.4,-
17,Bangladesh,Rohingya refugee crisis,BGD002,Stable,-,3.3,3.3,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3,3,3.1,3,3.1,3,3,3,3
18,,,BGD004,-,-,-,-,-,-,-,-,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.3,3.3,3.3,3.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,,,BGD006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,2.5,2.5,2.5,2.5,2.6,2.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,,,BGD007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.1,2.1,2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,,,BGD008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.1,3,3,3,3,3,3,-
22,,,BHS002,-,-,-,-,-,-,-,-,-,-,1.7,1.7,1.7,1.7,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,,,BIH002,-,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Brazil,Country level Brazil,BRA001,Increasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.2,2.2,2.1,2.1,2.1,2.8,2.8,2.5,2.8,2.8,2.8,2.8,2.7
25,Brazil,Venezuela displacement in Brazil,BRA002,Increasing,-,1.7,1.7,2.2,2.4,2.4,2.4,2.4,2.4,2.4,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.3,2.4,2.4,2.4,2.4,2.6
26,Brazil,Floods in rainy season 2022,BRA003,Stable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.9,2,2,2,2,2.2,2.1,2,2.1,2,2,2,2
27,CAR,Complex crisis in CAR,CAF001,Stable,-,4,4,4,4,4,4,4,4,4,3.9,3.9,3.9,3.9,4,4,4,4,4,4,4,4,4,4,4,4,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1
28,,,CAF002,-,-,-,-,-,-,-,-,-,-,-,-,2.3,2.3,2.3,2.3,2.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Chile,Venezuela displacement in Chile,CHL002,Decreasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.1,2.1,2.2,2.2,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5
30,,,CHN002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.9,2.9,2.9,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,,,CHN003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,Cameroon,Multiple crises in Cameroon,CMR001,Stable,-,4,4,4.1,4.1,4,4.1,3.9,4,4,4,4,4,4,3.6,3.6,3.5,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,4.1,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.1,3.9,4,4,4,4
33,Cameroon,Boko Haram in Cameroon,CMR002,Stable,-,3.6,3.6,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.5,3.5,3.5,3.5,3.5,3.5
34,Cameroon,Anglophone Crisis in Cameroon,CMR003,Stable,-,3.2,3.2,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.1,3.1,3.1,3.1,3.1,3.3,3.3,3.3,3.4,3.4,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.8,3.8,3.6,3.6,3.4,3.4,3.4,3.4,3.4,3.4,3.4
35,Cameroon,CAR refugees in Cameroon,CMR004,Stable,-,3.3,3.3,3.1,3.1,3.1,3.1,2.7,2.8,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.6,2.6,2.6,2.5,2.5,2.6,2.6,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,3.1,3.1,3.1,3.1,2.9,2.9,2.9,2.9,2.9,2.9,2.9
36,DRC,Complex crisis in DRC,COD001,Stable,-,4.4,4.4,4.4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
37,,,COD002,-,-,-,-,-,-,-,-,-,-,-,-,2.7,2.7,2.5,2.7,2.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,,,COD003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,2.6,2.6,2.6,2.6,2.6,2.6,2.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Congo,Complex crisis in Congo,COG001,Stable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,2.4,2.4,2.1,2.1,2.1,2.1,2.1,2.2
40,,,COG002,-,-,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.4,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.6,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,,,COG004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.2,2.2,2.2,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,Colombia,Complex crisis in Colombia,COL001,Stable,-,3.9,3.9,4,4,4,4,4,4,4.1,4.1,4.1,4.1,3.8,3.8,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,3.9,3.9,3.9,3.9,3.9,3.7,3.7,3.7,3.7,4,4.1,4.1,4.1,4.1,4.1,3.9,3.9,3.9,3.9,3.9,4,4,4,4,4,4
43,Colombia,Venezuela displacement in Colombia,COL002,Increasing,-,2.8,2.8,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.7,3.7,3.5
44,,,COL003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.2,2,2.1,2.1,2.1,2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,,,COM002,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,Costa Rica,Nicaraguan refugees in Costa Rica,CRI002,Stable,-,-,-,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.3,1.2,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.3,2.1,2.1,2.1,2.1,2.1,2.1,2.1
47,Djibouti,Multiple crises in Djibouti,DJI001,Increasing,-,2.6,2.9,2.9,-,-,-,-,-,-,-,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3,3,3,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.7,2.7
48,Djibouti,Mixed migration in Djibouti,DJI002,Increasing,-,1.4,1.4,1.7,1.7,1.7,1.7,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.5,1.5,1.8,1.8,1.8,1.9,1.9,2,2
49,Djibouti,Drought in Djibouti,DJI003,Increasing,-,2.6,2.8,2.8,2.9,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3.1,3.1,3.1,2.8,2.8,2.8,2.8,2.8,2.4,2.4,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.4,2.4,2.6,2.6,2.6,2.6,2.6,2.7,2.7
50,,,DJI004,-,-,-,-,-,-,-,-,-,-,-,-,2.3,2.3,2.3,2.3,2.3,2.3,2.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,Dominican Republic,Venezuela displacement in Dominican Republic,DOM002,Increasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.9,1.8,1.8,1.8,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2
52,Algeria,Mixed migration flows in Algeria,DZA002,Increasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.6,2.6,2.6,2.6,2.7,2.7,2.7
53,Algeria,Sahrawi refugees in Algeria,DZA003,Increasing,-,2.2,2.2,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.1,2.1,2.1,2.1,2.2,2.2
54,Algeria,Multiple crises in Algeria,DZA004,Increasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.6,2.6,2.7,2.7,2.7,2.7
55,Ecuador,Venezuela displacement in Ecuador,ECU002,Increasing,-,1.7,1.7,2.3,2.3,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.5,2.5,2.5,2.5,2.5,2.7,2.7,2.7,2.8,2.8,2.8,2.8
56,Egypt,Syrian Refugee Crisis in Egypt,EGY002,Increasing,-,1,1,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.4,2.4,3.1,3.1,2.9,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.9,2.9,1.7,1.7,1.7,1.7,1.7,1.8,1.8
57,Eritrea,Complex crisis in Eritrea,ERI001,Decreasing,-,3.4,3.4,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.5,3.5,3.5,3.5,3.5
58,Spain,Mixed migration flows in spain,ESP002,Stable,-,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,1.5,1.5,1.5,1.6,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.6,1.6,1.8,1.8,1.8,1.8,1.8,1.8,1.8
59,Ethiopia,Complex crisis in Ethiopia,ETH001,Stable,-,-,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,4,4,4,4,4,4,4,4.1,4.1,4.1,4.1,4.5,4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4,4,4.1,4.1,4.3
60,,,ETH002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,2.4,2.4,2.4,2.4,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.4,2.4,2.4,2.7,2.6,2.6,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-
61,Ethiopia,International Displacement,ETH003,Increasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,3,3,3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3,2.6,3,3,3,3,3.2,3.3,3.3
62,Ethiopia,Northern Ethiopia Conflict,ETH004,Increasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.2,3.7,3.7,3.7,3.7,3.7,4.4,4.4,4.4,4.4,4.4,4.3,4.4,4.4,4.4,4.4,4.4,4.3,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.3
63,Ethiopia,Drought in Ethiopia,ETH005,Increasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.7,2.6,2.8,2.8,3.5,3.5,3.5,3.7,3.7,3.8,3.8,3.7
64,,,FJI002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.4,1.4,1.4,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,Gambia,Flood crisis in Gambia ,GMB002,Decreasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.7,1.7,1.7,1.6,1.6,1.6
66,Greece,Mixed migration flows in Greece,GRC002,Stable,-,1,1,1.7,1.5,1.5,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,2,1.9,2,2.1,2.2,1.9,1.9,1.9,1.8,1.8,1.8,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.4,1.5,1.4,1.4,1.4,1.4
67,Guatemala,Complex crisis in Guatemala,GTM001,Decreasing,-,3.4,3.4,4,3.7,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5
68,,,GTM003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.7,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,Honduras,Complex crisis in Honduras,HND001,Stable,-,2.3,2.3,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4
70,,,HND002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.1,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,Haiti,Complex crisis in Haiti,HTI001,Stable,3.4,2.9,2.9,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.5,3.5,3.5,3.5,3.5,3.8,3.8,3.8,3.8,3.8,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
72,Haiti,Nippes Earthquake ,HTI002,Decreasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3,3.1,2.9,3.1,3.1,3.1,2.9,2.9,2.9
73,Hungary,Displacement from Ukraine conflict in Hungary,HUN002,Decreasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.1,1.4,1.3,1.4,1.4,2.5,2.6,2.6,2.6,2.5,1.5,1.5
74,,,IDN001,-,-,2.3,2.3,2.8,2.8,2.8,2.1,2.1,2.1,2.1,2.1,2.1,1.9,1.9,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,Indonesia,Papua Conflict,IDN002,Decreasing,-,-,-,-,-,-,2.2,2.2,2.2,2.2,2.2,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2.1,2.1,2.2,2.3,2.3,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5
76,,,IDN003,-,-,-,-,-,-,-,1.2,1.2,1.2,1.4,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
