,Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
12,Venezuela displacement in Brazil,International displacement,BRA002,Brazil,BRA,2396339,81322000,491000,179000,x,x,x,x,x,,x,80831000,179000,312000,0,0,4,x,x,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
13,Floods in rainy season 2022,Flood,BRA003,Brazil,BRA,315000,97938000,315000,70000,x,x,126,x,x,,x,97623000,245000,70000,0,0,3,x,x,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
14,Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,623000,4704000,3100000,1328000,x,x,930,x,x,,x,1604000,900000,733000,1467000,0,5,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,0.0,3.0
15,Venezuela displacement in Chile,International displacement,CHL002,Chile,CHL,743532,19116000,11650000,562000,x,x,10,x,x,,x,7467000,11169000,481000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0
16,Multiple crises in Cameroon,Multiple crises country,CMR001,Cameroon,CMR,440640,27600000,13771000,1944000,150,x,364,x,x,,x,13829000,2082000,9070000,2618000,0,3,x,x,1.0,3.0,3.0,2.0,0.0,2.0,3.0,1.0,2.0
17,Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,34263,3803000,1246000,623000,x,x,208,x,x,,5.2,2557000,0,166000,1080000,0,3,x,x,1.0,3.0,1.0,2.0,0.0,3.0,3.0,1.0,3.0
18,Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,89005,13474000,2034000,974000,x,x,254,x,x,,x,11439000,0,1431000,603000,0,3,x,377500,1.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,1.0
19,CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,201932,5658000,475000,347000,0,x,17,0,0,,x,5183000,0,475000,0,0,3,x,x,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
20,Complex crisis in DRC,Complex crisis,COD001,DRC,COD,2267048,106200000,25500000,10103000,x,x,3311,x,x,,1700,80700000,9500000,12500000,2900000,600000,5,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0
21,Complex crisis in Congo,Complex crisis,COG001,Congo,COG,341500,655000,280000,26000,x,x,3,x,x,,x,375000,239000,36000,4000,0,2,x,x,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
22,Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,1109500,51000000,11100000,5235000,155,x,540,x,x,,x,39900000,3400000,4507000,2900000,293000,3,x,x,0.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,3.0
23,Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,1.109,26262000,5554000,2478000,x,x,367,x,x,,x,20708000,722000,4831000,0,0,3,x,x,0.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,3.0
24,Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,4462,1133000,227000,180000,x,x,x,x,x,,x,906000,47000,180000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,23180,1157000,643000,36000,x,x,3,x,x,,x,514000,415000,216000,5000,0,5,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,7300,681000,36000,36000,x,x,3,0,0,,0,626000,0,36000,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Drought in Djibouti,Drought,DJI003,Djibouti,DJI,23180,1157000,607000,x,0,x,x,0,0,,x,550000,415000,180000,12000,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Venezuela displacement in Dominican Republic,International displacement,DOM002,Dominican Republic,DOM,48310,10074000,9510000,115000,x,x,x,x,x,,x,564000,9411000,99000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Mixed migration flows in Algeria,International displacement,DZA002,Algeria,DZA,2381741,44912000,262000,262000,x,x,64,x,x,,x,44650000,0,262000,0,0,4,x,x,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
30,Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,159000,223000,174000,x,x,x,0,x,x,,x,49000,84000,90000,0,0,2,0,0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
31,Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,2381000,45135000,436000,262000,x,x,76,x,x,,x,44699000,84000,352000,0,0,3,x,x,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
32,Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,248360,17643000,8304000,803000,x,x,4,x,x,,x,9339000,7431000,873000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
33,Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,91071.77,14133000,144000,144000,x,x,0,x,x,,x,13989000,0,144000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
34,Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,101000,6209000,1200000,321000,x,x,x,x,x,,x,5009000,0,1200000,0,0,5,x,x,3.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0
35,Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,100000,12122000,134000,134000,x,x,142,x,x,,x,11988000,0,134000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,1063652,103700000,103700000,6747000,0,0,1230,x,x,,x,0,80200000,925000,17150000,5425000,4,x,10000,2.0,3.0,3.0,0.0,2.0,2.0,3.0,3.0,3.0
37,International Displacement,International displacement,ETH003,Ethiopia,ETH,1063652,103700000,17700000,871000,0,0,18,x,x,,x,86000000,16830000,871000,0,0,3,0,0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0
38,Northern Ethiopia Conflict,Conflict,ETH004,Ethiopia,ETH,311484,30500000,30500000,2511000,0,0,345,,,,,0,21100000,6499000,2500000,401000,4,0,210000,2.0,3.0,3.0,0.0,2.0,2.0,3.0,3.0,3.0
39,Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,618190,62500000,8100000,413000,x,x,0,x,x,,x,54400000,900000,7200000,0,0,3,x,x,2.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0
40,Flood crisis in Gambia ,Flood,GMB002,Gambia,GMB,10120,2492000,44000,6000,x,x,11,x,x,,x,2448000,0,38000,6000,0,4,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,3364.07,405000,160000,160000,0,x,1,x,x,,x,245000,141000,19000,0,0,2,x,x,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
42,Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,107160,17100000,5700000,242000,x,7505,478,56769,33,,367600000,11400000,1900000,3800000,0,0,5,x,x,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
43,Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,111890,9400000,4000000,247000,x,3232,548,414,414,,2258000000,5400000,1200000,2800000,0,0,3,x,x,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0
44,Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,27560,11400000,8200000,23000,12898,x,2347,77006,52953,,1500000000,3200000,3800000,1900000,1500000,1000000,5,x,x,0.0,2.0,2.0,3.0,0.0,2.0,3.0,0.0,3.0
45,Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,12851,6429000,690000,220000,12763,x,2248,83858,53815,,15000000000,5739000,40000,650000,0,0,3,x,x,0.0,2.0,2.0,3.0,0.0,2.0,3.0,0.0,3.0
46,Displacement from Ukraine conflict in Hungary,International displacement,HUN002,Hungary,HUN,5936,1742000,1189000,1189000,,,0,,,,,553000,0,1189000,0,0,2,,,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
47,Papua Conflict,Conflict,IDN002,Indonesia,IDN,421991,5438000,5438000,100000,x,x,49,x,x,,x,0,5338000,100000,0,0,4,x,x,1.0,3.0,2.0,0.0,2.0,3.0,1.0,1.0,2.0
48,Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,222236,12541000,x,x,x,x,177,x,x,,x,12541000,x,x,x,x,x,x,x,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0
49,Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,239561,24823000,2880000,2880000,x,x,x,x,x,,x,21943000,0,780000,2100000,0,2,x,x,1.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0
50,Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,383312,40576000,5590000,8505000,x,x,2383,x,x,,133900,34986000,2826000,2234000,383000,146000,5,1500000,300000,1.0,2.0,2.0,0.0,3.0,3.0,2.0,3.0,1.0
51,Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,383312,40576000,5300000,8239000,x,x,2383,x,x,,133900,35276000,2800000,2150000,225000,125000,5,1500000,300000,1.0,2.0,2.0,0.0,3.0,3.0,2.0,3.0,1.0
52,Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,40643,5150000,522000,263000,x,x,x,x,0,,x,4635000,26000,316000,158000,21000,5,x,0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0
53,Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,41055,6693000,187000,187000,x,x,799,x,0,,x,6506000,0,187000,0,0,3,x,x,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
54,Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,40463,8708000,1839000,1319000,x,x,0,x,x,,x,6869000,1062000,622000,155000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
55,Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,519240,17097000,14425000,552000,x,942000,3,0,0,,0,2672000,9771000,3554000,1100000,0,2,0,0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
56,Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,38244,1292000,552000,552000,x,x,x,0,0,,0,740000,0,552000,0,0,2,0,x,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
57,Drought in Kenya,Drought,KEN003,Kenya,KEN,519240,16829000,13873000,x,x,942000,3,0,0,,0,2956000,9771000,3002000,1100000,0,2,0,0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
58,Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,10450,6769000,6244000,1529000,x,0,x,x,x,,x,525000,4715000,780000,703000,46000,2,x,x,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0
59,Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,10450,6769000,6244000,x,x,x,21,x,x,,x,525000,3035000,1889000,1275000,46000,3,x,x,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0
60,Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,1759540,8200000,3772000,1533000,x,x,918,x,x,,x,4428000,2952000,738000,82000,0,7,198000,633000,1.0,3.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0
61,Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,1759540,8200000,693000,693000,x,x,918,x,x,,x,7507000,0,693000,0,0,4,79000,229000,1.0,3.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0
62,Socio-economic crisis in Sri Lanka,Political and economic crisis,LKA002,Sri Lanka,LKA,62705,22156000,22156000,0,367,,10,,,,,0,16456000,4000000,1644000,56000,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
63,Drought in Lesotho,Drought,LSO002,Lesotho,LSO,30355,1485000,724000,x,0,0,0,0,0,,x,761000,495000,229000,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,446300,37462000,21000,21000,x,x,142,0,0,,0,37441000,0,21000,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65,DIsplacement from Ukraine conflict in Moldova,International displacement,MDA002,Moldova,MDA,1595,683000,573000,573000,,,0,,,,,110000,0,573000,0,0,2,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Multiple crisis in Madagascar,Multiple crises country,MDG001,Madagascar,MDG,581800,27190000,4343000,149000,x,x,322,x,x,,x,22847000,2513000,1641000,189000,0,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
67,Drought in Madagascar,Drought,MDG002,Madagascar,MDG,149752,6348000,3826000,3000,x,x,22,x,x,,x,2522000,2142000,1495000,189000,0,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
68,Tropical Cyclones Season in 2022 in Madagascar,Tropical cyclone,MDG006,Madagascar,MDG,581800,27190000,517000,146000,x,x,214,0,0,,x,26673000,371000,146000,0,0,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
69,Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,1943950,118414000,607000,607000,x,x,8563,x,x,,x,117806000,607000,92000,0,0,5,x,x,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0
70,Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,1943950,118414000,379000,379000,x,x,7860,x,x,,x,118044000,379000,0,0,0,5,x,x,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0
71,Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,1671738,113961000,228000,228000,x,x,703,x,x,,x,113732000,136000,92000,0,0,3,x,x,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0
72,Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,1240190,20251000,6300000,1360000,0,44056,2529,x,1,,x,13951000,0,3400000,2700000,200000,5,x,x,1.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0
73,Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,661578,55700000,34974000,2357000,x,x,11185,x,x,,x,20726000,20568000,2807000,9137000,2462000,4,x,x,2.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0
74,Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,40755,3854000,1553000,1267000,x,x,54,x,x,,x,2300000,0,0,1553000,0,4,x,x,2.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0
75,Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,244843,8393000,8393000,101000,x,x,568,x,x,,x,5400000,0,777000,2065000,151000,3,x,x,2.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0
76,Post-coup conflict in Myanmar,Conflict,MMR004,Myanmar,MMR,379957,43453000,30428000,990000,x,x,10563,x,x,,x,13025000,20568000,2030000,5519000,2311000,3,x,x,2.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0
77,Multiple Crises in Mozambique,Multiple crises country,MOZ001,Mozambique,MOZ,550263,20399000,10885000,953000,367,x,549,143407,13365,,1700000,9514000,8395000,2466000,24000,0,5,x,x,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0
78,Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,280615,10302000,10302000,947000,x,x,407,x,x,,x,0,8764000,1514000,24000,0,3,x,x,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0
79,2022 Tropical Cyclone Seasons in Mozambique,Tropical cyclone,MOZ008,Mozambique,MOZ,471485,18066000,1021000,6000,367,x,142,143407,13365,,1700000,17045000,0,1021000,0,0,4,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
80,Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,206000,1513000,1513000,85000,0,x,0,0,0,,x,0,1428000,85000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
81,Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,1030700,4359000,2314000,x,x,136000,0,x,x,,x,2045000,1435000,796000,83000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
82,Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,94280,19129000,7539000,54000,206,0,73,x,x,,x,11590000,4259000,3280000,0,0,2,x,x,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
83,Tropical Cyclone Ana in Malawi,Tropical cyclone,MWI004,Malawi,MWI,94548,17000000,990000,54000,206,x,46,x,x,,x,16010000,310000,680000,0,0,2,116000,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
84,International Refugees in Malaysia,International displacement,MYS001,Malaysia,MYS,9206,10090000,10090000,185000,,,6,,,,,0,9905000,185000,0,0,3,,,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
85,Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,824292,2551000,1587000,0,0,0,0,,,,,964000,836000,632000,119000,0,1,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
86,Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,1267000,24500000,4341000,680000,x,x,534,x,x,,x,20159000,700000,2900000,700000,41000,4,x,x,0.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0
87,Boko Haram in Niger,Conflict,NER002,Niger,NER,156906,655000,655000,290000,141012,x,167,x,x,,x,0,48000,589000,14000,3000,3,x,x,0.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0
88,Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,210600,3210000,2411000,266000,x,x,382,x,x,,x,799000,450000,1599000,304000,57000,5,x,x,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0
89,Nigerian Refugees,International displacement,NER004,Niger,NER,8616,1318000,957000,204000,x,x,16,0,0,,0,361000,368000,551000,32000,6000,3,x,x,1.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0
90,Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,909890,206140000,22226000,5543000,x,x,5382,x,x,,x,183913000,6211000,13516000,2416000,84000,5,x,800000,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0
91,Middle belt conflict,Conflict,NGA003,Nigeria,NGA,181664,15532000,1476000,495000,x,x,524,x,x,,x,14056000,0,1456000,20000,0,5,x,x,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
92,Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,157918,14611000,14611000,4462000,x,x,1147,x,x,,x,0,6211000,5964000,2352000,84000,4,x,800000,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0
93,Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,237708,35593000,6061000,507000,x,x,2814,x,x,,49,29532000,0,6018000,44000,0,5,x,x,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
94,Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,108688,12675000,78000,78000,x,x,x,x,x,,x,12597000,0,78000,0,0,2139,x,x,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
95,Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,120340,6201000,150000,150000,x,x,30,x,x,,x,6051000,150000,0,0,0,x,x,x,2.0,0.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0
96,Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,770880,229489000,68843000,4652000,x,x,943,x,x,,x,160646000,57843000,9909000,1092000,0,5,x,x,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0
97,Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,13297,4240000,x,x,x,x,0,x,x,,x,x,x,x,x,x,3,x,x,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
98,Floods in Pakistan ,Flood,PAK005,Pakistan,PAK,853763,33000000,33000000,3100000,0,0,937,0,0,,0,0,26600000,6370000,30000,0,1,,,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0
99,Venezuela displacement in Panama,International displacement,PAN002,Panama,PAN,74177,122000,96000,122000,x,x,61,x,x,,x,26000,2000,94000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Venezuela displacement in Peru,International displacement,PER002,Peru,PER,1280000,33359000,10081000,1570000,x,x,4,x,x,,x,23278000,8381000,1700000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
101,Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,232534.48,44915000,12151000,107000,x,x,214,1718007,404238,,66000000000,32764000,9646000,2504000,0,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
102,Mindanao conflict,Conflict,PHL003,Philippines,PHL,138354,26252000,104000,104000,x,x,214,x,x,,x,26148000,0,104000,0,0,4,x,x,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103,Typhoon RAI,Tropical cyclone,PHL010,Philippines,PHL,195883.53,18662000,12046000,3000,0,x,0,1718007,404238,,66000000000,6616000,9646000,2400000,0,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
104,Displacement from Ukraine conflict in Poland,International displacement,POL002,Poland,POL,147500,5772000,5439000,5439000,,,0,,,,,333000,0,5439000,0,0,2,,,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
105,Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,120410,25666000,25666000,34000,x,x,23,x,x,,x,0,15120000,4970000,5459000,0,1,x,x,1.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,3.0
106,Conflict in Palestine,Conflict,PSE002,Palestine,PSE,6025,5355000,4712000,6401000,3404,x,28,160000,11422,,x,643000,2356000,2035000,321000,0,4,x,4950000,2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0,3.0
107,Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",369002,20474000,16984000,5744000,x,x,1583,0,4300,,5200000,3490000,6212000,6409000,3452000,911000,5,x,800000,1.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
