,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
42,Bhutan,,BTN001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,Botswana,,BWA001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,CAR,Complex crisis in CAR,CAF001,Stable,-,4,4,4,4,4,4,4,4,4,3.9,3.9,3.9,3.9,4,4,4,4,4,4,4,4,4,4,4,4
45,CAR,Floods in CAR,CAF002,-,-,-,-,-,-,-,-,-,-,-,-,2.3,2.3,2.3,2.3,2.3,-,-,-,-,-,-,-,-,-,-
46,Chile,,CHL001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,China,,CHN001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,China,Floods in China,CHN002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.9,2.9,2.9,3,-,-,-,-
49,Côte d'Ivoire,,CIV001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,Cameroon,Multiple crises in Cameroon,CMR001,Stable,-,4,4,4.1,4.1,4,4.1,3.9,4,4,4,4,4,4,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7
51,Cameroon,Boko Haram in Cameroon,CMR002,Stable,-,3.6,3.6,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.2,3.2,3.2,3.2,3.2,3.2,3.2
52,Cameroon,Anglophone Crisis in Cameroon,CMR003,Increasing,-,3.2,3.2,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3,3,3,3,3,3.3,3.3,3.3,3.4,3.4,3.3,3.4
53,Cameroon,CAR refugees in Cameroon,CMR004,Increasing,-,3.3,3.3,3.1,3.1,3.1,3.1,2.7,2.8,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.6,2.6,2.6,2.6,2.8,2.8
54,DRC,Complex crisis in DRC,COD001,Increasing,-,4.4,4.4,4.4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.5,4.5,4.5,4.5,4.5
55,DRC,Floods in DRC,COD002,-,-,-,-,-,-,-,-,-,-,-,-,2.7,2.7,2.5,2.7,2.7,-,-,-,-,-,-,-,-,-,-
56,DRC,Floods in south-eastern DRC,COD003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,2.6,2.6,2.6,2.6,2.6,2.6,2.6,-
57,Congo,Multiple crises in Congo,COG001,-,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,-,-,-,-,-,-,-,-,3.2,3.2
58,Congo,Pool conflict,COG002,-,-,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.4,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,2.3,-,-,-,-
59,Congo,Floods in Congo,COG003,-,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-
60,Congo,Floods in Congo,COG004,Stable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.2,2.2,2.2,2.2
61,Cook islands,,COK001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,Colombia,Complex crisis in Colombia,COL001,Decreasing,-,3.9,3.9,4,4,4,4,4,4,4,4,4,4,4,4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,3.9,3.9,3.9
63,Colombia,Venezuela displacement in Colombia,COL002,Stable,-,3.5,3.5,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
64,Colombia,Hurricane Eta and Iota in Colombia,COL003,Decreasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.2,2,2.1,2.1
65,Comoros,,COM001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,Comoros,Tropical Cyclone Kenneth in Comoros,COM002,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,Cape Verde,,CPV001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,Costa Rica,,CRI001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,Costa Rica,Nicaraguan refugees in Costa Rica,CRI002,Stable,-,-,-,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.3,1.2,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1
70,Cuba,,CUB001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,Cyprus,,CYP001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,Djibouti,Multiple crises in Djibouti,DJI001,Stable,-,2.6,2.9,2.9,-,-,-,-,-,-,-,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3,3,3,2.7
73,Djibouti,Mixed migration in Djibouti,DJI002,Increasing,-,1.5,1.5,1.7,1.7,1.7,1.7,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.7,1.7,1.7,1.7
74,Djibouti,Drought in Djibouti,DJI003,Stable,-,2.6,2.8,2.8,2.9,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3,3,3,2.7
75,Djibouti,Floods in Djibouti,DJI004,-,-,-,-,-,-,-,-,-,-,-,-,2.3,2.3,2.3,2.3,2.3,2.3,2.3,-,-,-,-,-,-,-,-
76,Dominica,,DMA001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,Dominican Republic,,DOM001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,Algeria,Multiple crises in Algeria,DZA001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,Algeria,Mixed migration flows in Algeria,DZA002,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
80,Algeria,Sahrawi refugees in Algeria,DZA003,Increasing,-,2.2,2.2,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3
81,Algeria,Multiple crises in Algeria,DZA004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,x,x,x,x
82,Ecuador,,ECU001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,Ecuador,Venezuela displacement in Ecuador,ECU002,Decreasing,-,2.1,2.1,2.3,2.3,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3
84,Egypt,,EGY001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,Egypt,Syrian Refugee Crisis in Egypt,EGY002,Increasing,-,1,1,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.4,2.4,3.1,3.1
86,Eritrea,Complex crisis in Eritrea,ERI001,Decreasing,-,3.4,3.4,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7
87,Eritrea,Mixed Migration Flows in Eritrea,ERI002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,Western Sahara,,ESH001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,Spain,,ESP001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,Spain,Mixed migration flows in Spain,ESP002,-,-,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2,1.5,1.5
91,Ethiopia,Complex crisis in Ethiopia,ETH001,Increasing,-,x,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,4,4,4,4,4,4,4,4.1,4.1,4.1,4.1
92,Ethiopia,Flood Crisis in Ethiopia,ETH002,Stable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
93,Ethiopia,International Displacement,ETH003,Stable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
94,Ethiopia,Crisis in Tigray,ETH004,Decreasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.1,4.1,3.6,3.6
95,Fiji,,FJI001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,Fiji,Tropical cyclone Yasa in Fiji,FJI002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.4,1.4
97,Micronesia,,FSM001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,Gabon,,GAB001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,Georgia,,GEO001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,Ghana,,GHA001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,Guinea,,GIN001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,Gambia,,GMB001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,Guinea-Bissau,,GNB001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,Equatorial Guinea,,GNQ001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,Greece,,GRC001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,Greece,Mixed migration flows in Greece,GRC002,Decreasing,-,1,1,1.7,1.5,1.5,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,2,1.9,1.9,2.1,2.1,1.8,1.8,1.8,1.8,1.8,1.8,1.6
107,Grenada,,GRD001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,Guatemala,Complex crisis in Guatemala,GTM001,Stable,-,3.4,3.4,4,3.7,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
109,Guatemala,Drought in Guatemala,GTM002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,Guatemala,Hurricane Eta and Iota in Guatemala,GTM003,Increasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.7,2.7,3.1,3.1
111,Guyana,,GUY001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,Honduras,Complex crisis in Honduras,HND001,Stable,-,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2
113,Honduras,Hurricane Eta and Iota in Honduras,HND002,Increasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.1,3.1,3.3,3.3
114,Haiti,Complex crisis in Haiti,HTI001,Stable,3.4,2.9,2.9,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.5,3.5,3.5,3.5,3.5
115,Hungary,,HUN001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,Indonesia,Complex Crisis in Indonesia ,IDN001,-,-,2.9,2.9,2.8,2.8,2.8,2.1,2.1,2.1,2.1,2.1,2.1,1.9,1.9,2.2,-,-,-,-,-,-,-,-,-,-,-
117,Indonesia,Papua Conflict,IDN002,-,-,-,-,-,-,-,2.2,2.2,2.2,2.2,2.2,2.2,x,x,x,x,x,x,x,x,x,x,x,x,x,x
118,Indonesia,Sunda Strait Tsunami,IDN003,-,-,-,-,-,-,-,1.2,1.2,1.2,1.4,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,Indonesia,Ambon Earthquake ,IDN004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,Indonesia,Jakarta Floods,IDN005,-,-,-,-,-,-,-,-,-,-,-,-,-,1.4,1.4,1.7,-,-,-,-,-,-,-,-,-,-,-
121,Indonesia,Sulawesi Earthquake,IDN006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.1,2.1
122,Indonesia,Country Level,IDN007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.1,2.1
123,India,Multiple Crises in India,IND001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,3,2.9,3,2.5,2.8,2.8,-,-
124,India,Conflict in Jammu and Kashmir,IND002,-,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
125,India,Cyclone Amphan India,IND003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,2.2,2.2,2.3,2.3,-,-,-,-
126,India,Floods in Assam,IND004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.9,-,-,-,-,-,-,-
127,India,Floods in India,IND005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.7,2.6,2.6,2.6,-,-
128,Iran,,IRN001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
129,Iran,Iran Floods,IRN002,-,-,-,-,3.2,3.1,3.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130,Iran,Floods in Sistan - Baluchestan ,IRN003,-,-,-,-,-,-,-,-,-,-,-,-,-,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-
131,Iran,Afghan Refugees in Iran,IRN004,Stable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
132,Iraq,Multiple crises in Iraq,IRQ001,Decreasing,-,4.3,4.3,4.2,4.2,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,3.9,3.9,3.9,3.9,3.9,4.2,4.3,4,4,3.9,3.9
133,Iraq,Conflict  in Iraq,IRQ002,Increasing,-,4.4,4.3,4.2,4.2,4.3,4.3,4.3,4.3,4.3,4.3,4.1,4.1,4.1,4,4,4,4,4,4,4,4,4.1,4.1,4.1,4.2
134,Iraq,Syrian and Palestinian refugees in iraq,IRQ003,Decreasing,-,3,2.8,3.2,3.1,3.2,3.2,3.2,3.2,3.2,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.8,3.8,2.8,2.8,2.8,2.8
135,Italy,,ITA001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,Italy,Mixed migration flows in Italy,ITA002,-,-,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,x
137,Jamaica,,JAM001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138,Jordan,Refugee situation in Jordan,JOR001,-,-,1.6,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,Jordan,Syrian refugees in Jordan,JOR002,Decreasing,-,1.6,1.6,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.4,3.4,2.8,2.8,3.2,3.2
140,Jordan,Palestinian refugees in Jordan,JOR003,-,-,1.6,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,Kazakhstan,,KAZ001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,Kenya,Multiple crisis in Kenya ,KEN001,-,-,-,-,-,-,3.1,3.1,3.1,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3,3,2.9,2.9,3,3,3,-
143,Kenya,Refugee situation in Kenya,KEN002,Increasing,-,2,2,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.7,2.7,2.7,2.7
144,Kenya,Drought in Kenya,KEN003,-,-,-,-,-,-,3,3.1,3.1,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,2.8,2.8,2.8,2.8,2.8,2.8,2.8,-
145,Kenya,Floods in Kenya,KEN004,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-,-
146,Kenya,Flooding and Landslides in Kenya,KEN005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.7,1.7,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,-
147,Kyrgyzstan,,KGZ001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,Cambodia,,KHM001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
