,INFORM Severity Index - all crises. Release: February 2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
41,Sulawesi Earthquake,IDN006,Indonesia,IDN,Earthquake,2.1,3,Medium,-,Very High,2.1,0.4,2.7,2.3,1.6,3,1.8,2.8,0.5,Asia,2021-02-23 00:00:00
42,Conflict in Jammu and Kashmir,IND002,India,IND,Conflict,x,x,x,-,Medium,2.8,2,3.2,x,x,x,2.9,2.7,3,Asia,2021-02-23 00:00:00
43,Afghan Refugees in Iran,IRN004,Iran,IRN,International displacement,3.4,4,High,Stable,Medium,2.8,2.7,2.8,4.05,4.1,4,2.7,2.8,2.5,Middle east,2020-11-30 00:00:00
44,Conflict  in Iraq,IRQ002,Iraq,IRQ,Conflict,4.2,5,Very High,Increasing,High,4.3,3.6,4.6,4.2,4.4,4,4,3.4,4.5,Middle east,2021-02-27 00:00:00
45,Syrian and Palestinian refugees in iraq,IRQ003,Iraq,IRQ,International displacement,2.8,3,Medium,Decreasing,High,1.8,1.5,2,2.9,2.8,3,3.5,3.4,3.5,Middle east,2021-02-27 00:00:00
46,Mixed migration flows in Italy,ITA002,Italy,ITA,International displacement,x,x,x,-,Low,2.9,1.7,3.4,x,x,x,1.5,1.4,1.5,Europe,2019-04-17 00:00:00
47,Syrian refugees in Jordan,JOR002,Jordan,JOR,International displacement,3.2,4,High,Decreasing,High,2.8,3,2.7,3.75,3.5,4,2.5,2.5,2.5,Middle east,2021-01-31 00:00:00
48,Refugee situation in Kenya,KEN002,Kenya,KEN,International displacement,2.7,3,Medium,Increasing,Medium,2.9,1.9,3.3,2.95,2.9,3,2.1,2.9,1,Africa,2021-02-26 00:00:00
49,Syrian refugees in Lebanon,LBN002,Lebanon,LBN,International displacement,3.4,4,High,Decreasing,Very High,3.3,3.6,3.1,3.9,3.8,4,2.7,2.8,2.5,Middle east,2021-01-31 00:00:00
50,Socioeconomic crisis in Lebanon,LBN004,Lebanon,LBN,Political and economic crisis,3.6,4,High,Decreasing,High,3.3,3.6,3.2,4.15,4.3,4,2.9,2.8,3,Middle east,2021-02-27 00:00:00
51,Mixed migration flows in Libya,LBY002,Libya,LBY,International displacement,3,3,Medium,Stable,High,3.8,4.5,3.3,2.25,2.5,2,3.3,3.6,3,Africa,2020-11-27 00:00:00
52,Drought in Lesotho,LSO002,Lesotho,LSO,Drought,2.5,3,Medium,Increasing,High,2.2,3,1.8,3.45,2.9,4,1.2,1.4,1,Africa,2020-11-26 00:00:00
53,Mixed migration flows in Morocco,MAR002,Morocco,MAR,International displacement,x,x,x,-,Very Low,3.7,4.8,2.8,x,x,x,2.1,3,1,Africa,2020-11-27 00:00:00
54,Drought in Madagascar,MDG002,Madagascar,MDG,Drought,3,3,Medium,Increasing,High,3,1.6,3.55,3.8,3.6,4,1.7,2.3,1,Africa,2021-01-29 00:00:00
55,Criminal Violence in Mexico,MEX002,Mexico,MEX,Other type of violence,x,x,x,-,Very Low,4.2,3.9,4.4,x,x,x,2.9,3.2,2.5,Americas,2021-01-28 00:00:00
56,Mixed Migration in Mexico,MEX003,Mexico,MEX,International displacement,x,x,x,-,Low,3.5,4.2,3,x,x,x,2.9,3.2,2.5,Americas,2021-01-28 00:00:00
57,Hurricane Eta and Iota in Southern Mexico,MEX004,Mexico,MEX,Tropical cyclone,1.7,2,Low,Stable,High,2,2.1,2,0.7,0.4,1,2.9,3.2,2.5,Americas,2021-01-28 00:00:00
58,Complex crisis in Mali,MLI001,Mali,MLI,Complex crisis,3.8,4,High,Stable,High,4,4.8,3.5,3.7,4.4,3,3.9,3.1,4.5,Africa,2021-02-19 00:00:00
59,Rakhine Conflict,MMR002,Myanmar,MMR,Conflict,3.5,4,High,Stable,Very High,2.9,1.3,3.5,3.6,3.2,4,3.7,3.4,4,Asia,2021-02-23 00:00:00
60,Kachin and Shan Conflict,MMR003,Myanmar,MMR,Conflict,3.1,4,High,Increasing,Very High,2.4,2.3,2.5,3.1,3.2,3,3.5,3.4,3.5,Asia,2021-02-23 00:00:00
61,Complex crisis in Mozambique,MOZ001,Mozambique,MOZ,Complex crisis,3.6,4,High,Increasing,High,4,4.5,3.7,3.5,4,3,3.3,3.5,3,Africa,2021-02-26 00:00:00
62,Cabo Delgado Islamist Insurgency,MOZ004,Mozambique,MOZ,Other type of violence,3.4,4,High,Increasing,High,3.5,2.3,3.9,3.35,3.7,3,3.5,3.5,3.5,Africa,2021-02-26 00:00:00
63,Food Security Crisis in Mozambique,MOZ006,Mozambique,MOZ,Food Security,3.3,4,High,Increasing,Medium,3.4,4.4,2.8,3.55,4.1,3,2.8,3.5,2,Africa,2021-02-26 00:00:00
64,Tropical Cyclone Eloise in Mozambique,MOZ007,Mozambique,MOZ,Tropical cyclone,2.2,3,Medium,-,High,2.2,3.1,1.6,1.7,2.4,1,3,3.5,2.5,Africa,2021-02-26 00:00:00
65,Refugees from Mali in Mauritania,MRT002,Mauritania,MRT,International displacement,2.2,3,Medium,Stable,Medium,2.4,0,3.2,2.15,1.3,3,2.1,2.6,1.5,Africa,2021-02-11 00:00:00
66,Food Security in Mauritania,MRT003,Mauritania,MRT,Drought,2.8,3,Medium,Decreasing,Medium,3.2,4.4,2.3,2.9,2.8,3,2.3,2.6,2,Africa,2021-02-11 00:00:00
67,Complex crisis in Malawi,MWI002,Malawi,MWI,Complex crisis,2.8,3,Medium,Increasing,High,3.1,4.3,2.2,3.5,4,3,1.5,2,1,Africa,2021-01-29 00:00:00
68,Food Security Crisis in Namibia,NAM002,Namibia,NAM,Food Security,2.1,3,Medium,Stable,Low,1.5,1.6,1.4,2.85,2.7,3,1.3,1.5,1,Africa,2020-11-26 00:00:00
69,Boko Haram in Niger,NER002,Niger,NER,Conflict,2.9,3,Medium,Decreasing,High,2.6,1.2,3.1,2.7,2.4,3,3.4,2.6,4,Africa,2021-02-23 00:00:00
70,Mali/Burkina Faso conflict,NER003,Niger,NER,Conflict,3.2,4,High,Stable,High,3,2.4,3.2,3.25,3.5,3,3.4,2.6,4,Africa,2021-02-23 00:00:00
71,Nigerian Refugees,NER004,Niger,NER,International displacement,2.6,3,Medium,Stable,High,2,0.6,2.5,3.05,3.1,3,2.3,2.6,2,Africa,2021-02-23 00:00:00
72,Complex crisis in Nigeria,NGA001,Nigeria,NGA,Complex crisis,4.1,5,Very High,Decreasing,High,4.1,4.3,4,4,5,3,4.1,3.5,4.5,Africa,2021-02-25 00:00:00
73,Middle belt conflict,NGA003,Nigeria,NGA,Conflict,2.5,3,Medium,Stable,High,2.8,2.2,3.1,1.85,2.7,1,3.3,3.5,3,Africa,2021-01-29 00:00:00
74,Boko Haram crisis in Nigeria,NGA004,Nigeria,NGA,Conflict,4,4,High,Stable,Medium,4.2,2,4.8,3.95,4.9,3,3.8,3.5,4,Africa,2021-02-25 00:00:00
75,Northwest Banditry,NGA007,Nigeria,NGA,Other type of violence,2.6,3,Medium,Stable,Very High,3.1,2.7,3.3,1.75,2.5,1,3.5,3.5,3.5,Africa,2021-01-29 00:00:00
76,Cameroonian Refugees in Nigeria,NGA008,Nigeria,NGA,International displacement,2.1,3,Medium,Decreasing,High,2.3,2.1,2.4,1.15,1.3,1,3.3,3.5,3,Africa,2021-01-29 00:00:00
77,Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,NIC,Political and economic crisis,x,x,x,-,Low,2.9,4.1,2,x,x,x,2.3,2.9,1.5,Americas,2021-01-28 00:00:00
78,Hurricane Eta and Iota in Nicaragua,NIC002,Nicaragua,NIC,Tropical cyclone,2.2,3,Medium,Stable,High,2.6,2.7,2.5,1.7,1.4,2,2.7,2.9,2.5,Americas,2021-01-28 00:00:00
79,Complex crisis in Pakistan,PAK001,Pakistan,PAK,Complex crisis,3.4,4,High,Stable,High,3.7,5,2.6,3.05,4.1,2,3.6,3.1,4,Asia,2021-02-23 00:00:00
80,Kashmir conflict in Pakistan,PAK004,Pakistan,PAK,Conflict,x,x,x,-,Low,1.6,1.1,1.9,x,x,x,3.1,3.1,3,Asia,2021-02-23 00:00:00
81,Venezuela displacement in Peru,PER002,Peru,PER,International displacement,2.7,3,Medium,Increasing,High,2.6,2.8,2.5,3.25,3.5,3,1.9,2.3,1.5,Americas,2021-01-29 00:00:00
82,Mindanao conflict,PHL003,Philippines,PHL,Conflict,2.3,3,Medium,Increasing,High,2.8,2.9,2.8,1.5,2,1,3,2.9,3,Asia,2021-02-23 00:00:00
83,Mindanao Earthquake,PHL004,Philippines,PHL,Earthquake,1.8,2,Low,Decreasing,High,1.9,2.5,1.5,1.25,1.5,1,2.7,2.9,2.5,Asia,2021-02-23 00:00:00
84,Typhoon Goni (Rolly) and Typhoon Vamco (Ulysses),PHL009,Philippines,PHL,Tropical cyclone,2.5,3,Medium,Stable,Very High,2.5,3.5,1.9,2.65,3.3,2,2.3,2.9,1.5,Asia,2021-02-23 00:00:00
85,Complex crisis in DPRK,PRK001,DPRK,PRK,Complex crisis,3.7,4,High,Decreasing,Low,3.9,4.6,3.4,4.5,5,4,2.4,2.8,2,Asia,2020-11-30 00:00:00
86,Conflict in Palestine,PSE002,Palestine,PSE,Conflict,4,4,High,Stable,Very High,3.8,3.4,4,4.5,4,5,3.2,2.2,4,Middle east,2021-02-27 00:00:00
87,Regional Boko Haram Crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",Regional crisis,4.1,5,Very High,Stable,High,4,2.2,4.6,4.35,4.7,4,3.8,3.5,4,"Africa,Africa,Africa,Africa",2021-01-29 00:00:00
88,Venezuela Regional Crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago","VEN,BRA,COL,ECU,PER,TTO",Regional crisis,3.6,4,High,Stable,Medium,4.1,2.9,4.5,4,5,3,2.6,2.6,2.5,"Americas,Americas,Americas,Americas,Americas,Americas",2021-01-28 00:00:00
89,Regional Kashmir conflict,REG003,"India,Pakistan","IND,PAK",Regional crisis,x,x,x,-,Very Low,3.3,2.1,3.8,x,x,x,3,2.9,3,"Asia,Asia",2021-02-23 00:00:00
90,Syrian Regional Crisis,REG004,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",Regional crisis,4.5,5,Very High,Increasing,High,4,3,4.4,5,5,5,4.1,3.6,4.5,"Middle east,Middle east,Middle east,Africa,Middle east,Middle east",2021-02-28 00:00:00
91,Eastern Mediterranean Route ,REG006,"Turkey,Greece","TUR,GRC",Regional crisis,x,x,x,-,Very Low,x,x,2,x,x,x,2.5,2.5,2.5,"Middle east,Europe",2020-12-17 00:00:00
92,Central Mediterranean Route,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",Regional crisis,x,x,x,-,Very Low,x,x,4,x,x,x,3.1,2.6,3.5,"Africa,Africa,Africa,Europe",2020-12-17 00:00:00
93,Western Mediterranean Route,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",Regional crisis,x,x,x,-,Very Low,x,x,3.2,x,x,x,2.4,2.7,2,"Africa,Africa,Europe",2020-12-17 00:00:00
94,Rohingya Regional Crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",Regional crisis,3.6,4,High,Stable,Very High,2.9,1.4,3.5,3.85,3.7,4,3.6,3.1,4,"Asia,Asia",2021-02-23 00:00:00
95,Southern Africa Regional Food Security Crisis,REG012,"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Eswatini,Zambia,Zimbabwe","LSO,MDG,MWI,MOZ,NAM,SWZ,ZMB,ZWE",Regional crisis,3.5,4,High,Stable,Very High,3.1,3.7,2.7,4,5,3,3.1,2.7,3.5,"Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa",2021-01-29 00:00:00
96,Nagorno-Karabakh Conflict,REG013,"Armenia,Azerbaijan","ARM,AZE",Regional crisis,x,x,x,-,Medium,2.7,2.6,2.7,x,x,x,2.8,2.6,3,"Middle east,Middle east",2021-01-27 00:00:00
97,Burundi and DRC refugees in Rwanda,RWA002,Rwanda,RWA,International displacement,1.9,2,Low,Stable,Medium,2.6,2.1,2.8,1.45,1.9,1,2.1,2.6,1.5,Africa,2021-01-29 00:00:00
98,Complex crisis in Sudan,SDN001,Sudan,SDN,Complex crisis,4.3,5,Very High,Decreasing,Very High,4.3,4.8,4,4.5,5,4,4,4,4,Africa,2021-02-25 00:00:00
99,Refugees in Sudan,SDN005,Sudan,SDN,International displacement,3.9,4,High,Increasing,High,4.1,1.8,4.8,3.7,3.4,4,4,4,4,Africa,2021-02-25 00:00:00
100,Floods in Sudan ,SDN006,Sudan,SDN,Flood,2.6,3,Medium,Stable,Medium,3.8,4.8,3.1,1.1,1.2,1,3.5,4,3,Africa,2021-01-28 00:00:00
101,Refugees from Ethiopia,SDN007,Sudan,SDN,International displacement,2.1,3,Medium,-,High,2.1,1.5,2.4,1.2,1.4,1,3.3,4,2.5,Africa,2021-02-25 00:00:00
102,Drought in Senegal,SEN002,Senegal,SEN,Drought,2.4,3,Medium,Stable,Medium,2.7,4.5,1.2,2.4,2.8,2,2.2,1.8,2.5,Africa,2021-01-29 00:00:00
103,Complex crisis in El Salvador,SLV001,El Salvador,SLV,Complex crisis,3,3,Medium,Increasing,High,3.6,3.8,3.5,3,3,3,2.5,2.4,2.5,Americas,2021-01-28 00:00:00
104,Complex crisis in Somalia,SOM001,Somalia,SOM,Complex crisis,4,4,High,Decreasing,High,4.7,4.6,4.8,3.45,3.9,3,4.2,3.9,4.5,Africa,2020-11-29 00:00:00
105,Mixed Migration Flows in Somalia,SOM002,Somalia,SOM,International displacement,1.9,2,Low,Stable,Medium,1.8,0.8,2.2,0.95,0.9,1,3.5,3.9,3,Africa,2020-08-21 00:00:00
106,Floods in Somalia,SOM004,Somalia,SOM,Flood,3.2,4,High,Stable,High,2.9,3.4,2.6,3,3,3,3.7,3.9,3.5,Africa,2020-08-21 00:00:00
107,Complex crisis in South Sudan,SSD001,South Sudan,SSD,Complex crisis,4.3,5,Very High,Decreasing,High,4.7,4.6,4.7,4.45,4.9,4,3.6,3.7,3.5,Africa,2021-02-22 00:00:00
108,Food Security Crisis in Eswatini,SWZ001,Eswatini,SWZ,Food Security,2.7,3,Medium,Stable,Medium,2.2,3.1,1.6,3.3,2.6,4,2.1,3,1,Africa,2021-02-25 00:00:00
109,Syrian conflict,SYR001,Syria,SYR,Complex crisis,4.9,5,Very High,Decreasing,Very High,4.8,4.5,4.9,5,5,5,4.8,4.5,5,Middle east,2021-02-27 00:00:00
110,Boko Haram in Chad,TCD003,Chad,TCD,Conflict,3.6,4,High,Decreasing,High,3.1,0.6,3.9,3.8,2.6,5,3.7,3.4,4,Africa,2021-02-19 00:00:00
111,CAR refugees in Chad,TCD004,Chad,TCD,International displacement,3.3,4,High,Stable,Medium,2.8,1.9,3.2,3.65,3.3,4,3.2,3.4,3,Africa,2021-02-19 00:00:00
112,Darfur refugees in Chad,TCD005,Chad,TCD,International displacement,3.2,4,High,Stable,Medium,2.5,1.7,2.9,3.7,3.4,4,3,3.4,2.5,Africa,2021-02-19 00:00:00
113,Tibesti Conflict in Chad,TCD006,Chad,TCD,Conflict,2.5,3,Medium,Decreasing,Medium,2.4,1.3,2.8,2.2,0.4,4,3,3.4,2.5,Africa,2021-02-19 00:00:00
114,Conflict in southern Thailand ,THA002,Thailand,THA,Conflict,x,x,x,-,Very Low,2.6,1.1,3.2,x,x,x,2.1,2.6,1.5,Asia,2021-02-23 00:00:00
115,Myanmar refugees in Thailand,THA003,Thailand,THA,International displacement,2.3,3,Medium,Increasing,High,2.5,0,3.4,2.3,1.6,3,2.1,2.6,1.5,Asia,2021-02-23 00:00:00
116,Venezuelan refugees in Trinidad and Tobago,TTO002,Trinidad and Tobago,TTO,International displacement,1.8,2,Low,Increasing,Medium,2.6,2.9,2.4,1.15,1.3,1,2,1.9,2,Americas,2020-11-29 00:00:00
117,Mixed migration flows in Tunisia,TUN002,Tunisia,TUN,International displacement,x,x,x,-,Low,4,4.3,3.9,x,x,x,1.7,2.3,1,Africa,2020-11-27 00:00:00
118,Syrian Refugees in Turkey,TUR002,Turkey,TUR,International displacement,3.3,4,High,Stable,High,3.7,2.9,4,3.4,3.8,3,2.9,3.3,2.5,Middle east,2021-02-27 00:00:00
119,Mixed Migration Flows in Turkey,TUR003,Turkey,TUR,International displacement,3.2,4,High,Stable,High,3.1,3.1,3.1,3.45,3.9,3,2.9,3.3,2.5,Middle east,2021-02-27 00:00:00
120,Kurdish Conflict,TUR004,Turkey,TUR,Conflict,x,x,x,-,Medium,3.2,2.4,3.5,x,x,x,3.2,3.3,3,Middle east,2021-02-27 00:00:00
121,International Displacement in Tanzania,TZA002,Tanzania,TZA,International displacement,1.7,2,Low,Decreasing,High,2,2.3,1.9,1.7,2.4,1,1.6,1.7,1.5,Africa,2021-01-29 00:00:00
122,International Displacement in Uganda,UGA005,Uganda,UGA,International displacement,3,3,Medium,Increasing,Medium,3.3,2.1,3.7,3.3,3.6,3,2.3,3,1.5,Africa,2020-11-29 00:00:00
123,Conflict in Ukraine,UKR002,Ukraine,UKR,Conflict,3.5,4,High,Stable,High,3.2,1.7,3.7,4.1,4.2,4,2.6,2.1,3,Europe,2020-12-22 00:00:00
124,Complex crisis in Venezuela,VEN001,Venezuela,VEN,Complex crisis,4.1,5,Very High,Stable,High,5,4.9,5,4,5,3,3.3,3.6,3,Americas,2021-01-28 00:00:00
125,Floods in central Vietnam,VNM002,Vietnam,VNM,Flood,2.9,3,Medium,Increasing,High,2.9,1.9,3.3,3.15,3.3,3,2.5,3.3,1.5,Asia,2021-02-04 00:00:00
126,Cyclone Harold in Vanuatu,VUT002,Vanuatu,VUT,Tropical cyclone,2,2,Low,Stable,High,2.3,2.6,2.2,2.4,1.8,3,1.1,1.1,1,Pacific,2020-07-02 00:00:00
127,Conflict in Yemen,YEM001,Yemen,YEM,Complex crisis,4.6,5,Very High,Stable,Medium,4.9,4.9,4.9,4.5,5,4,4.5,3.8,5,Middle east,2020-10-19 00:00:00
128,Mixed migration flows in Yemen,YEM002,Yemen,YEM,International displacement,2.9,3,Medium,Stable,Medium,2,0.7,2.5,2.85,2.7,3,3.7,3.8,3.5,Middle east,2020-10-19 00:00:00
129,Drought in Zambia,ZMB002,Zambia,ZMB,Drought,2.7,3,Medium,Decreasing,Medium,2.4,3.1,2,3.35,3.7,3,1.7,1.8,1.5,Africa,2020-12-17 00:00:00
130,Complex crisis in Zimbabwe,ZWE001,Zimbabwe,ZWE,Complex crisis,3.5,4,High,Decreasing,Very High,3.2,4.6,2.2,3.85,4.7,3,3.2,2.9,3.5,Africa,2021-01-29 00:00:00
